geo,time,ne_con_totl_zs
abw,1995,70.4419
abw,1996,73.59937
abw,1997,73.44522
abw,1998,72.30258
abw,1999,73.80481
abw,2000,70.79213
abw,2001,74.33809
abw,2002,77.55396
abw,2003,78.55169
abw,2004,74.70544
abw,2005,75.81496
abw,2006,77.09677
abw,2007,78.1457
abw,2008,77.24868
abw,2009,82.20434
abw,2010,87.61393
abw,2011,87.46713
abw,2012,90.54441
abw,2013,89.95888
abw,2014,86.97027
abw,2015,84.53715
abw,2016,82.77754
abw,2017,82.95408
afg,1960,86.77685
afg,1961,87.04453
afg,1962,85.36585
afg,1963,93.49112
afg,1964,95.27777
afg,1965,98.89625
afg,1966,101.5873
afg,1967,102.25763
afg,1968,99.83819
afg,1969,98.42271
afg,1970,96.69632
afg,1971,99.75727
afg,1972,96.79667
afg,1973,94.48718
afg,1974,92.06186
afg,1975,91.83099
afg,1976,88
afg,1977,90.74492
afg,1978,89.15824
afg,2002,132.12253
afg,2003,147.51858
afg,2004,139.65262
afg,2005,133.76418
afg,2006,129.5768
afg,2007,127.71192
afg,2008,129.52714
afg,2009,113.64344
afg,2010,114.54241
afg,2011,109.25698
afg,2012,98.96666
afg,2013,95.62112
afg,2014,95.1889
afg,2015,97.05182
afg,2016,95.04597
afg,2017,92.84429
ago,2000,42.68223
ago,2001,69.06469
ago,2002,60.63843
ago,2003,64.80744
ago,2004,55.92554
ago,2005,47.98185
ago,2006,44.38866
ago,2007,46.51792
ago,2008,45.6106
ago,2009,62.11068
ago,2010,52.8401
ago,2011,52.21826
ago,2012,53.25226
ago,2013,59.17479
ago,2014,62.4424
ago,2015,69.17683
ago,2016,69.90648
ago,2017,70.11832
alb,1980,67.41542
alb,1981,65.69482
alb,1982,68.98398
alb,1983,68.93471
alb,1984,72.71103
alb,1985,71.96426
alb,1986,72.03398
alb,1987,74.29007
alb,1988,76.62574
alb,1989,73.63776
alb,1990,81.86802
alb,1991,117.09991
alb,1992,186.91212
alb,1993,138.49164
alb,1994,115.80612
alb,1995,105.41646
alb,1996,103.59099
alb,1997,108.37179
alb,1998,105.46059
alb,1999,97.59281
alb,2000,92.42724
alb,2001,88.83553
alb,2002,91.36978
alb,2003,91.42892
alb,2004,88.41531
alb,2005,87.97669
alb,2006,88.15036
alb,2007,92.24438
alb,2008,93.47269
alb,2009,91.97203
alb,2010,89.26666
alb,2011,89.27359
alb,2012,88.8117
alb,2013,91.05489
alb,2014,92.23925
alb,2015,91.80543
alb,2016,92.23037
alb,2017,91.20817
alb,2018,90.78451
are,2001,69.04352
are,2002,71.51918
are,2003,68.3241
are,2004,69.50849
are,2005,64.21538
are,2006,62.94458
are,2007,66.83078
are,2008,65.67968
are,2009,62.52175
are,2010,52.31086
are,2011,48.32257
are,2012,41.84419
are,2013,44.8947
are,2014,47.17272
are,2015,47.80893
are,2016,48.71215
are,2017,50.93734
are,2018,51.6758
arg,1960,79.03648
arg,1961,70.10069
arg,1962,79.24614
arg,1963,82.01337
arg,1964,75.90075
arg,1965,75.49703
arg,1966,77.79423
arg,1967,76.28643
arg,1968,77.22876
arg,1969,76.0094
arg,1970,74.69422
arg,1971,76.48769
arg,1972,75.74857
arg,1973,77.20302
arg,1974,77.12611
arg,1975,70.71378
arg,1976,66.01677
arg,1977,66.76881
arg,1978,69.30685
arg,1979,73.96203
arg,1980,76.16394
arg,1981,77.75979
arg,1982,75.67555
arg,1983,75.79688
arg,1984,77.2025
arg,1985,76.94816
arg,1986,80.70031
arg,1987,80.14769
arg,1988,78.04019
arg,1989,78.00644
arg,1990,80.2748
arg,1991,83.76598
arg,1992,84.8322
arg,1993,82.71634
arg,1994,83.10881
arg,1995,81.91024
arg,1996,81.02541
arg,1997,81.38839
arg,1998,81.54813
arg,1999,83.86548
arg,2000,83.1162
arg,2001,83.06826
arg,2002,74.13367
arg,2003,74.63586
arg,2004,75.44614
arg,2005,75.17125
arg,2006,75.6996
arg,2007,75.52056
arg,2008,76.7081
arg,2009,78.88204
arg,2010,79.39783
arg,2011,79.90928
