global,time,se_prm_tchr_fe_zs
world,1970,55.13559
world,1971,54.85024
world,1972,54.03873
world,1973,53.73635
world,1974,53.26081
world,1975,52.64767
world,1976,52.66695
world,1977,51.78822
world,1978,53.41221
world,1979,53.28884
world,1980,52.98857
world,1981,52.76104
world,1982,52.46352
world,1983,52.41651
world,1984,52.90447
world,1985,53.91798
world,1986,54.63283
world,1987,54.87289
world,1988,55.4779
world,1989,55.617
world,1990,56.27982
world,1991,56.45788
world,1992,56.84407
world,1993,57.14669
world,1994,57.66843
world,1995,58.22422
world,1996,58.55119
world,1997,58.5496
world,1998,59.09279
world,1999,59.17398
world,2000,59.54736
world,2001,59.9824
world,2002,60.37086
world,2003,61.24374
world,2004,61.55636
world,2005,62.03463
world,2006,62.07426
world,2007,61.89962
world,2008,62.14491
world,2009,62.41549
world,2010,62.80386
world,2011,63.12185
world,2012,63.43906
world,2013,63.50228
world,2014,63.97256
world,2015,64.54843
world,2016,64.92225
world,2017,65.72942
world,2018,66.51797
world,2019,67.0068
world,2020,67.27679
