global,time,bm_gsr_cmcp_zs
world,1981,38.14796
world,1982,40.31198
world,1983,41.23746
world,1984,39.15943
world,1985,38.50294
world,1986,37.47642
world,1987,35.76863
world,1988,34.10832
world,1989,34.49606
world,1990,35.06172
world,1991,36.57946
world,1992,34.81588
world,1993,35.83447
world,1994,35.99234
world,1995,35.9683
world,1996,37.83388
world,1997,37.89086
world,1998,38.64142
world,1999,38.67093
world,2000,38.847
world,2001,39.68582
world,2002,40.19127
world,2003,40.06453
world,2004,40.02067
world,2005,40.80819
world,2006,40.74863
world,2007,41.29348
world,2008,42.45171
world,2009,45.03954
world,2010,43.50413
world,2011,43.74258
world,2012,43.66016
world,2013,44.18956
world,2014,44.49145
world,2015,45.85215
world,2016,46.5265
world,2017,46.5154
world,2018,46.41342
world,2019,48.03977
world,2020,57.75818
