geo,time,gc_rev_xgrt_gd_zs
afg,2006,8.96753
afg,2007,7.00919
afg,2008,8.05271
afg,2009,10.57508
afg,2010,11.09195
afg,2011,11.51016
afg,2012,10.20062
afg,2013,9.40561
afg,2014,8.61373
afg,2015,10.13112
afg,2016,12.67801
afg,2017,13.03926
ago,1999,42.0092
ago,2000,52.78839
ago,2001,41.63336
ago,2002,26.62068
ago,2003,29.58057
ago,2004,27.31831
ago,2005,24.42502
ago,2006,46.10284
ago,2007,44.9866
ago,2008,42.66761
ago,2009,22.25075
ago,2010,34.99444
ago,2011,44.59229
ago,2012,36.22542
ago,2013,35.70586
ago,2014,30.88455
ago,2015,18.77664
ago,2016,15.72077
ago,2017,16.36059
ago,2018,21.98783
ago,2019,21.79161
alb,1995,21.48255
alb,1996,14.12391
alb,1997,16.02496
alb,1998,23.15194
alb,2002,23.98074
alb,2003,24.24589
alb,2004,24.5508
alb,2011,23.90032
alb,2012,23.05071
alb,2013,22.30495
alb,2014,24.5251
alb,2015,24.73815
alb,2016,24.27857
alb,2017,25.73314
alb,2018,25.47745
alb,2019,25.14139
alb,2020,23.87264
are,1997,6.56352
are,1998,6.91293
are,1999,6.51896
are,2011,3.41298
are,2012,3.24516
are,2013,3.13472
are,2014,3.00937
are,2015,3.53041
are,2016,4.03139
are,2017,3.4933
are,2018,3.38933
are,2019,4.67787
are,2020,6.19884
arg,1990,10.38754
arg,1991,11.16209
arg,1992,12.28064
arg,1993,15.09956
arg,1994,14.86385
arg,1995,14.0263
arg,1996,13.04084
arg,1997,13.6003
arg,1998,13.75613
arg,1999,14.01114
arg,2000,14.17761
arg,2001,13.7775
arg,2002,14.05611
arg,2003,17.1997
arg,2004,16.73478
arg,2005,16.62166
arg,2006,17.20176
arg,2007,17.93007
arg,2008,18.97173
arg,2009,20.13602
arg,2010,21.24132
arg,2011,20.19641
arg,2012,21.18223
arg,2013,21.56528
arg,2014,22.33229
arg,2015,22.14908
arg,2016,21.2567
arg,2017,19.33712
arg,2018,17.70245
arg,2019,18.52677
arg,2020,17.30594
arm,2004,18.19838
arm,2005,19.30486
arm,2006,19.76331
arm,2007,21.38498
arm,2008,22.86029
arm,2009,22.25325
arm,2010,22.64795
arm,2011,22.72643
arm,2012,22.5978
arm,2013,24.11682
arm,2014,24.51456
arm,2015,23.09249
arm,2016,22.83473
arm,2017,22.52547
arm,2018,22.45363
arm,2019,23.94124
arm,2020,24.14566
aus,1972,20.39456
aus,1973,19.44773
aus,1974,20.29516
aus,1975,22.06602
aus,1976,22.56977
aus,1977,22.95711
aus,1978,23.03937
aus,1979,22.20744
aus,1980,22.6952
aus,1981,23.63362
aus,1982,23.79418
aus,1983,24.20929
aus,1984,23.56362
aus,1985,25.10259
aus,1986,25.45548
aus,1987,26.17444
aus,1988,25.63207
aus,1989,24.73237
aus,1990,24.43984
aus,1991,24.21147
aus,1992,22.70747
aus,1993,22.00811
aus,1994,22.21539
aus,1995,23.05387
aus,1996,23.66316
aus,1997,24.19367
aus,1998,24.12124
aus,1999,25.1282
aus,2000,25.9207
aus,2001,27.09217
aus,2002,26.00469
aus,2003,26.60328
aus,2004,26.56756
aus,2005,27.0212
aus,2006,26.97118
aus,2007,26.42369
aus,2008,26.61438
aus,2009,24.49725
aus,2010,23.32464
aus,2011,22.71821
aus,2012,23.4494
aus,2013,24.46608
aus,2014,24.37517
aus,2015,24.52324
aus,2016,24.86566
aus,2017,24.81825
aus,2018,25.83082
aus,2019,26.09119
aus,2020,25.29278
aut,1972,27.74115
aut,1973,28.24369
aut,1974,28.70812
aut,1975,29.30824
aut,1976,29.27185
aut,1977,29.68463
aut,1978,31.97954
aut,1979,31.91409
aut,1980,32.40389
aut,1981,33.50384
aut,1982,32.44864
aut,1983,31.98641
aut,1984,33.35787
aut,1985,32.91489
aut,1986,32.65232
aut,1987,32.68578
aut,1988,33.60692
aut,1989,32.90859
aut,1990,33.02881
aut,1991,33.31783
aut,1992,34.79717
aut,1993,35.08327
aut,1994,35.03084
aut,1995,42.82376
aut,1996,43.95494
aut,1997,44.1718
aut,1998,44.12741
aut,1999,44.35185
aut,2000,43.77719
aut,2001,45.53581
aut,2002,44.52226
aut,2003,44.08818
aut,2004,43.85254
aut,2005,43.54131
aut,2006,42.98404
aut,2007,43.0074
aut,2008,43.74727
aut,2009,43.89386
aut,2010,43.51167
aut,2011,43.5698
aut,2012,44.16589
aut,2013,44.85947
aut,2014,44.70696
aut,2015,45.12298
aut,2016,43.58107
aut,2017,43.55616
aut,2018,43.68829
aut,2019,44.04128
aut,2020,43.43824
aze,1994,25.6047
aze,1995,17.99836
aze,1996,13.76721
aze,1997,14.88162
aze,1998,17.88074
aze,1999,17.5729
aze,2008,49.30189
aze,2009,40.88985
aze,2010,46.82892
aze,2011,45.48136
aze,2012,41.27397
aze,2013,40.4058
aze,2014,39.8964
aze,2015,34.18371
aze,2016,34.91987
aze,2017,35.07588
aze,2018,39.41663
aze,2019,42.81407
bdi,1973,11.4514
bdi,1974,11.79132
bdi,1975,9.56483
bdi,1976,11.88346
bdi,1977,14.49728
bdi,1978,16.63501
bdi,1979,14.458
bdi,1980,13.94617
bdi,1981,13.37512
bdi,1991,18.23424
bdi,1992,18.09796
bdi,1993,18.16279
bdi,1994,18.95251
bdi,1995,19.27361
bdi,1996,17.61498
bdi,1997,13.4612
bdi,1998,16.55919
bdi,1999,15.79634
bel,1995,41.36851
bel,1996,41.96226
bel,1997,42.2127
bel,1998,42.78513
bel,1999,42.50804
