geo,time,fs_ast_prvt_gd_zs
abw,1986,39.47631
abw,1987,39.45058
abw,1988,43.79213
abw,1989,43.3705
abw,1990,44.48402
abw,1991,44.22231
abw,1992,43.29178
abw,1993,40.912
abw,1994,42.44904
abw,1995,43.06822
abw,1996,45.41372
abw,1997,43.23093
abw,1998,41.87671
abw,1999,44.62327
abw,2000,44.7997
abw,2001,46.01885
abw,2002,51.32763
abw,2003,55.63532
abw,2004,52.39729
abw,2005,54.7401
abw,2006,54.88869
abw,2007,52.96467
abw,2008,52.46268
abw,2009,57.12124
abw,2010,60.35263
abw,2011,58.19489
abw,2012,60.55142
abw,2013,59.73685
abw,2014,60.79574
abw,2015,57.46776
abw,2016,57.56372
abw,2017,57.92087
afg,1960,9.27273
afg,1961,8.75304
afg,1962,7.15447
afg,1963,5.06805
afg,1964,5.18611
afg,1965,4.9713
afg,1966,3.80159
afg,1967,3.25232
afg,1968,4.02654
afg,1969,4.87161
afg,1970,4.55312
afg,1971,3.83314
afg,1972,5.54554
afg,1973,5.48769
afg,1974,5.37608
afg,1975,4.71023
afg,1976,5.42878
afg,1977,4.13363
afg,1978,4.55919
afg,1979,6.05786
afg,1980,5.97951
afg,1981,5.83798
afg,2006,4.84286
afg,2007,6.83998
afg,2008,9.38833
afg,2009,10.58413
afg,2010,11.57504
afg,2011,4.95918
afg,2012,4.4721
afg,2013,4.32169
afg,2014,3.94106
afg,2015,3.98149
afg,2016,3.61825
afg,2017,3.59038
afg,2018,3.30853
afg,2019,3.20112
ago,2015,25.24011
ago,2016,21.09841
ago,2017,17.00068
ago,2018,14.941
ago,2019,13.48657
alb,2009,38.2134
alb,2010,39.08285
alb,2011,41.15368
alb,2012,40.80458
alb,2013,39.78655
alb,2014,39.26169
alb,2015,37.15075
alb,2016,36.599
alb,2017,34.75783
alb,2018,33.0063
alb,2019,34.38724
are,2016,87.60196
are,2017,81.74814
are,2018,77.19888
arg,1960,13.61124
arg,1961,14.08812
arg,1962,12.01111
arg,1963,11.52006
arg,1964,10.62669
arg,1965,10.10667
arg,1966,11.06048
arg,1967,10.94357
arg,1968,13.86592
arg,1969,15.9785
arg,1970,17.53874
arg,1971,18.0217
arg,1972,17.63453
arg,1973,16.70558
arg,1974,19.17381
arg,1975,16.44135
arg,1976,13.56277
arg,1977,18.38291
arg,1978,20.55712
arg,1979,24.05623
arg,1980,25.39579
arg,1981,33.55231
arg,1982,33.90637
arg,1983,28.11828
arg,1984,25.001
arg,1985,17.36414
arg,1986,16.90723
arg,1987,21.29731
arg,1988,20.33584
arg,1989,39.7175
arg,1990,15.60169
arg,1991,12.5872
arg,1992,15.44534
arg,1993,18.2846
arg,1994,20.28058
arg,1995,19.96061
arg,1996,20.187
arg,1997,21.93346
arg,1998,24.1533
arg,1999,24.89334
arg,2000,23.89473
arg,2001,20.83357
arg,2002,15.33186
arg,2003,10.76271
arg,2004,9.68252
arg,2005,10.65349
arg,2006,11.91026
arg,2007,13.09854
arg,2008,12.31395
arg,2009,12.41621
arg,2010,12.69011
arg,2011,14.00872
arg,2012,15.21282
arg,2013,15.72909
arg,2014,13.82377
arg,2015,14.41423
arg,2016,13.66763
arg,2017,15.98166
arm,2009,24.85492
arm,2010,28.44516
arm,2011,35.36789
arm,2012,40.06006
arm,2013,42.38024
arm,2014,48.91717
arm,2015,45.63078
arm,2016,48.87564
arm,2017,51.54259
arm,2018,55.502
arm,2019,59.91981
atg,1977,40.0184
atg,1978,38.15754
atg,1979,29.15835
atg,1980,28.94604
atg,1981,32.90556
atg,1982,31.03986
atg,1983,36.6281
atg,1984,32.71877
atg,1985,33.88329
atg,1986,32.97868
atg,1987,39.29305
atg,1988,38.31995
atg,1989,39.55633
atg,1990,40.55309
atg,1991,42.09165
atg,1992,45.03467
atg,1993,43.27436
atg,1994,38.56999
atg,1995,45.35036
atg,1996,49.69608
atg,1997,55.88621
atg,1998,56.14119
atg,1999,57.81339
atg,2000,58.36014
atg,2001,62.38237
atg,2002,66.24531
atg,2003,64.56534
atg,2004,60.7408
atg,2005,60.35143
atg,2006,64.19711
atg,2007,64.49801
atg,2008,66.76581
atg,2009,74.51229
atg,2010,79.08234
atg,2011,76.62781
atg,2012,70.37554
atg,2013,68.74959
atg,2014,61.816
atg,2015,52.29879
atg,2016,48.7485
atg,2017,46.24149
atg,2018,42.97205
atg,2019,41.9173
aus,1960,19.14517
aus,1961,17.65557
aus,1962,18.6747
aus,1963,19.3116
aus,1964,20.14185
aus,1965,21.15765
aus,1966,22.41211
aus,1967,23.1291
aus,1968,24.03195
aus,1969,24.85813
aus,1970,23.31171
aus,1971,23.6496
aus,1972,24.70439
aus,1973,28.40714
aus,1974,27.89853
aus,1975,27.37598
aus,1976,27.89017
aus,1977,27.4198
aus,1978,28.0849
aus,1979,28.69134
aus,1980,27.88057
aus,1981,27.96466
aus,1982,27.084
aus,1983,28.82642
aus,1984,30.35833
aus,1985,37.10697
aus,1986,40.38895
aus,1987,42.87244
aus,1988,46.81312
aus,1989,59.37486
aus,1990,60.68292
aus,1991,60.23847
aus,1992,61.98315
aus,1993,63.39987
aus,1994,66.8923
aus,1995,69.95419
aus,1996,71.68242
aus,1997,75.5051
aus,1998,79.26442
aus,1999,84.28029
aus,2000,87.73576
aus,2001,88.65183
aus,2002,91.48292
aus,2003,99.40057
aus,2004,102.97502
aus,2005,108.7941
aus,2006,113.96121
aus,2007,120.78131
aus,2008,121.95285
aus,2009,122.63345
aus,2010,125.49566
aus,2011,122.33484
aus,2012,121.28372
aus,2013,124.78232
aus,2014,128.50682
aus,2015,136.31738
aus,2016,142.42317
aus,2017,140.19275
aus,2018,139.42635
aut,2001,89.71336
aut,2002,88.52153
aut,2003,87.80637
aut,2004,87.76585
aut,2005,94.32411
aut,2006,94.43761
aut,2007,92.91988
aut,2008,95.81297
aut,2009,97.73957
aut,2010,98.52832
aut,2011,96.0611
aut,2012,94.2238
