geo,time,ag_con_fert_pt_zs
afg,1974,177.32908
afg,1975,246.27048
afg,1976,168.82036
afg,1977,143.87752
afg,1978,111.11594
afg,1979,102.9793
afg,1980,104.55215
afg,1981,94.63975
afg,1982,109.28157
afg,1983,117.14286
afg,1984,148.89253
afg,1985,132.17754
afg,1986,119.9287
afg,1987,139.36508
afg,1988,100.96014
afg,1989,100.72464
afg,1990,77.3913
afg,1991,99.59016
afg,1992,109.04762
afg,1993,100
afg,1996,100
afg,1997,100
afg,1998,140
afg,1999,100
afg,2000,100
afg,2001,100
afg,2002,104.75156
afg,2003,166.82253
afg,2004,170.46649
afg,2005,190.48295
afg,2006,141.01565
afg,2007,96.49025
afg,2008,94.17926
afg,2009,108.12958
afg,2010,115.24588
afg,2011,155.95878
afg,2012,114.08888
afg,2013,220.57639
afg,2014,495.08592
afg,2015,648.39682
afg,2016,662.61735
afg,2017,986.80216
afg,2018,369.32481
afg,2019,535.59441
afg,2020,427.56019
alb,1964,1280
alb,1965,400
alb,1966,316.66667
alb,1967,155
alb,1968,119.35484
alb,1969,100.55866
alb,1970,101.14679
alb,1971,94.38596
alb,1972,97.54386
alb,1973,102.28873
alb,1974,106.5
alb,1975,102.62726
alb,1976,106.82493
alb,1977,110.53371
alb,1978,104.49791
alb,1979,102.93809
alb,1980,99.68085
alb,1981,103.03797
alb,1982,106.21242
alb,1983,104.79592
alb,1984,101.07527
alb,1985,101.1828
alb,1986,103.54839
alb,1987,102.37069
alb,1988,102.33298
alb,1989,102.20729
alb,1990,104.18795
alb,1991,104.33333
alb,1992,242.26804
alb,1993,166.10956
alb,1994,308.99582
alb,1995,1100
alb,1996,216.66667
alb,1997,173.33333
alb,1998,1250
alb,1999,530
are,1983,51.05556
are,1984,1.73189
are,1985,2.23817
are,1986,0.68053
are,1987,1.27974
are,1988,2.21493
are,1989,4.54965
are,1990,5.47477
are,1991,7.34524
are,1992,9.59966
are,1993,10.66615
are,1994,12.78261
are,1995,10.89918
are,1996,12.4613
are,1997,10.78104
are,1998,13.67323
are,1999,13.31568
are,2000,14.42071
are,2001,12.63994
are,2002,13.31278
are,2003,12.44211
are,2004,12.73771
are,2005,9.62036
are,2006,11.193
are,2007,11.12142
are,2008,10.92524
are,2009,8.24231
are,2010,9.8913
are,2011,10.64516
are,2012,9.64273
are,2013,5.88798
are,2014,2.96657
are,2015,3.37866
are,2016,3.37866
are,2017,3.37866
are,2018,3.37866
are,2019,3.37866
are,2020,3.37866
arg,1961,523.90323
arg,1962,211.85
arg,1963,421.6
arg,1964,590
arg,1965,810
arg,1966,1413.87843
arg,1967,604.18321
arg,1968,265.84685
arg,1969,381.62717
arg,1970,246.60282
arg,1971,176.6323
arg,1972,200.46512
arg,1973,247.91673
arg,1974,250.33333
arg,1975,245.12195
arg,1976,271.62847
arg,1977,264.24253
arg,1978,370.46327
arg,1979,494.23252
arg,1980,373.55917
arg,1981,382.63991
arg,1982,227.02128
arg,1983,236.52695
arg,1984,301.3308
arg,1985,312.69231
arg,1986,420.0428
arg,1987,383.33333
arg,1988,318.00391
arg,1989,309.29293
arg,1990,315.2381
arg,1991,397.1042
arg,1992,759.30005
arg,1993,537.90402
arg,1994,708.74114
arg,1995,900
arg,1996,1059.72739
arg,1997,833.77961
arg,1998,786.51116
arg,1999,688.54515
arg,2000,587.06327
arg,2001,198.9363
arg,2002,160.85125
arg,2003,197.58449
arg,2004,222.1449
arg,2005,208.36255
arg,2006,218.98273
arg,2007,382.68812
arg,2008,305.88031
arg,2009,153.27864
arg,2010,343.58839
arg,2011,303.38955
arg,2012,253.00579
arg,2013,209.35999
arg,2014,255.65333
arg,2015,212.51512
arg,2016,258.56807
arg,2017,236.72382
arg,2018,364.06555
arg,2019,347.50713
arg,2020,356.25108
arm,2002,523.6
aus,1961,110.09167
aus,1962,98.10557
aus,1963,97.48512
aus,1964,113.20718
aus,1965,111.38221
aus,1966,111.60772
aus,1967,107.48208
aus,1968,117.03472
aus,1969,108.71227
aus,1970,116.97296
aus,1971,107.9535
aus,1972,103.48094
aus,1973,112.26082
aus,1974,93.60911
aus,1975,113.64632
aus,1976,115.29955
aus,1977,111.3972
aus,1978,120.16208
aus,1979,114.37027
aus,1980,118.47543
aus,1981,122.80192
aus,1982,138.64244
aus,1983,149.95402
aus,1984,156.36605
aus,1985,157.13483
aus,1986,143.32128
aus,1987,139.33898
aus,1988,146.20447
aus,1989,188.78628
aus,1990,236.50215
aus,1991,256.16683
aus,1992,262.28552
aus,1993,278.57656
aus,1994,264.90049
aus,1995,272.48311
aus,1996,330.69343
aus,1997,345.82935
aus,1998,344.3175
aus,1999,317.19007
aus,2000,235.25223
aus,2001,224.33614
aus,2002,228.47299
aus,2003,231.109
aus,2004,252.3745
aus,2005,236.91279
aus,2006,224.67365
aus,2007,181.06979
aus,2008,215.56988
aus,2009,152.63854
aus,2010,282.41346
aus,2011,242.34266
aus,2012,267.73001
aus,2013,222.46564
aus,2014,383.40014
aus,2015,285.77966
aus,2016,282.48203
aus,2017,309.27975
aus,2018,283.91545
aus,2019,304.72113
aus,2020,285.14034
aut,1961,119.23154
aut,1962,128.33911
aut,1963,142.99111
aut,1964,141.51881
aut,1965,136.39401
aut,1966,72.81263
aut,1967,127.04332
aut,1968,109.4028
aut,1969,124.31976
aut,1970,127.00654
aut,1971,124.04215
aut,1972,112.397
aut,1973,110.97598
aut,1974,91.26891
aut,1975,90.39948
aut,1976,108.00262
aut,1977,95.9172
aut,1978,98.32632
aut,1979,105.25078
aut,1980,100.5679
aut,1981,118.34682
aut,1982,103.77365
aut,1983,126.19204
aut,1984,110.84919
aut,1985,130.67003
aut,1986,128.66557
aut,1987,95.95376
aut,1988,110.90781
aut,1989,94.2268
aut,1990,101.26878
aut,1991,84.4152
aut,1992,101.52091
aut,1993,88.21549
aut,1994,88.96797
aut,1995,89.09774
aut,1996,76.06923
aut,1997,90.50206
aut,1998,77.95506
aut,1999,79.42355
aut,2000,95.11941
aut,2001,75.19435
aze,1992,60.97561
aze,1993,108
aze,1994,130
aze,1995,487.5
aze,1996,553.33333
aze,1997,474
bel,1961,53.39086
bel,1962,59.97685
bel,1963,60.76105
bel,1964,45.59102
bel,1965,49.45453
bel,1966,53.02288
bel,1967,51.3125
bel,1968,37.31711
bel,1969,42.35547
bel,1970,38.1924
bel,1971,37.45116
bel,1972,37.48788
bel,1973,38.88615
bel,1974,37.3175
bel,1975,36.51831
bel,1976,37.37209
bel,1977,36.80628
bel,1978,34.99413
bel,1979,32.36584
bel,1980,33.56362
bel,1981,32.78329
bel,1982,35.60034
bel,1983,37.48961
bel,1984,38.10046
bel,1985,38.68062
bel,1986,41.59335
bel,1987,38.5305
bel,1988,38.74883
bel,1989,36.83486
bel,1990,33.92226
bel,1991,29.1598
bel,1992,33.1992
bel,1993,34.11265
bel,1994,45.83333
bel,1995,36.82956
bel,1996,40.88542
bel,1997,32.1466
bel,1998,29.48473
bel,1999,27.63636
bel,2002,28.12611
bel,2003,30.15074
bel,2004,28.62356
bel,2005,26.48998
bel,2006,24.83545
bel,2007,24.30316
bel,2008,18.38781
bel,2009,23.92124
bel,2010,25.17464
bel,2011,24.60492
bel,2012,25.4733
bel,2013,23.62016
bel,2014,23.28393
bel,2015,22.64873
bel,2016,23.24262
bel,2017,21.54852
bel,2018,23.07839
bel,2019,23.06475
bel,2020,23.06475
bfa,1990,18246.55172
bfa,1991,12769.1358
bfa,1992,8334.375
bfa,1993,7000
bfa,1994,7550.33333
bfa,1995,8102.66667
bfa,1996,8031.66667
bfa,1997,14192.33333
bfa,1998,16744
bfa,1999,4822.22222
bfa,2000,8857.18016
bgd,1961,289.64985
bgd,1962,83.91348
bgd,1963,107.04533
bgd,1964,128.42466
bgd,1965,128.84821
bgd,1966,176.09478
bgd,1967,192.19219
bgd,1968,271.20006
bgd,1969,298.68276
bgd,1970,178.62266
bgd,1971,537.38648
bgd,1972,197.44769
bgd,1973,140.33385
bgd,1974,277.70584
bgd,1975,140.39013
bgd,1976,164.19472
bgd,1977,272.04676
bgd,1978,217.86145
bgd,1979,202.83068
bgd,1980,215.44507
bgd,1981,181.47785
bgd,1982,172.32543
bgd,1983,146.15509
bgd,1984,158.1292
bgd,1985,125.00422
bgd,1986,137.2699
bgd,1987,109.16657
bgd,1988,106.11734
bgd,1989,121.80004
bgd,1990,131.45717
bgd,1991,125.61281
bgd,1992,103.46981
bgd,1993,90.48988
bgd,1994,109.30679
bgd,1995,114.72294
bgd,1996,121.21452
