geo,time,bx_gsr_insf_zs
abw,1986,0.3117
abw,1987,0.27712
abw,1988,0.298
abw,1989,0.38957
abw,1990,0.35884
abw,1991,3.25848
abw,1992,4.03756
abw,1993,3.55775
abw,1994,3.82674
abw,1995,3.38895
abw,1996,2.16729
abw,1997,0.62295
abw,1998,1.18943
abw,1999,0.17144
abw,2000,0.41062
abw,2001,0.16182
abw,2002,0.16144
abw,2003,0.21695
abw,2004,0.24159
abw,2005,0.29996
abw,2006,0.4134
abw,2007,0.45567
abw,2008,0.51577
abw,2009,0.87888
abw,2010,0.92745
abw,2011,0.97045
abw,2012,0.9416
abw,2013,0.7503
abw,2014,0.66638
abw,2015,0.84054
abw,2016,0.82222
abw,2017,0.75047
abw,2018,1.1655
abw,2019,1.03954
abw,2020,3.41604
abw,2021,1.89981
abw,2022,1.21226
abw,2023,1.33604
afg,2008,8.20456
afg,2009,8.55406
afg,2010,5.6418
afg,2011,10.28812
afg,2012,8.3052
afg,2013,5.82639
afg,2014,12.25261
afg,2015,7.2048
afg,2016,3.85753
afg,2017,1.68049
afg,2018,0.69246
afg,2019,0.61586
afg,2020,0.36937
ago,1985,15
ago,1986,15
ago,1987,15
ago,1988,15
ago,1989,15
ago,1990,2.73733
ago,1991,8.23818
ago,1992,8.0373
ago,1993,8.27505
ago,1994,10.07656
ago,1995,9.24747
ago,1996,8.28778
ago,1997,9.50628
ago,1998,7.32989
ago,1999,10.28239
ago,2000,13.21087
ago,2001,13.67407
ago,2003,-0.15665
ago,2024,0.01239
alb,1980,4.6789
alb,1981,4.75
alb,1982,4.69697
alb,1983,4.53846
alb,1984,4.67532
alb,1985,5.46667
alb,1986,4.25
alb,1987,3.40807
alb,1988,2.46622
alb,1989,2.18905
alb,1990,2.22222
alb,1991,1.95652
alb,1992,0.98522
alb,1993,0.81186
alb,1994,0.91024
alb,1995,1.31579
alb,1996,3.63777
alb,1997,15.33019
alb,1998,2.00219
alb,1999,0.30222
alb,2000,0.19595
alb,2001,0.30982
alb,2002,1.8677
alb,2003,3.18236
alb,2004,1.58337
alb,2005,1.71432
alb,2006,1.78898
alb,2007,2.34681
alb,2008,2.7321
alb,2009,0.91022
alb,2010,0.17816
alb,2011,0.64614
alb,2012,0.62005
alb,2013,0.55222
alb,2014,0.62543
alb,2015,0.25275
alb,2016,0.36343
alb,2017,0.27089
alb,2018,0.43884
alb,2019,0.5005
alb,2020,0.76419
alb,2021,0.37657
alb,2022,0.77898
alb,2023,0.66251
alb,2024,0.44442
and,2019,3.13961
and,2020,4.60172
and,2021,3.25076
and,2022,2.41479
and,2023,3.72824
and,2024,5.67233
arg,1979,0.29218
arg,1980,0.31983
arg,1981,0.34965
arg,1982,0.31766
arg,1983,0.34364
arg,1984,0.33091
arg,1985,0.18171
arg,1986,0.25047
arg,1987,0.05574
arg,1988,0.04963
arg,1989,0.228
arg,1990,0.04088
arg,1991,0.12458
arg,1992,0.16168
arg,1993,1.69337
arg,1994,0.43857
arg,1995,0.23594
arg,1996,0.15717
arg,1997,0.17675
arg,1998,0.12791
arg,1999,0.12315
arg,2000,0.37961
arg,2001,0.09218
arg,2002,0.02631
arg,2003,0.03055
arg,2004,0.03405
arg,2005,0.05791
arg,2006,1.61152
arg,2007,1.65608
arg,2008,1.48546
arg,2009,1.15713
arg,2010,1.49577
arg,2011,0.89827
arg,2012,0.8867
arg,2013,0.77467
arg,2014,0.65286
arg,2015,0.6214
arg,2016,0.95479
arg,2017,1.17457
arg,2018,1.56389
arg,2019,1.64409
arg,2020,2.30928
arg,2021,1.94115
arg,2022,1.75378
arg,2023,1.52196
arg,2024,1.49289
arm,1996,6.43804
arm,1997,2.92935
arm,1998,2.43752
arm,1999,2.63246
arm,2000,3.12565
arm,2001,2.2326
arm,2002,3.27925
arm,2003,3.28279
arm,2004,2.84649
arm,2005,3.01079
arm,2006,2.29034
arm,2007,2.1076
arm,2008,2.1637
arm,2009,1.69071
arm,2010,1.9933
arm,2011,2.04306
arm,2012,1.54212
arm,2013,1.83005
arm,2014,1.81111
arm,2015,1.65013
arm,2016,1.68384
arm,2017,1.76771
arm,2018,1.92696
arm,2019,3.08449
arm,2020,7.61967
arm,2021,4.36062
arm,2022,6.79266
arm,2023,5.16446
arm,2024,9.73584
atg,1986,0.53953
atg,1987,0.51676
atg,1988,0.48377
atg,1989,0.48809
atg,1990,1.00112
atg,1991,0.63325
atg,1992,0.52152
atg,1993,0.61288
atg,1994,0.60467
atg,1995,0.61965
atg,1996,0.98464
atg,1997,0.87976
atg,1998,4.59657
atg,1999,6.9626
atg,2000,2.97492
atg,2001,2.65626
atg,2002,2.96344
atg,2003,2.97452
atg,2004,3.41281
atg,2005,3.39435
atg,2006,3.90461
atg,2007,4.31781
atg,2008,4.03392
atg,2009,3.7786
atg,2010,3.94463
atg,2011,4.27128
atg,2012,3.98262
atg,2013,4.15855
atg,2014,3.71775
atg,2015,3.95582
atg,2016,4.01458
atg,2017,3.41999
atg,2018,3.78883
atg,2019,3.79781
atg,2020,9.14858
atg,2021,8.12429
atg,2022,6.03707
atg,2023,5.80948
atg,2024,6.02943
aus,1989,5.77021
aus,1990,5.53635
aus,1991,7.21073
aus,1992,8.6762
aus,1993,9.19389
aus,1994,6.47629
aus,1995,7.89529
aus,1996,7.38361
aus,1997,6.69592
aus,1998,6.7097
aus,1999,5.79124
aus,2000,5.46122
aus,2001,5.07434
aus,2002,4.93691
aus,2003,4.4839
aus,2004,4.50451
aus,2005,5.05319
aus,2006,6.42147
aus,2007,6.43573
aus,2008,4.12946
aus,2009,3.62095
aus,2010,3.36523
aus,2011,4.39865
aus,2012,5.08797
aus,2013,6.12007
aus,2014,6.28272
aus,2015,6.44969
aus,2016,5.42874
aus,2017,5.6201
aus,2018,5.59164
aus,2019,5.4983
aus,2020,7.62715
aus,2021,9.6676
aus,2022,7.54199
aus,2023,5.76929
aus,2024,4.69921
aut,2005,3.80358
aut,2006,5.49061
aut,2007,8.12222
aut,2008,8.34373
aut,2009,7.28855
aut,2010,6.99071
aut,2011,7.17395
aut,2012,7.0178
aut,2013,6.57934
aut,2014,6.1667
aut,2015,5.19799
aut,2016,5.09912
aut,2017,4.84856
aut,2018,4.58714
aut,2019,4.19788
aut,2020,4.47357
aut,2021,5.35415
aut,2022,4.47871
aut,2023,3.64816
aut,2024,3.32248
aze,1995,0.14098
aze,1996,0.85089
aze,1997,0.3271
aze,1998,1.20054
aze,2003,1.0553
aze,2004,1.40637
aze,2005,1.07046
aze,2006,1.56241
aze,2007,0.54575
aze,2008,0.29786
aze,2009,0.24166
aze,2010,0.46851
aze,2011,0.40743
aze,2012,0.26639
aze,2013,0.47241
aze,2014,0.59099
aze,2015,0.45531
aze,2016,0.43999
aze,2017,0.63111
aze,2018,0.53183
aze,2019,0.90057
aze,2020,1.17011
aze,2021,0.77555
aze,2022,0.71919
aze,2023,0.81095
aze,2024,1.96757
bdi,1985,0.76826
bdi,1986,0.6791
bdi,1987,0.57745
bdi,1988,0.51971
bdi,1989,0.43621
bdi,1990,0.62981
bdi,1991,0.64419
bdi,1992,0.82985
bdi,1993,3.29114
bdi,1994,3.18218
bdi,1995,0.12171
bdi,1996,4.11303
bdi,1997,6.33344
bdi,1998,3.78286
bdi,1999,0.4994
bdi,2000,0.25134
bdi,2001,7.16637
bdi,2002,14.27856
bdi,2003,0.19214
bdi,2004,0.05182
bdi,2005,0.13473
bdi,2006,0.14487
bdi,2007,0.0042
bdi,2008,0.29556
bdi,2009,0.71111
bdi,2010,1.97712
bdi,2011,3.71507
bdi,2012,2.72162
bdi,2013,4.20578
bdi,2014,4.74902
bdi,2015,5.23657
bdi,2016,3.40507
bdi,2017,1.77106
bdi,2018,1.48901
bdi,2019,2.54422
bdi,2020,3.90284
bdi,2021,5.32995
bdi,2022,9.32471
bdi,2023,7.8732
bel,2002,6.94881
bel,2003,7.1149
bel,2004,7.08071
bel,2005,7.37824
bel,2006,7.50799
bel,2007,6.48885
bel,2008,8.90162
bel,2009,9.72543
bel,2010,8.29133
bel,2011,8.10947
bel,2012,7.60662
bel,2013,8.35133
bel,2014,8.51933
