geo,time,ne_rsb_gnfs_cn
abw,1995,-37000000
abw,1996,-51000000
abw,1997,-102000000
abw,1998,-119000000
abw,1999,-145000000
abw,2000,125000000
abw,2001,67000000
abw,2002,-155000000
abw,2003,-281000000
abw,2004,-139000000
abw,2005,-392000000
abw,2006,-532000000
abw,2007,-498000000
abw,2008,-515000000
abw,2009,-559000000
abw,2010,-707000000
abw,2011,-729000000
abw,2012,-780000000
abw,2013,-506000000
abw,2014,-369000000
abw,2015,-33000000
abw,2016,24000000
abw,2017,93000000
afg,1960,-699999600
afg,1961,-899999600
afg,1962,-1099999400
afg,1963,-2600000800
afg,1964,-3299998800
afg,1965,-4599999400
afg,1966,-6299999700
afg,1967,-5600000000
afg,1968,-3900000200
afg,1969,-3100000300
afg,1970,-1700000800
afg,1971,-4300000200
afg,1972,-2400000000
afg,1973,-1400000600
afg,1974,-800000000
afg,1975,-1699999700
afg,1976,-1900000300
afg,1977,-4200000500
afg,1978,-4500000800
afg,2009,-96211962355.73199
afg,2010,-146802783535.14301
afg,2011,-198183594924.11105
afg,2012,-384615921647.62903
afg,2013,-480282001147.13794
afg,2014,-359591461414.00494
afg,2015,-432687912773.83997
afg,2016,-420232607925.99091
afg,2017,-463472689354.09003
afg,2018,-461112352088.30206
afg,2019,-446535086624.315
ago,2000,24589021500
ago,2001,871412600.00003
ago,2002,59008000000
ago,2003,63011000000.00001
ago,2004,259341000000
ago,2005,788238000000.00012
ago,2006,1360198000000
ago,2007,1389332999999.99976
ago,2008,1566858000000
ago,2009,-275048583600
ago,2010,1460433000000.00024
ago,2011,2242727000000
ago,2012,2454790000000
ago,2013,1937321825700.00024
ago,2014,1440569835600.00024
ago,2015,-471425219599.99994
ago,2016,476431180300.00085
ago,2017,1165361373300
ago,2018,3919652403500
alb,1980,63099900
alb,1981,235900100
alb,1982,-744899800
alb,1983,-436900100
alb,1984,-324300000
alb,1985,-373400100
alb,1986,-71299800
alb,1987,-16599800
alb,1988,-482300200
alb,1989,-519000100
alb,1990,-1400000000
alb,1991,-3341039900
alb,1992,-41000250900
alb,1993,-58746886200
alb,1994,-51855358000
alb,1995,-49526321100
alb,1996,-72404700000
alb,1997,-82934710000.00002
alb,1998,-96994020000
alb,1999,-76863770000
alb,2000,-116395960000
alb,2001,-134237230000
alb,2002,-162597970000
alb,2003,-171642490000
alb,2004,-166799260000.00003
alb,2005,-199805270000
alb,2006,-208128750000
alb,2007,-257857280000
alb,2008,-290128170000
alb,2009,-281561740000
alb,2010,-255174960000
alb,2011,-295703310000.00006
alb,2012,-248372340000
alb,2013,-243564190000
alb,2014,-264854600000
alb,2015,-247650649999.99997
alb,2016,-248172560000
alb,2017,-233444290000
alb,2018,-224522880000
alb,2019,-230026579999.99997
are,2001,32075000000
are,2002,23936000000
are,2003,43594000000
are,2004,57072670000
are,2005,103595300000
are,2006,145075730000
are,2007,75492000000
are,2008,106847000000
are,2009,54423000000
are,2010,219312000000
are,2011,366864000000
are,2012,498598000000
