global,time,bx_trf_pwkr_cd_dt
world,1970,1929281478.326
world,1971,2471265106.3446
world,1972,3007046104.134
world,1973,3228163915.681
world,1974,4550431268.0599
world,1975,10202871311.0542
world,1976,11731899073.7502
world,1977,17603357061.0905
world,1978,23343002660.4043
world,1979,29311970025.9936
world,1980,37016419829.2572
world,1981,35917138013.1103
world,1982,37417327676.3795
world,1983,37992113368.78529
world,1984,36648040749.5477
world,1985,35809258260.6207
world,1986,42006908619.7502
world,1987,50810810370.92351
world,1988,54559945906.8967
world,1989,58258391611.3294
world,1990,68440818634.0398
world,1991,72653565947.07619
world,1992,80850644338.7323
world,1993,81084202246.93401
world,1994,91641495676.31281
world,1995,94547012159.46448
world,1996,97620592901.69241
world,1997,110988933074.354
world,1998,110779610315.392
world,1999,115060770698.882
world,2000,121769727355.46201
world,2001,132149049819.095
world,2002,153023943803.655
world,2003,188325100311.76697
world,2004,216368544586.621
world,2005,253875692786.81201
world,2006,293734416725.64697
world,2007,350781680761.586
world,2008,406234112902.92896
world,2009,389462158162.33801
world,2010,418166000124.52197
world,2011,468197260061.11401
world,2012,490854286164.47601
world,2013,522715508430.67297
world,2014,558757444218.51794
world,2015,549805669110.94397
world,2016,540665850092.76099
world,2017,587787554740.63794
world,2018,633956074312.172
world,2019,658224418127.01794
world,2020,657451859787.63501
world,2021,739456708432.16992
world,2022,766848271881.823
