global,time,en_atm_noxe_ag_kt_ce
world,1970,1269938.92846
world,1971,1199396.6918
world,1972,1251832.91771
world,1973,1290757.19419
world,1974,1257337.90968
world,1975,1338975.6181
world,1976,1364746.83156
world,1977,1427819.80696
world,1978,1446191.64479
world,1979,1538543.27354
world,1980,1570804.1611
world,1981,1523332.91132
world,1982,1599160.90426
world,1983,1615048.2922
world,1984,1603189.72407
world,1985,1606894.3086
world,1986,1624808.88524
world,1987,1707141.46017
world,1988,1668898.6751
world,1989,1708667.82827
world,1990,1823710
world,1991,1814950
world,1992,1809580
world,1993,1794160
world,1994,1814290
world,1995,1854550
world,1996,1880550
world,1997,1855380
world,1998,1889800
world,1999,1915380
world,2000,1908130
world,2001,1923460
world,2002,1960710
world,2003,1956820
world,2004,2016030
world,2005,2023940
world,2006,2053490
world,2007,2105280
world,2008,2099790
world,2009,2102300
world,2010,2140800
world,2011,2221570
world,2012,2231950
world,2013,2208840
world,2014,2234500
world,2015,2241760
world,2016,2263530
world,2017,2306980
world,2018,2296270
