global,time,dc_dac_chel_cd
world,1960,1700000.04768
world,1961,6500000
world,1962,2200000.04768
world,1963,1919999.95708
world,1964,4650000.09537
world,1965,6340000.15259
world,1966,9869999.88556
world,1967,7280000.20981
world,1968,16369998.93188
world,1969,17659999.84741
world,1970,18379999.16077
world,1971,19360000.61035
world,1972,30579999.92371
world,1973,33509998.32153
world,1974,44720001.2207
world,1975,70550003.05176
world,1976,66980003.35693
world,1977,69190002.44141
world,1978,100510002.13623
world,1979,114849998.47412
world,1980,176289993.28613
world,1981,162699996.94824
world,1982,183339996.33789
world,1983,217699996.94824
world,1984,217940002.44141
world,1985,227449996.94824
world,1986,323130004.88281
world,1987,388100006.10352
world,1988,444359985.35156
world,1989,422919982.91016
world,1990,560940002.44141
world,1991,757000000
world,1992,749890014.64844
world,1993,714380004.88281
world,1994,813090026.85547
world,1995,863010009.76562
world,1996,781479980.46875
world,1997,645150024.41406
world,1998,700510009.76562
world,1999,779460021.97266
world,2000,684619995.11719
world,2001,695039978.02734
world,2002,811799987.79297
world,2003,1014409973.14453
world,2004,1248709960.9375
world,2005,1404589965.82031
world,2006,1253510009.76563
world,2007,1262829956.05469
world,2008,1549670043.94531
world,2009,1750510009.76563
world,2010,1711239990.23438
world,2011,2370179931.64063
world,2012,2453270019.53125
world,2013,2505540039.0625
world,2014,2778409912.10938
world,2015,2726550048.82813
world,2016,2772449951.17188
world,2017,2338080078.125
world,2018,2329369873.04688
world,2019,2349619873.04688
world,2020,2804330078.125
