geo,time,sh_med_numw_p3
afg,2005,0.582
afg,2006,0.44
afg,2007,0.4956
afg,2008,0.4971
afg,2009,0.6078
afg,2013,0.2495
afg,2014,0.1476
afg,2015,0.1299
afg,2016,0.1482
afg,2017,0.1755
afg,2018,0.4461
ago,1997,0.9163
ago,2004,0.9854
ago,2009,1.3144
ago,2018,0.4075
alb,1990,4.4993
alb,1993,4.9487
alb,1994,5.1514
alb,1995,4.5996
alb,1996,4.6097
alb,1997,4.6082
alb,1998,4.0923
alb,1999,4.0766
alb,2000,4.017
alb,2001,3.832
alb,2002,3.669
alb,2003,3.6042
alb,2004,3.5866
alb,2005,3.6076
alb,2006,4.1613
alb,2007,4.2011
alb,2009,4.1894
alb,2010,4.0183
alb,2011,4.1761
alb,2012,4.4192
alb,2013,4.2892
alb,2016,3.6495
alb,2019,5.088
and,1995,2.457
and,1997,2.7061
and,1998,2.9173
and,1999,3.1677
and,2000,3.318
and,2001,3.1798
and,2002,3.1286
and,2003,2.9372
and,2004,2.9096
and,2005,3.3714
and,2006,3.1975
and,2007,3.3857
and,2009,3.6805
and,2015,4.0128
are,1990,2.832
are,1991,3.8318
are,1992,4.0017
are,1993,3.8098
are,1994,3.7073
are,1995,3.5808
are,1996,3.5643
are,1997,3.5509
are,1998,4.368
are,1999,3.6409
are,2000,3.401
are,2001,3.7182
are,2002,3.7976
are,2003,3.9548
are,2004,3.3515
are,2005,2.9999
are,2006,2.7999
are,2007,2.9802
are,2008,2.8181
are,2009,2.9243
are,2010,2.6529
are,2011,2.8558
are,2012,3.0099
are,2013,3.3402
are,2014,3.9589
are,2015,4.9828
are,2016,5.5311
are,2017,5.6829
are,2018,5.7271
are,2019,5.7461
arg,1992,2.0579
arg,1994,2.151
arg,1998,0.8041
arg,2001,0.4453
arg,2004,0.4854
arg,2013,4.2463
arg,2016,2.5821
arg,2017,2.5996
arm,2001,5.4519
arm,2002,5.1295
arm,2003,4.9382
arm,2004,4.8609
arm,2005,4.9884
arm,2006,5.1117
arm,2007,5.1419
arm,2008,5.1981
arm,2009,5.1799
arm,2010,5.2396
arm,2011,5.2988
arm,2012,5.2888
arm,2013,5.2009
arm,2014,5.1552
arm,2015,4.9535
atg,1999,3.1191
atg,2007,3.2976
atg,2013,4.6011
atg,2014,4.6868
atg,2015,4.5085
atg,2016,4.4868
atg,2017,4.4969
atg,2018,4.5171
atg,2019,9.0834
aus,1990,11.7036
aus,1991,12.1472
aus,1992,11.625
aus,1993,11.1194
aus,1994,11.5037
aus,1995,10.8442
aus,1996,11.4551
aus,1997,10.432
aus,1998,10.3089
aus,1999,10.1875
aus,2000,10.0871
aus,2001,10.5956
aus,2002,9.9917
aus,2003,9.9864
aus,2004,10.2374
aus,2005,9.7628
aus,2007,10.1586
aus,2008,10.2627
aus,2009,10.7496
aus,2010,10.4017
aus,2011,10.8124
aus,2012,10.1433
aus,2013,11.9398
aus,2014,12.1107
aus,2015,12.2016
aus,2016,12.4053
aus,2017,12.5508
aus,2018,12.8134
aus,2019,13.1388
aut,1990,4.0247
aut,1991,4.1562
aut,1992,4.351
aut,1993,4.6025
aut,1994,4.9151
aut,1995,5.1019
aut,1996,5.2092
aut,1997,5.3303
aut,1998,5.4156
aut,1999,5.5684
aut,2000,5.6942
aut,2001,5.7417
aut,2002,5.843
aut,2003,5.8487
aut,2004,6.0964
aut,2005,6.1789
aut,2006,6.342
aut,2007,6.4122
aut,2008,6.5626
aut,2009,6.6734
aut,2010,6.7211
aut,2011,6.8065
aut,2012,6.8288
aut,2013,6.874
aut,2014,6.9807
aut,2015,7.0138
aut,2016,7.0183
aut,2017,7.0899
aut,2018,7.0891
aze,1990,11.177
aze,1991,11.2828
aze,1992,10.8643
aze,1993,10.9107
aze,1994,10.5421
aze,1995,10.1528
aze,1996,9.866
aze,1997,9.4125
aze,1998,8.981
aze,1999,8.8796
aze,2000,8.6612
aze,2001,8.5509
aze,2002,8.3524
aze,2003,8.2922
aze,2004,8.1916
aze,2005,8.2422
aze,2006,8.2576
aze,2007,8.2338
aze,2008,8.1608
aze,2009,8.1077
aze,2010,7.3513
aze,2011,6.9594
aze,2012,6.8002
aze,2013,6.6417
aze,2014,6.4338
bdi,2004,0.189
bdi,2010,0.6885
bdi,2011,0.6667
bdi,2012,0.7032
bdi,2013,0.6926
bdi,2014,0.6951
bdi,2015,0.666
bdi,2017,0.8526
bdi,2018,0.8193
bdi,2019,0.6628
bdi,2020,0.6487
bel,2003,5.829
bel,2004,9.181
bel,2005,9.4046
bel,2006,9.5324
bel,2007,9.6536
bel,2008,9.7552
bel,2009,9.8818
bel,2010,10.0931
bel,2011,10.3901
bel,2012,10.626
bel,2013,10.9082
bel,2014,11.1914
bel,2015,11.808
bel,2016,11.9781
bel,2017,11.8656
bel,2018,11.7356
ben,2004,0.747
ben,2008,0.8197
ben,2010,0.452
ben,2011,0.4247
ben,2012,0.6802
ben,2013,0.582
ben,2016,0.7596
ben,2018,0.3888
ben,2019,0.3029
bfa,2004,0.5032
bfa,2008,0.3705
bfa,2009,0.4045
bfa,2010,0.554
bfa,2011,0.4564
bfa,2012,0.6312
bfa,2013,0.4561
bfa,2014,0.4607
bfa,2015,0.6698
bfa,2016,0.6586
bfa,2017,0.8829
bfa,2019,0.9272
bgd,2003,0.2754
bgd,2005,0.2839
bgd,2006,0.2841
bgd,2007,0.1625
bgd,2008,0.1623
bgd,2009,0.1714
bgd,2010,0.183
bgd,2011,0.1932
bgd,2012,0.2067
bgd,2013,0.21
bgd,2014,0.256
bgd,2015,0.275
bgd,2016,0.2639
bgd,2017,0.3163
bgd,2018,0.3962
bgd,2019,0.3916
bgd,2020,0.4891
bgr,1990,6.9393
bgr,1991,6.5851
bgr,1992,6.5985
bgr,1993,6.8728
bgr,1994,6.784
bgr,1995,6.8845
bgr,1996,6.9554
bgr,1997,6.4976
bgr,1998,6.5337
bgr,1999,6.2906
bgr,2000,4.4524
bgr,2001,4.1972
bgr,2002,4.0605
bgr,2003,4.242
bgr,2004,4.2851
bgr,2005,4.5128
bgr,2006,4.5902
bgr,2007,4.7046
bgr,2008,4.7381
bgr,2009,4.7167
bgr,2010,4.7182
bgr,2011,4.727
bgr,2012,4.82
bgr,2013,4.9013
bgr,2014,4.8554
bgr,2015,4.8156
bgr,2016,4.3314
bgr,2017,4.3585
bgr,2018,4.7853
bhr,2000,2.9807
bhr,2001,3.1049
bhr,2002,2.8717
bhr,2003,2.8252
bhr,2005,2.6867
bhr,2006,2.7181
bhr,2008,2.5624
bhr,2009,2.523
