geo,time,se_pre_tcaq_ma_zs
abw,2001,100
abw,2002,100
abw,2003,100
abw,2004,100
abw,2005,100
abw,2006,100
abw,2007,100
abw,2008,100
abw,2009,100
abw,2010,100
abw,2011,100
abw,2012,100
ago,2010,43.15387
ago,2011,42.21709
and,2006,100
and,2007,100
and,2008,100
and,2009,100
and,2010,100
and,2011,100
and,2012,100
and,2013,100
and,2014,100
and,2015,100
and,2016,100
and,2017,100
and,2018,100
are,1999,71.42857
are,2002,80
are,2004,14.28571
are,2005,80
are,2007,100
are,2009,100
are,2010,100
are,2011,100
are,2012,100
are,2013,100
are,2014,100
are,2015,100
are,2016,100
arm,2002,0
arm,2009,46.15385
arm,2010,15
arm,2011,100
arm,2014,100
arm,2015,100
arm,2016,78.57143
arm,2017,100
aze,2000,50
aze,2003,100
aze,2005,90
aze,2006,100
aze,2007,100
aze,2008,76.92308
aze,2011,85.07463
aze,2012,96.72131
aze,2013,100
aze,2015,100
aze,2016,100
aze,2018,100
bdi,2004,25
bdi,2011,18.60465
bdi,2012,31.87773
bdi,2014,38.53821
bdi,2015,100
bdi,2016,100
bdi,2017,100
bdi,2018,100
ben,2010,62.76102
ben,2012,41.69769
ben,2016,27.27691
ben,2018,74.25083
bfa,2011,76.48579
bfa,2017,53.11203
bfa,2018,59.71317
bhr,2006,100
bhr,2009,0
bhr,2011,0
bhr,2012,50
bhr,2013,0
bhr,2014,100
bhr,2015,100
bhr,2016,14.28571
bhr,2017,83.33333
bhr,2018,100
bhs,1999,50
bhs,2000,50
bhs,2011,66.66667
bhs,2012,0
bhs,2013,88.23529
blr,2002,18.98527
blr,2004,79.05759
blr,2005,64.65863
blr,2006,64.54082
blr,2007,64.18919
blr,2008,69.54315
blr,2009,14.24419
blr,2010,67.75281
blr,2011,41.37291
blr,2012,88.12785
blr,2013,91.73554
blr,2014,84.19865
blr,2015,86.58228
blr,2016,86.22449
blr,2017,85.11628
blr,2018,86.69834
blz,2011,70
blz,2012,60
blz,2013,20
blz,2014,66.66667
blz,2015,77.77778
blz,2016,50
blz,2018,42.85714
bol,2011,10.16949
bol,2012,16.47059
bol,2013,13.47032
bol,2014,11.92661
bol,2015,11.56463
bol,2016,11.65919
bol,2017,8.77193
brb,2005,29.41176
brb,2007,10
brb,2008,33.33333
brb,2009,25
brb,2010,18.18182
brb,2011,21.42857
brb,2015,44
brb,2016,50
brb,2017,50
brb,2018,43.75
brn,2005,95.83333
brn,2006,93.10345
brn,2007,88.88889
brn,2008,94.11765
brn,2009,90
brn,2010,95
brn,2011,73.91304
brn,2012,81.03448
brn,2013,75.36232
brn,2014,75
brn,2015,87.5
brn,2016,84.61538
brn,2017,88.23529
brn,2018,82.92683
btn,1999,100
btn,2000,100
btn,2015,100
btn,2016,100
btn,2017,100
btn,2018,100
bwa,2006,42.5
bwa,2007,39.28571
bwa,2008,33.33333
bwa,2009,45.94595
bwa,2012,54.54545
bwa,2013,56.09756
civ,2000,90.23569
civ,2001,90.39409
civ,2003,100
civ,2007,100
civ,2008,100
civ,2009,100
civ,2011,100
civ,2012,93.27354
civ,2013,80.61224
civ,2014,83.54978
civ,2015,100
civ,2016,100
civ,2017,100
civ,2018,100
cmr,2006,51.11111
cmr,2007,38.03526
cmr,2010,29.30328
cmr,2011,40.81996
cmr,2012,54.56204
cmr,2015,47.38761
cmr,2016,44.90798
cmr,2017,47.10983
cod,2010,5.24476
cod,2012,6.67838
cod,2013,7.39372
cod,2014,8.06452
cod,2015,5.26316
cog,2004,0
cog,2005,0
cog,2010,89.70588
cog,2012,100
col,2007,100
col,2008,100
col,2009,100
col,2010,100
col,2011,100
col,2012,100
col,2013,92.21311
col,2014,92.47152
cri,1999,82.03125
cri,2005,77.08333
cri,2006,66.13272
cri,2007,60.13514
cri,2008,57.86925
cri,2009,62.21294
cri,2010,63.28502
cri,2011,65.57377
cri,2013,86.75722
cri,2014,87.11864
cri,2015,88.04348
cri,2016,89.52234
cri,2018,90.27778
cub,1999,0
cub,2000,0
cub,2001,0
cub,2002,0
cub,2003,0
cub,2004,0
cub,2005,0
cub,2006,0
cub,2007,0
cub,2008,0
cub,2009,0
cub,2010,0
cub,2011,0
cym,1999,50
cym,2002,100
cym,2012,100
dji,2004,66.66667
dji,2008,60
dji,2009,100
dom,1999,59.34579
dom,2000,57.61821
dom,2004,71.59763
dom,2005,70.69486
dom,2006,69.01099
dom,2007,72.81192
dom,2008,48.81423
dom,2009,90.31142
dom,2010,89.75207
dom,2011,90.03378
dom,2012,79.00641
dom,2013,75.30303
dom,2014,77.60989
dom,2015,81.85185
dom,2016,81.54982
dom,2017,83.01205
ecu,2000,73.09613
ecu,2001,74.28088
ecu,2002,58.39942
ecu,2003,60.21011
ecu,2004,59.55662
ecu,2005,59.16526
ecu,2006,60.67244
ecu,2007,62.09062
egy,2016,23.29749
eri,1999,22.22222
eri,2000,42.85714
eri,2001,50
eri,2003,57.89474
eri,2004,57.14286
eri,2005,55.17241
eri,2006,53.84615
eri,2007,69.69697
eri,2008,59.45946
eri,2009,56.25
eri,2010,50
eri,2011,55
eri,2012,47.82609
eri,2013,35.48387
eri,2014,31.42857
eri,2015,28.94737
eri,2017,44.73684
eth,1999,37.09677
eth,2000,50
eth,2001,53.81526
eth,2002,53.71429
eth,2003,58.15085
eth,2004,60.09732
eth,2005,68.25
eth,2006,17.53501
eth,2007,12.10253
eth,2008,11.17739
gha,1999,16.49705
gha,2000,20.03554
gha,2001,18.30261
gha,2002,21.33157
gha,2003,21.63743
gha,2004,10.45784
gha,2005,25.13987
gha,2006,13.91521
gha,2007,28.8777
gha,2008,21.73468
gha,2009,22.97339
gha,2010,22.76884
gha,2011,22.77038
gha,2012,30.74627
gha,2013,33.89072
gha,2014,38.24349
gha,2015,42.85081
gha,2018,51.47169
gib,2016,100
gin,2006,30.70301
gin,2008,41.08626
gmb,2013,70.35682
gmb,2014,76.87662
gmb,2015,72.45989
gmb,2017,72.49263
gnb,2000,26.92308
gnb,2010,27.83505
gnq,2015,86.46288
grd,2003,0
guy,1999,40.90909
guy,2000,13.63636
guy,2001,10
guy,2003,18.18182
guy,2005,21.05263
guy,2007,36.36364
guy,2008,25
guy,2009,50
guy,2010,55.55556
guy,2011,62.5
guy,2012,60
hkg,2014,70.34884
hkg,2015,72.72727
hkg,2016,71.60494
hkg,2017,76.75277
hkg,2018,81.48148
hnd,2004,52.90909
hnd,2013,41.2037
hrv,1999,85.71429
hrv,2000,89.47368
hrv,2001,94.11765
hrv,2002,90.90909
hrv,2003,100
jam,2015,81.62072
jam,2018,92.94606
jor,2013,100
kaz,2014,100
ken,2003,49.19321
ken,2004,54.05466
ken,2005,54.54747
ken,2006,54.54162
ken,2007,55.03252
ken,2008,73.24809
ken,2009,92.49232
ken,2012,75.59577
ken,2014,90.00112
kgz,2003,33.33333
kgz,2004,100
kgz,2005,38.88889
kgz,2006,40
kgz,2007,44.44444
kgz,2008,50
kgz,2009,44
kgz,2010,42.30769
kgz,2011,48
khm,2012,100
khm,2013,100
khm,2014,100
khm,2015,100
khm,2016,100
khm,2017,100
khm,2018,100
kwt,1999,100
kwt,2000,100
kwt,2003,100
kwt,2005,100
