global,time,sh_dyn_mort_fe
world,1990,90.3
world,1991,89.1
world,1992,87.9
world,1993,86.8
world,1994,85.7
world,1995,84.2
world,1996,82.3
world,1997,80.5
world,1998,78.5
world,1999,76.1
world,2000,73.6
world,2001,71
world,2002,68.4
world,2003,65.7
world,2004,63.3
world,2005,60.5
world,2006,58
world,2007,55.6
world,2008,53.5
world,2009,51
world,2010,49.2
world,2011,46.9
world,2012,45.1
world,2013,43.4
world,2014,41.9
world,2015,40.5
world,2016,39.1
world,2017,37.8
world,2018,36.6
world,2019,35.5
