geo,time,bn_gsr_fcty_cd
abw,1986,-6368715.0838
abw,1987,-12234636.87151
abw,1988,-17039106.14525
abw,1989,-11284916.20112
abw,1990,-7765363.12849
abw,1991,-7765363.12849
abw,1992,-7318435.75419
abw,1993,-11229050.27933
abw,1994,-12737430.1676
abw,1995,-8212290.50279
abw,1996,-11843575.41899
abw,1997,-17206703.91061
abw,1998,391061.45251
abw,1999,-42675977.65363
abw,2000,-24033519.55307
abw,2001,-57340782.12291
abw,2002,-135743016.75978
abw,2003,-53368715.0838
abw,2004,-74245810.05587
abw,2005,-478533012.8337
abw,2006,-105887259.33334
abw,2007,-384525139.6648
abw,2008,-116759776.53631
abw,2009,-89106145.2514
abw,2010,-140223463.68715
abw,2011,-245642458.10056
abw,2012,-115083798.88268
abw,2013,-164332468.05524
abw,2014,-102747306.51698
abw,2015,-124763338.87228
abw,2016,-135228983.94625
abw,2017,-170584624.75176
abw,2018,-214772501.60391
abw,2019,-157927754.75785
abw,2020,-68201690.8217
abw,2021,-93947913.56363
abw,2022,-122759451.34377
abw,2023,-315677086.4929
afg,1979,23200000
afg,1980,45000000
afg,1981,23500000
afg,1982,21100000
afg,1983,6300000
afg,1984,1900000
afg,1985,20600000
afg,1986,-10800000
afg,1987,7900000
afg,1988,11800000
afg,1989,12200000
afg,2008,-2101054.23948
afg,2009,-35470045.59518
afg,2010,27931206.51932
afg,2011,-19413354.22975
afg,2012,31495312.31145
afg,2013,71736629.89706
afg,2014,-2370553.8389
afg,2015,179966040.03547
afg,2016,179550017.89463
afg,2017,248317508.98574
afg,2018,190733909.92778
afg,2019,306904718.61496
afg,2020,189227088.69912
ago,1985,-214000000
ago,1986,-233000000
ago,1987,-294000000
ago,1988,-615000000
ago,1989,-779000000
ago,1990,-765300000
ago,1991,-1042100000
ago,1992,-782288000
ago,1993,-816100000
ago,1994,-734700000
ago,1995,-767257000
ago,1996,-1473354000
ago,1997,-921000000
ago,1998,-968790000
ago,1999,-1372030000
ago,2000,-1680860000
ago,2001,-1560990000
ago,2002,-1634656133.52
ago,2003,-1726480970
ago,2004,-2488563724.91
ago,2005,-4030888677.06
ago,2006,-6177867505.48
ago,2007,-7599027343.95
ago,2008,-13717547685.5
ago,2009,-6823141271.27
ago,2010,-8086861868.85
ago,2011,-9697326689.50557
ago,2012,-10421753673.91502
ago,2013,-9900058900.8031
ago,2014,-8849901928.96056
ago,2015,-5907539217.71847
ago,2016,-5273683298.24336
ago,2017,-7505615632.61357
ago,2018,-7829547501.07234
ago,2019,-7516299279.66577
ago,2020,-4924156920.245
ago,2021,-5783950696.51198
ago,2022,-8696130975.93802
ago,2023,-8602626235.14752
ago,2024,-7644110001.47293
alb,1980,3500000
alb,1981,10500000
alb,1982,13400000
alb,1983,6600000
alb,1984,3200000
alb,1985,1400000
alb,1986,100000
alb,1987,400000
alb,1988,200000
alb,1989,-100000
alb,1990,-1900000
alb,1991,-25100000
alb,1992,-35100000
alb,1993,33900000
alb,1994,13800000
alb,1995,43600000
alb,1996,71800000
alb,1997,49600000
alb,1998,77350000
alb,1999,75300000
alb,2000,106600000
alb,2001,148900000
alb,2002,127690000
alb,2003,170404093.60074
alb,2004,175411605.3912
alb,2005,174058711.93872
alb,2006,263021194.67588
alb,2007,297320000
alb,2008,54804354.0948
alb,2009,-192369351.73799
alb,2010,-119707457.37085
alb,2011,3115974.83218
alb,2012,-91061111.06793
alb,2013,220349691.91676
alb,2014,122309565.40137
alb,2015,134178422.53821
alb,2016,193137369.12588
alb,2017,34040152.11563
alb,2018,-17188923.62958
alb,2019,-201645349.12879
alb,2020,-250229603.75788
alb,2021,-251172109.057
alb,2022,-331218757.43371
alb,2023,-300836947.74143
alb,2024,-206259463.52688
and,2019,307203663.74604
and,2020,377594565.56384
and,2021,251947877.26486
and,2022,145275348.15249
and,2023,132875286.02128
and,2024,61922572.55763
arg,1976,-492000000
arg,1977,-741000000
arg,1978,-668000000
arg,1979,-907000000
arg,1980,-1512000000
arg,1981,-3684000000
arg,1982,-4707000000
arg,1983,-5399000000
arg,1984,-5701000000
arg,1985,-5294000000
arg,1986,-4404000000
arg,1987,-4472000000
arg,1988,-5127000000
arg,1989,-6422000000
arg,1990,-4400000000
arg,1991,-4260000000
arg,1992,-2383654558.62269
arg,1993,-3068849940.16498
arg,1994,-3558752970.09462
arg,1995,-4636072254.29083
arg,1996,-5464728736.76007
arg,1997,-6145110929.75088
arg,1998,-7404518270.05933
arg,1999,-7490377337.02027
arg,2000,-7547770368.62146
arg,2001,-7726728702.30913
arg,2002,-7490680000
arg,2003,-7975690000
arg,2004,-9282810000
arg,2005,-7305360000
arg,2006,-7722609982.90152
arg,2007,-7594655763.44789
arg,2008,-9034190700.03839
arg,2009,-10318875001.57297
arg,2010,-14547533203.93696
arg,2011,-15073067099.85112
arg,2012,-13753840627.05301
arg,2013,-13164827574.84384
arg,2014,-11613847481.20721
arg,2015,-12104598578.60441
arg,2016,-12192210740.78799
arg,2017,-16380283705.53563
arg,2018,-18650230325.03889
arg,2019,-17732164561.91856
arg,2020,-10505577749.12924
arg,2021,-9772634371.62035
arg,2022,-11576553237.52897
arg,2023,-13958038851.05326
arg,2024,-13263065722.13842
arm,1993,-1300000
arm,1994,-4020000
arm,1995,39521300
arm,1996,44730000
arm,1997,97204737.83188
arm,1998,58815383.60612
arm,1999,54956104.5798
arm,2000,58972285.15789
arm,2001,63600535.32873
arm,2002,82370820.74283
arm,2003,92876589.35325
arm,2004,148352015.2237
arm,2005,206006379.46396
arm,2006,302026902.21017
arm,2007,497420802.86215
arm,2008,691280287.21016
arm,2009,358781515.66094
arm,2010,458281240.76884
arm,2011,360073591.45195
arm,2012,423036162.49865
arm,2013,682546974.62346
arm,2014,522216022.78954
arm,2015,428407517.98913
arm,2016,245059576.18203
arm,2017,405555178.55947
arm,2018,200340508.47454
arm,2019,187857847.37234
arm,2020,-202689911.2722
arm,2021,-398972932.56855
arm,2022,-488642565.88932
arm,2023,-626220412.70709
arm,2024,-911703515.45149
atg,1977,-200000
atg,1978,-400000
atg,1979,-1800000
atg,1980,-1200000
atg,1981,-2000000
atg,1982,-3700000
atg,1983,-1000000
atg,1984,-400000
atg,1985,-2700000
atg,1986,-36033333.33333
atg,1987,-39959259.25926
atg,1988,-31625925.92593
atg,1989,-45481481.48148
atg,1990,-45325925.92593
atg,1991,-32200000
atg,1992,-29666666.66667
atg,1993,-22937037.03704
atg,1994,-26559259.25926
atg,1995,-26859259.25926
atg,1996,-26218518.51852
atg,1997,-22155555.55556
atg,1998,-21037037.03704
atg,1999,-23445185.18519
atg,2000,-57792234.9123
atg,2001,-51840085.97609
atg,2002,-50232980.8461
atg,2003,-53659134.129
atg,2004,-58269032.58057
atg,2005,-54969445.65248
atg,2006,-63251827.2019
atg,2007,-73223590.37552
atg,2008,-72577556.21913
atg,2009,-68029328.65203
atg,2010,-67583661.84231
atg,2011,-70279685.85302
atg,2012,-86762513.86804
atg,2013,-70313080.89841
atg,2014,-60733725.9452
atg,2015,-84535266.28892
atg,2016,-97404121.19345
atg,2017,-76150742.96147
atg,2018,-77054996.32231
atg,2019,-71694746.2963
atg,2020,816537.03704
atg,2021,-57287715.92593
atg,2022,-92692141.11111
atg,2023,-84424556.66667
atg,2024,-109593424.81481
aus,1989,-11359908733.52456
aus,1990,-13065793040.74472
aus,1991,-12089027238.7006
