geo,time,gc_ast_totl_gd_zs
afg,2006,0.74116
afg,2007,0.75639
afg,2008,-0.13771
afg,2009,1.36251
afg,2010,2.56532
afg,2011,1.17022
afg,2012,2.14556
afg,2013,0.07543
afg,2014,-1.65902
afg,2015,-0.83667
afg,2016,0.88065
afg,2017,0.74974
ago,1999,3.35562
ago,2000,10.7954
ago,2001,2.50684
ago,2002,2.69397
ago,2003,0.85591
ago,2004,9.52083
ago,2005,0.77626
ago,2006,18.39591
ago,2007,16.16072
ago,2008,8.0564
ago,2009,-9.88346
ago,2010,-1.70345
ago,2011,8.98809
ago,2012,4.59185
ago,2013,-1.35797
ago,2014,-3.12321
ago,2015,0.5371
ago,2016,14.1005
ago,2017,13.64
alb,1995,0.60684
alb,1996,0.13029
alb,1997,0.66742
alb,1998,1.09108
alb,2002,-0.54027
alb,2003,-0.87484
alb,2004,-2.28711
alb,2011,0.13317
alb,2012,0.30006
alb,2013,0.59592
alb,2014,0.10582
alb,2015,0.33801
alb,2016,0.40762
alb,2017,1.38149
alb,2018,1.93763
alb,2019,-0.65119
alb,2020,0.17347
are,2011,-0.25532
are,2012,-1.28244
are,2013,-1.91391
are,2014,-0.08124
are,2015,0.91428
are,2016,0.90729
are,2017,0.59925
are,2018,0.31548
are,2019,-0.28053
are,2020,-0.16174
arg,2002,-1.77471
arg,2003,3.24259
arg,2004,1.38402
arg,2014,1.94137
arg,2015,0.4022
arg,2016,0.87458
arg,2017,1.37781
arg,2018,5.55855
arg,2019,-3.84422
arg,2020,-5.22592
arm,2004,1.2717
arm,2005,-0.13111
arm,2006,0.94535
arm,2007,1.48788
arm,2008,1.38425
arm,2009,6.1351
arm,2010,-1.36348
arm,2011,0.06196
arm,2012,1.50335
arm,2013,1.57615
arm,2014,-0.03581
arm,2015,0.56878
arm,2016,2.59656
arm,2017,0.95071
arm,2018,1.62778
arm,2019,3.03943
arm,2020,0.51923
aus,1972,0
aus,1973,0
aus,1974,0
aus,1975,0
aus,1976,0
aus,1977,0
aus,1978,0
aus,1979,0
aus,1980,0
aus,1981,0
aus,1982,0
aus,1983,0
aus,1984,0
aus,1985,0
aus,1986,0
aus,1987,0
aus,1988,0
aus,1989,0
aus,1990,-0.3017
aus,1991,-0.37536
aus,1992,-0.48667
aus,1993,-0.57064
aus,1994,-0.72114
aus,1995,-0.29911
aus,1996,-0.98274
aus,1997,-1.31865
aus,1998,-2.58121
aus,1999,-0.2842
aus,2000,0.71161
aus,2005,1.34476
aus,2006,2.53087
aus,2007,2.33211
aus,2008,1.98846
aus,2009,2.05675
aus,2010,0.15399
aus,2011,-0.01911
aus,2012,0.46855
aus,2013,1.24907
aus,2014,1.6293
aus,2015,0.96821
aus,2016,1.35659
aus,2017,3.01906
aus,2018,1.25391
aus,2019,0.84526
aus,2020,4.19233
aut,1972,0
aut,1973,0
aut,1974,0
aut,1975,0
aut,1976,0
aut,1977,0
aut,1978,0
aut,1979,0
aut,1980,0
aut,1981,0
aut,1982,0
aut,1983,0
aut,1984,0
aut,1985,0
aut,1986,0
aut,1987,0
aut,1988,0
aut,1989,0
aut,1990,0.64828
aut,1991,0.90136
aut,1992,0.64234
aut,1993,0.57668
aut,1994,1.65042
aze,2008,19.55069
aze,2009,7.21655
aze,2010,15.57165
aze,2011,12.31366
aze,2012,5.83337
aze,2013,3.26063
aze,2014,5.81827
aze,2015,-3.79055
aze,2016,1.26288
aze,2017,0.22292
aze,2018,7.07848
aze,2019,3.70029
bdi,1996,-0.1699
bdi,1997,-0.7535
bdi,1998,1.95571
bdi,1999,1.62535
bel,1995,-1.41424
bel,1996,-3.20398
bel,1997,-0.36302
bel,1998,-0.9317
bel,1999,-0.4357
bel,2000,-0.23456
bel,2001,-0.44601
bel,2002,-0.3152
bel,2003,-3.09776
bel,2004,-0.4975
bel,2005,-0.06806
bel,2006,0.4553
bel,2007,-0.06127
bel,2008,5.78882
bel,2009,-1.13172
bel,2010,0.11136
bel,2011,1.94323
bel,2012,-0.22192
bel,2013,-0.43091
bel,2014,0.20671
bel,2015,1.17468
bel,2016,0.67874
bel,2017,-0.90619
bel,2018,0.37985
bel,2019,-0.6958
bel,2020,0.80387
bfa,2002,-1.85504
bfa,2003,1.0985
bfa,2004,-0.89204
bfa,2005,0.79916
bfa,2006,-0.11717
bfa,2007,-5.40086
bfa,2008,1.49249
bfa,2009,1.63486
bfa,2010,0.33011
bfa,2011,0.01884
bfa,2012,1.29256
bfa,2013,-1.01786
bfa,2014,0.99233
bfa,2015,-1.04578
bfa,2016,1.4201
bfa,2017,-0.75977
bfa,2018,-0.49047
bfa,2019,-0.287
bfa,2020,-0.01151
bgd,2001,3.3348
bgd,2002,2.528
bgd,2003,2.17367
bgd,2004,2.13375
bgd,2005,2.01612
bgd,2006,1.95424
bgd,2007,1.38048
bgd,2008,3.75133
bgd,2009,1.6486
bgd,2010,1.99331
bgd,2011,2.74747
bgd,2012,3.28779
bgd,2013,3.26405
bgd,2014,2.66515
bgd,2015,2.4099
bgd,2016,1.9323
