geo,time,sh_xpd_ehex_pc_cd
afg,2002,2.17024
afg,2003,1.13294
afg,2004,2.02844
afg,2005,3.75333
afg,2006,5.14656
afg,2007,5.05873
afg,2008,7.0397
afg,2009,9.09697
afg,2010,6.98646
afg,2011,10.74971
afg,2012,10.89088
afg,2013,12.61249
afg,2014,12.97242
afg,2015,9.68745
afg,2016,11.40444
afg,2017,12.7602
afg,2018,8.19658
ago,2000,0.06677
ago,2001,0.4137
ago,2002,0.37108
ago,2003,0.36243
ago,2004,0.96102
ago,2005,1.64835
ago,2006,4.08853
ago,2007,2.50504
ago,2008,3.37496
ago,2009,4.59279
ago,2010,3.13922
ago,2011,3.49376
ago,2012,2.65806
ago,2013,3.6849
ago,2014,4.17342
ago,2015,2.89951
ago,2016,3.46411
ago,2017,3.56128
ago,2018,2.91132
alb,2000,1.09214
alb,2001,3.26871
alb,2002,2.71087
alb,2003,10.3059
alb,2004,8.91256
alb,2005,8.92234
alb,2006,10.58284
alb,2007,12.13852
alb,2008,6.01535
alb,2009,3.85904
alb,2010,4.82516
alb,2011,2.33372
alb,2012,2.2067
alb,2013,2.94694
alb,2014,1.81182
alb,2015,1.79154
alb,2016,2.42057
alb,2017,4.65915
alb,2018,3.70698
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
and,2009,0
and,2010,0
and,2011,0
and,2012,0
and,2013,0
and,2014,0
and,2015,0
and,2016,0
and,2017,0
and,2018,0
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
are,2007,0
are,2008,0
are,2009,0
are,2010,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
arg,2000,0.21708
arg,2001,1.35509
arg,2002,4.40387
arg,2003,0.90086
arg,2004,19.60272
arg,2005,4.64462
arg,2006,1.48689
arg,2007,1.31238
arg,2008,6.91031
arg,2009,2.26171
