geo,time,ne_dab_totl_cn
abw,1995,2401000000
abw,1996,2521000000
abw,1997,2843000000
abw,1998,3100000000
abw,1999,3228000000
abw,2000,3229430000
abw,2001,3340260000
abw,2002,3655755000
abw,2003,3927230000
abw,2004,4161260000
abw,2005,4600392000
abw,2006,4944980000
abw,2007,5265076000
abw,2008,5498759000
abw,2009,5107020000
abw,2010,5051975000
abw,2011,5427003000
abw,2012,5169852000
abw,2013,5312281000
abw,2014,5311897000
abw,2015,5310384000
abw,2016,5265878000
abw,2017,5463870000
abw,2018,5905890000
abw,2019,6010060000
abw,2020,5199202955.98965
abw,2021,5652499434.99301
abw,2022,5977652820.36085
afg,1960,24900001500
afg,1961,25600000200
afg,1962,25700002300
afg,1963,36400003600
afg,1964,39300000200
afg,1965,49900000300
afg,1966,69299999700
afg,1967,80899999500
afg,1968,65700001800
afg,1969,66500000000
afg,1970,80399903800
afg,1971,86699895800
afg,1972,74200002600
afg,1973,79399999400
afg,1974,97800000500
afg,1975,108200003600
afg,1976,116900002800
afg,1977,137100002300
afg,1978,152999997400
afg,2020,1932715090000
afg,2021,1535697360000
ago,2002,606376000000
ago,2003,1265929000000
ago,2004,1708230000000
ago,2005,2434114000000
ago,2006,2849564000000
ago,2007,3617002000000
ago,2008,5076495000000
ago,2009,5852389000000
ago,2010,6241219000000
ago,2011,8258215000000
ago,2012,9770160000000
ago,2013,11257682000000
ago,2014,12883289000000
ago,2015,14421716000000
ago,2016,16073135000000
ago,2017,19096935000000
ago,2018,21708089000000
ago,2019,23126353000000
ago,2020,28312892944000
ago,2021,35171790280000
ago,2022,43406936287600
alb,1980,15474899700
alb,1981,15836999900
alb,1982,17288900300
alb,1983,17160799500
alb,1984,16834200200
alb,1985,17236400100
alb,1986,17461300000
alb,1987,17269600300
alb,1988,17490199500
alb,1989,19198999900
alb,1990,18212999700
alb,1991,19745039600
alb,1992,94232236600
alb,1993,184086887400
alb,1994,239746355200
alb,1995,281013664300
alb,1996,406763830000
alb,1997,414258960000
alb,1998,481842430000
alb,1999,520457410000
alb,2000,617594940000
alb,2001,697686050000
alb,2002,773092250000
alb,2003,849380020000
alb,2004,904454800000
alb,2005,1003968490000
alb,2006,1080863840000
alb,2007,1223385030000
alb,2008,1396785770000
alb,2009,1446926740000
alb,2010,1482310060000
alb,2011,1569686440000
alb,2012,1561258090000
alb,2013,1608012540000
alb,2014,1645258760000
alb,2015,1687095630000
alb,2016,1729488470000
alb,2017,1801213769100
alb,2018,1870855391400
alb,2019,1934856919200
alb,2020,1902131854100
alb,2021,2104395076300
are,2001,347336967700
are,2002,379363594500
are,2003,413068433700
are,2004,485811557900
are,2005,559722229500
are,2006,670646511800
are,2007,871705000000
are,2008,1051733632300
are,2009,876729583300
are,2010,844932419900
are,2011,920957099400
are,2012,877086190400
are,2013,919492898300
are,2014,1027047394700
are,2015,966450583300
are,2016,980048335500
are,2017,1073636223900
are,2018,1141734747500
are,2019,1133954434500
are,2020,993475339800
arg,1960,0.13482
arg,1961,0.16325
arg,1962,0.21522
arg,1963,0.2542
arg,1964,0.35003
arg,1965,0.47186
arg,1966,0.59124
arg,1967,0.78047
arg,1968,0.91529
arg,1969,1.09397
arg,1970,1.18981
arg,1971,1.67466
arg,1972,2.76864
arg,1973,4.63896
arg,1974,6.47931
arg,1975,19.43234
arg,1976,99.0091
arg,1977,277.405
arg,1978,688.11099
arg,1979,1928.63904
arg,1980,3895
arg,1981,7508
arg,1982,21291
arg,1983,105860
arg,1984,768510
arg,1985,5015200
arg,1986,9800600
arg,1987,23262900
arg,1988,107375000
arg,1989,3033863008
arg,1990,64973998080
arg,1991,178008995800
arg,1992,230115995600
arg,1993,242191620600
arg,1994,265354819300
arg,1995,259091370000
arg,1996,273916757800
arg,1997,299344177400
arg,1998,306478458500
arg,1999,288423424000
arg,2000,286050194900
arg,2001,265188172200
arg,2002,265654166300
arg,2003,333743074700
arg,2004,451144553400
arg,2005,547932594800
arg,2006,675671100700
arg,2007,857689482500
arg,2008,1106889288000
arg,2009,1184723608100
arg,2010,1613586960200
arg,2011,2142149278700
arg,2012,2586496250000
arg,2013,3351642808300
arg,2014,4560579428000
arg,2015,6018517242600
arg,2016,8313707526700
arg,2017,10942621616700
arg,2018,15023364400700
arg,2019,20864447281600
arg,2020,26391579641000
arg,2021,44856619841700
arg,2022,81234801542500
arm,1990,57390000
arm,1991,92100000
arm,1992,354610000
arm,1993,5081430000
arm,1994,250242000000
arm,1995,722066000000
arm,1996,877752000000
arm,1997,1109993000000
arm,1998,1278653000000
arm,1999,1274237000000
arm,2000,1391142200000
arm,2001,1548137800000
arm,2002,1747885100000
arm,2003,2036400300000
arm,2004,2389556400000
arm,2005,2801348500000
arm,2006,3386655200000
arm,2007,4065936600000
arm,2008,4732573200000
arm,2009,4334729800000
arm,2010,4744469000000
arm,2011,4980737600000
arm,2012,5182501400000
arm,2013,5506676000000
arm,2014,5742013100000
arm,2015,5636662320000
arm,2016,5461190700000
arm,2017,6163805100000
arm,2018,6840606000000
arm,2019,7420948200000
arm,2020,6797548000000
arm,2021,7541122400000
arm,2022,8584681300000
aus,1960,16663000000
aus,1961,17999000000
aus,1962,17683000000
aus,1963,19389000000
aus,1964,21118000000
aus,1965,23741000000
aus,1966,25141000000
aus,1967,27633000000
aus,1968,30178000000
aus,1969,33323000000
aus,1970,36986000000
aus,1971,40547000000
aus,1972,44287000000
aus,1973,48534000000
aus,1974,59468000000
aus,1975,70879000000
aus,1976,83419000000
aus,1977,97276000000
aus,1978,106614000000
aus,1979,120960000000
aus,1980,134897000000
aus,1981,156157000000
aus,1982,182263000000
aus,1983,195128000000
aus,1984,217444000000
aus,1985,240584000000
aus,1986,270754000000
aus,1987,295147000000
aus,1988,328956000000
aus,1989,373499000000
aus,1990,409834000000
aus,1991,413408000000
aus,1992,424335000000
aus,1993,447350000000
aus,1994,467813000000
aus,1995,505578000000
aus,1996,531364000000
aus,1997,555139000000
aus,1998,594411000000
aus,1999,636981000000
aus,2000,676953000000
aus,2001,706794000000
aus,2002,756414000000
aus,2003,819869000000
aus,2004,887286000000
aus,2005,950539000000
aus,2006,1018100000000
aus,2007,1106894000000
aus,2008,1209700000000
aus,2009,1257895000000
aus,2010,1316378000000
aus,2011,1403977000000
aus,2012,1503346000000
aus,2013,1557461000000
aus,2014,1604148000000
aus,2015,1648746000000
aus,2016,1696597000000
aus,2017,1750317000000
aus,2018,1837884000000
aus,2019,1901786000000
aus,2020,1909348000000
aus,2021,2000094000000
aus,2022,2199821000000
aut,1970,29141712000
aut,1971,32620242000
aut,1972,37346097000
aut,1973,42421554000
aut,1974,48640307000
aut,1975,50995054000
aut,1976,57580824000
aut,1977,64821452000
aut,1978,65687555000
aut,1979,73723569000
aut,1980,79288054000
aut,1981,84146609000
aut,1982,88869272000
aut,1983,94389327000
aut,1984,98797048000
aut,1985,105077653000
aut,1986,109238037000
aut,1987,113622645000
aut,1988,120112525000
aut,1989,128754084000
aut,1990,138298151000
aut,1991,148118754000
aut,1992,157000750000
aut,1993,161845721000
aut,1994,171018570000
aut,1995,178889440000
aut,1996,185117350000
aut,1997,189812270000
aut,1998,196273550000
aut,1999,203021080000
aut,2000,211499030000
aut,2001,216661680000
aut,2002,217714020000
aut,2003,226000430000
aut,2004,234627870000
aut,2005,246405130000
aut,2006,257336090000
aut,2007,270758330000
aut,2008,280733180000
aut,2009,279233040000
aut,2010,285842990000
aut,2011,302117360000
aut,2012,310041800000
aut,2013,315171740000
aut,2014,322254990000
aut,2015,331359300000
aut,2016,343909000000
aut,2017,357678280000
aut,2018,373713990000
aut,2019,382715430000
aut,2020,367644880000
aut,2021,402149940000
aut,2022,444286610000
aze,1990,283600
aze,1991,391700
aze,1992,3897800
aze,1993,36935600
aze,1994,436145200
aze,1995,2580200000
aze,1996,3516900000
aze,1997,3831500000
aze,1998,4422100000
aze,1999,4450200000
aze,2000,4729200000
aze,2001,5093400000
aze,2002,6661600000
aze,2003,8970500000
aze,2004,10808000000
aze,2005,11780900000
aze,2006,14153800000
aze,2007,18317100000
aze,2008,24332900000
aze,2009,25928100000
aze,2010,29005100000
aze,2011,35235600000
aze,2012,39587200000
aze,2013,45291300000
aze,2014,49473600000
aze,2015,52755100000
aze,2016,58746500000
aze,2017,65629900000
aze,2018,67867200000
aze,2019,72836800000
aze,2020,73137500000
aze,2021,77647000000
aze,2022,89626300000
bdi,1960,9887499800
bdi,1961,10324999900
bdi,1962,11025000400
bdi,1963,12424999700
bdi,1964,12774999800
bdi,1965,13708500000
bdi,1966,14797200000
bdi,1967,15770300000
bdi,1968,16522300000
bdi,1969,17048400000
bdi,1970,21437100000
bdi,1971,23392700000
bdi,1972,22316800000
bdi,1973,24919300000
bdi,1974,28761200000
bdi,1975,36708700000
bdi,1976,39807400000
bdi,1977,49128290000
bdi,1978,59598800000
bdi,1979,76452700000
bdi,1980,94763500000
bdi,1981,98459900000
bdi,1982,106414600000
bdi,1983,116463500000
bdi,1984,132408600000
bdi,1985,152337194700
bdi,1986,151734181500
bdi,1987,162163872600
bdi,1988,172270257600
bdi,1989,200069025500
bdi,1990,232464000000
bdi,1991,251285087200
bdi,1992,272361845000
bdi,1993,268418509600
bdi,1994,276281583600
bdi,1995,285725470700
bdi,1996,289233934100
bdi,1997,358584000000
bdi,1998,445985000000
bdi,1999,493600000000
bdi,2000,689538193100
bdi,2001,805260498300
bdi,2002,862745261400
bdi,2003,973621572100
bdi,2004,1185667939900
bdi,2005,1482471808000
bdi,2006,1674052400000
bdi,2007,1836973324000
bdi,2008,2411856939000
bdi,2009,2686790350000
bdi,2010,3003757530000
bdi,2011,3535695210000
bdi,2012,4184205750000
bdi,2013,4895728900000
bdi,2014,5256484800000
bdi,2015,5367278779000
bdi,2016,5400261296000
bdi,2017,6043839944000
bdi,2018,6239025100000
bdi,2019,6598234936171.00977
bdi,2020,6955249436255.54004
bdi,2021,7857193292155.58105
bdi,2022,9434002086599.66797
bel,1970,32316580000
bel,1971,35516748000
bel,1972,39140496000
bel,1973,45258424000
bel,1974,54405632000
bel,1975,60095998000
bel,1976,68524200000
bel,1977,74897783000
bel,1978,80684853000
bel,1979,87145427000
bel,1980,95731677000
bel,1981,99226675000
bel,1982,106846911000
bel,1983,110262090000
bel,1984,118989328000
bel,1985,125815427000
bel,1986,129808963000
bel,1987,135834937000
bel,1988,144689324000
bel,1989,157512687000
bel,1990,167985694000
bel,1991,175510582000
bel,1992,182810616000
bel,1993,186722795000
bel,1994,195855979000
bel,1995,202384900000
bel,1996,207489900000
bel,1997,215396900000
bel,1998,224157300000
bel,1999,232721600000
bel,2000,249032100000
bel,2001,254694400000
bel,2002,258015200000
bel,2003,266135000000
bel,2004,282292900000
bel,2005,297522600000
bel,2006,312007300000
bel,2007,329409700000
bel,2008,349376600000
bel,2009,338635700000
bel,2010,356957800000
bel,2011,376340000000
bel,2012,385931600000
bel,2013,389745400000
bel,2014,399703500000
bel,2015,410792500000
bel,2016,424949200000
bel,2017,440426100000
bel,2018,461594400000
bel,2019,475669400000
bel,2020,451533600000
bel,2021,498968400000
bel,2022,563070600000
ben,1960,58785307200
ben,1961,60830209600
ben,1962,62156483100
ben,1963,67690759100
ben,1964,71153372700
ben,1965,76471832600
ben,1966,81380314100
ben,1967,84450782300
ben,1968,88656215100
ben,1969,94283264000
ben,1970,100777743400
ben,1971,101534165000
ben,1972,116254701600
ben,1973,123985949700
ben,1974,153771716600
ben,1975,172456581100
ben,1976,196986486800
ben,1977,218550042600
ben,1978,247369281500
ben,1979,301556375600
ben,1980,360751300600
ben,1981,449172136000
ben,1982,509565386700
ben,1983,491753275400
ben,1984,511442284600
ben,1985,530855141400
ben,1986,536452423700
ben,1987,543203786800
ben,1988,570801266700
ben,1989,533444591600
ben,1990,572891745100
ben,1991,612726619100
ben,1992,655418049800
ben,1993,711394555000
ben,1994,955990173400
ben,1995,1181107108800
ben,1996,1250352677400
ben,1997,1381653435200
ben,1998,1526711342500
ben,1999,2452841350900
ben,2000,2653359621900
ben,2001,2913906438100
ben,2002,3035229607900
ben,2003,3236265115600
ben,2004,3358244332500
ben,2005,3536562994600
ben,2006,3809255213700
ben,2007,4106579174000
ben,2008,4517851003600
ben,2009,4801991413800
ben,2010,4967465043100
ben,2011,5317262475700
ben,2012,5855712760200
ben,2013,6433513012800
ben,2014,6717189218800
ben,2015,7225342000000
ben,2016,7269562000000
ben,2017,7896397344800
ben,2018,8496090558300
ben,2019,8804976282100
ben,2020,9467204995600
ben,2021,10419587004200
ben,2022,11682392363600
bfa,1960,84332472400
bfa,1961,88827982800
bfa,1962,95989854700
bfa,1963,99571685400
bfa,1964,102478717000
bfa,1965,103641270300
bfa,1966,106517572100
bfa,1967,113486993400
bfa,1968,116507228200
bfa,1969,129044722600
bfa,1970,131351642100
bfa,1971,142223472700
bfa,1972,156476833800
bfa,1973,163558658100
bfa,1974,194935562200
bfa,1975,230399373300
bfa,1976,257903984600
bfa,1977,318042873900
bfa,1978,374121758700
bfa,1979,420789489700
bfa,1980,466782683100
bfa,1981,552213205000
bfa,1982,664280924200
bfa,1983,692275159000
bfa,1984,699860107300
bfa,1985,844677742600
bfa,1986,846083850200
bfa,1987,831322079200
bfa,1988,904883060700
bfa,1989,958694211600
bfa,1990,958274961400
bfa,1991,998517997600
bfa,1992,983388995500
bfa,1993,1012189003700
bfa,1994,1166193197100
bfa,1995,1335799676900
bfa,1996,1548795183100
bfa,1997,1654229467100
bfa,1998,1908325220300
bfa,1999,2473109187400
bfa,2000,2475686356000
bfa,2001,2653699933800
bfa,2002,2854165210000
bfa,2003,3077061722900
bfa,2004,3269252472900
bfa,2005,3710246450200
bfa,2006,3871805403700
bfa,2007,4127434763200
bfa,2008,4851294843900
bfa,2009,5009866748900
bfa,2010,5404434333500
bfa,2011,5983512766900
bfa,2012,6928875911000
bfa,2013,7296305149300
bfa,2014,7225905231300
bfa,2015,7476161000000
bfa,2016,8066088000000
bfa,2017,8712594000000
bfa,2018,9217766000000
bfa,2019,9571655000000
bfa,2020,9911658000000
