geo,time,sh_xpd_ghed_ge_zs
afg,2002,1.21246
afg,2003,5.45768
afg,2004,3.60297
afg,2005,3.37098
afg,2006,2.72003
afg,2007,2.60709
afg,2008,3.00128
afg,2009,2.51257
afg,2010,2.25547
afg,2011,2.18812
afg,2012,1.37
afg,2013,1.77507
afg,2014,1.86067
afg,2015,2.01441
afg,2016,2.14111
afg,2017,2.31912
afg,2018,1.90905
afg,2019,1.77526
afg,2020,4.24603
afg,2021,1.9481
ago,2000,2.73858
ago,2001,5.96825
ago,2002,4.19123
ago,2003,4.26047
ago,2004,5.65924
ago,2005,4.82064
ago,2006,4.71874
ago,2007,4.51627
ago,2008,4.06037
ago,2009,5.77789
ago,2010,4.24957
ago,2011,4.58057
ago,2012,4.20151
ago,2013,4.5754
ago,2014,3.61568
ago,2015,4.56263
ago,2016,5.4327
ago,2017,5.36432
ago,2018,5.36432
ago,2019,5.36432
ago,2020,5.36432
alb,2000,8.17374
alb,2001,8.42371
alb,2002,8.209
alb,2003,8.99718
alb,2004,9.35448
alb,2005,9.2251
alb,2006,8.7674
alb,2007,8.31045
alb,2008,7.1589
alb,2009,7.15455
alb,2010,8.09465
alb,2011,8.17873
alb,2012,8.69735
alb,2013,8.83012
alb,2014,8.17428
alb,2015,8.88021
alb,2016,9.62167
alb,2017,9.10768
alb,2018,9.80236
alb,2019,9.83531
alb,2020,8.99679
and,2000,30.57007
and,2001,18.39809
and,2002,30.31305
and,2003,30.25581
and,2004,27.77786
and,2005,18.84076
and,2006,23.40241
and,2007,21.76662
and,2008,24.75174
and,2009,16.81899
and,2010,25.35104
and,2011,24.12425
and,2012,15.46104
and,2013,11.27299
and,2014,21.9037
and,2015,16.10192
and,2016,11.74835
and,2017,14.37147
and,2018,14.72336
and,2019,14.85601
and,2020,15.19671
are,2000,7.5661
are,2001,7.58358
are,2002,7.80031
are,2003,8.0875
are,2004,7.94021
are,2005,8.37682
are,2006,8.52716
are,2007,8.52689
are,2008,8.52667
are,2009,8.52689
are,2010,8.52679
are,2011,8.52677
are,2012,8.52671
are,2013,8.5268
are,2014,7.77782
are,2015,7.8905
are,2016,7.8905
are,2017,7.35873
are,2018,7.39788
are,2019,7.39788
are,2020,10.44942
arg,2000,17.81966
arg,2001,17.37289
arg,2002,18.45749
arg,2003,17.12602
arg,2004,16.25901
arg,2005,16.02176
arg,2006,15.0995
arg,2007,14.39875
arg,2008,14.65606
arg,2009,16.42263
arg,2010,16.69264
arg,2011,16.27754
arg,2012,16.66111
arg,2013,16.54239
arg,2014,16.28528
arg,2015,16.49741
arg,2016,13.46559
arg,2017,16.04845
arg,2018,15.30844
arg,2019,16.0716
arg,2020,15.71923
arm,2000,3.86989
arm,2001,5.66265
arm,2002,5.32553
arm,2003,5.37523
arm,2004,6.27548
arm,2005,7.44001
arm,2006,7.93186
arm,2007,7.19855
arm,2008,6.69246
arm,2009,6.3449
arm,2010,6.43609
arm,2011,6.70102
arm,2012,7.04075
arm,2013,5.78088
arm,2014,6.27526
arm,2015,6.1153
arm,2016,6.05352
arm,2017,5.27346
arm,2018,5.13386
arm,2019,5.66885
arm,2020,7.68962
atg,2000,11.86253
atg,2001,12.11716
atg,2002,10.65088
atg,2003,12.44891
atg,2004,12.12657
atg,2005,11.53017
atg,2006,8.36808
atg,2007,8.45185
atg,2008,8.08106
atg,2009,6.33139
atg,2010,13.89639
atg,2011,12.98979
atg,2012,14.63236
atg,2013,13.30073
atg,2014,15.10594
atg,2015,11.81754
atg,2016,11.60688
atg,2017,11.60739
atg,2018,13.07453
atg,2019,11.29999
atg,2020,12.63742
aus,2000,14.60133
aus,2001,14.70855
aus,2002,15.51416
aus,2003,15.48101
aus,2004,15.94705
aus,2005,15.90277
aus,2006,15.93997
aus,2007,16.49022
aus,2008,15.61296
aus,2009,15.88237
aus,2010,16.0791
aus,2011,16.42074
aus,2012,16.28821
aus,2013,15.49015
aus,2014,17.77218
aus,2015,18.43127
aus,2016,18.59247
aus,2017,18.66398
aus,2018,18.63973
aus,2019,17.23456
aus,2020,17.16665
aut,2000,13.37525
aut,2001,13.29258
aut,2002,13.51373
aut,2003,13.61917
aut,2004,13.02688
aut,2005,13.67242
aut,2006,13.78216
aut,2007,14.09157
aut,2008,14.38891
aut,2009,13.75788
aut,2010,14.0038
aut,2011,14.31894
aut,2012,14.51293
aut,2013,14.37263
aut,2014,14.34009
aut,2015,14.69125
aut,2016,14.96038
aut,2017,15.54812
aut,2018,15.80883
aut,2019,16.15038
aut,2020,15.37429
aze,2000,4.75029
aze,2001,4.70852
aze,2002,3.17397
aze,2003,3.59659
aze,2004,3.56855
aze,2005,4.08038
aze,2006,3.42304
aze,2007,3.47901
aze,2008,2.74728
aze,2009,3.27686
aze,2010,3.16282
aze,2011,2.80985
aze,2012,3.03978
aze,2013,2.81387
aze,2014,3.10103
aze,2015,3.36787
aze,2016,3.28573
aze,2017,2.81963
aze,2018,2.80753
aze,2019,3.94929
aze,2020,3.94929
bdi,2000,5.94454
bdi,2001,6.66264
bdi,2002,6.37958
bdi,2003,3.71582
bdi,2004,5.80384
bdi,2005,6.2231
bdi,2006,6.48143
bdi,2007,6.32316
bdi,2008,3.78775
bdi,2009,5.47753
bdi,2010,4.86066
bdi,2011,8.22791
bdi,2012,7.11028
bdi,2013,4.4317
bdi,2014,9.79248
bdi,2015,10.44352
bdi,2016,10.39131
bdi,2017,8.77704
bdi,2018,8.31281
bdi,2019,8.31281
bdi,2020,8.31281
bel,2000,12.06895
bel,2001,12.4333
bel,2002,12.28862
bel,2003,13.30607
bel,2004,14.1848
bel,2005,13.30356
bel,2006,13.95678
bel,2007,13.95638
bel,2008,14.31451
bel,2009,14.40197
bel,2010,14.43804
bel,2011,14.27553
bel,2012,14.21773
bel,2013,14.32161
bel,2014,14.5249
bel,2015,15.38009
bel,2016,15.62947
bel,2017,15.95332
bel,2018,15.94669
bel,2019,15.61803
bel,2020,14.79258
ben,2000,5.15979
ben,2001,6.00176
ben,2002,4.7478
ben,2003,4.85716
ben,2004,5.47668
ben,2005,4.82977
ben,2006,5.53186
ben,2007,3.76954
ben,2008,3.86888
ben,2009,4.39692
ben,2010,5.14662
ben,2011,5.40438
ben,2012,5.24533
ben,2013,5.13379
ben,2014,4.04461
ben,2015,3.22515
ben,2016,3.72648
ben,2017,4.57917
ben,2018,2.96293
ben,2019,3.7052
ben,2020,4.55459
bfa,2000,4.84837
bfa,2001,4.94218
bfa,2002,5.43493
bfa,2003,5.56973
bfa,2004,8.391
bfa,2005,6.04864
bfa,2006,6.54069
bfa,2007,6.27068
bfa,2008,7.32153
bfa,2009,7.62939
bfa,2010,6.03235
bfa,2011,6.58739
bfa,2012,4.69606
bfa,2013,6.38293
bfa,2014,7.77367
bfa,2015,7.15264
bfa,2016,11.03399
bfa,2017,9.99147
bfa,2018,8.78477
bfa,2019,9.57691
bfa,2020,11.46394
bgd,2000,5.21146
bgd,2001,3.57855
bgd,2002,4.53993
bgd,2003,4.75531
bgd,2004,4.86527
bgd,2005,4.38884
bgd,2006,4.7282
bgd,2007,5.07519
bgd,2008,3.84091
bgd,2009,4.11534
bgd,2010,4.43942
bgd,2011,4.18159
bgd,2012,4.0162
bgd,2013,3.61746
bgd,2014,3.59245
bgd,2015,3.37689
bgd,2016,4.09936
bgd,2017,4.10705
bgd,2018,3.75035
bgd,2019,3.29687
bgd,2020,3.07912
bgr,2000,8.07667
bgr,2001,9.46552
bgr,2002,10.74446
bgr,2003,11.33319
bgr,2004,10.82743
bgr,2005,11.16988
bgr,2006,10.79414
bgr,2007,9.10507
bgr,2008,9.3931
bgr,2009,9.03616
bgr,2010,10.84996
bgr,2011,11.41063
bgr,2012,11.1794
bgr,2013,10.69858
bgr,2014,10.3641
bgr,2015,10.23375
bgr,2016,11.82779
bgr,2017,11.61526
bgr,2018,11.41796
bgr,2019,11.55528
bgr,2020,12.12833
bhr,2000,10.26811
bhr,2001,9.03065
bhr,2002,8.22116
bhr,2003,8.75818
bhr,2004,9.04176
bhr,2005,9.13842
bhr,2006,8.94466
bhr,2007,9.06653
bhr,2008,8.83427
bhr,2009,11.16573
bhr,2010,8.23034
bhr,2011,8.05261
bhr,2012,8.29805
bhr,2013,8.45688
bhr,2014,10.09125
bhr,2015,8.86599
bhr,2016,8.52599
bhr,2017,7.97666
bhr,2018,7.23445
bhr,2019,7.06051
bhr,2020,8.29462
bhs,2000,12.65534
bhs,2001,13.23933
bhs,2002,12.95195
bhs,2003,13.15527
bhs,2004,13.04177
bhs,2005,12.86341
bhs,2006,12.72622
bhs,2007,13.49936
bhs,2008,14.47345
bhs,2009,15.00969
bhs,2010,15.44239
bhs,2011,13.8966
bhs,2012,14.06042
bhs,2013,15.01283
bhs,2014,15.06707
bhs,2015,13.65703
