geo,time,st_int_rcpt_xp_zs
abw,1995,27.80641
abw,1996,26.5806
abw,1997,28.5331
abw,1998,38.21337
abw,1999,62.54295
abw,2000,46.81596
abw,2001,40.87787
abw,2002,57.63462
abw,2003,48.58619
abw,2004,22.54741
abw,2005,19.16486
abw,2006,17.65771
abw,2007,18.1706
abw,2008,19.15105
abw,2009,35.04186
abw,2010,68.726
abw,2011,19.79269
abw,2012,44.81109
abw,2013,69.65654
abw,2014,76.36015
abw,2015,74.1856
abw,2016,75.24705
abw,2017,80.54398
abw,2018,79.25054
afg,2008,1.94184
afg,2009,4.21686
afg,2010,5.72874
afg,2011,5.39605
afg,2012,7.17089
afg,2013,12.94099
afg,2014,6.09459
afg,2015,6.06787
afg,2016,5.45768
afg,2017,1.38781
afg,2018,3.10661
ago,1995,0.7039
ago,1996,0.7086
ago,1997,0.46645
ago,1998,1.06421
ago,1999,0.58386
ago,2000,0.41524
ago,2001,0.51953
ago,2002,0.59756
ago,2003,0.64887
ago,2004,0.5943
ago,2005,0.42411
ago,2006,0.27289
ago,2007,0.52788
ago,2008,0.45608
ago,2009,1.33651
ago,2010,1.41103
ago,2011,0.95969
ago,2012,0.98924
ago,2013,1.78401
ago,2014,2.62443
ago,2015,3.40038
ago,2016,2.2191
ago,2017,2.48328
ago,2018,1.34577
alb,1995,23.04906
alb,1996,25.20783
alb,1997,34.21212
alb,1998,43.7541
alb,1999,55.96919
alb,2000,71.77638
alb,2001,68.52021
alb,2002,73.74322
alb,2003,63.41741
alb,2004,60.48882
alb,2005,60.24211
alb,2006,56.53711
alb,2007,60.01475
alb,2008,56.35852
alb,2009,65.75785
alb,2010,53.4846
alb,2011,48.5389
alb,2012,45.64666
alb,2013,45.1323
alb,2014,49.5415
alb,2015,51.96444
alb,2016,52.93792
alb,2017,49.47156
alb,2018,48.19517
arg,1995,10.21781
arg,1996,10.46623
arg,1997,10.16973
arg,1998,10.72755
arg,1999,11.34037
arg,2000,10.22828
arg,2001,8.85697
arg,2002,5.90614
arg,2003,6.71598
arg,2004,6.6906
arg,2005,6.84335
arg,2006,7.1999
arg,2007,7.60712
arg,2008,6.46331
arg,2009,6.71585
arg,2010,6.90926
arg,2011,6.20591
arg,2012,6.00546
arg,2013,5.80193
arg,2014,6.89787
arg,2015,7.77035
arg,2016,7.65711
arg,2017,7.86727
arg,2018,7.78339
arm,1995,4.61103
arm,1996,4.86816
arm,1997,9.84743
arm,1998,11.41807
arm,1999,12.18239
arm,2000,11.44935
arm,2001,14.41321
arm,2002,10.83517
arm,2003,9.16738
arm,2004,16.91469
arm,2005,16.65698
arm,2006,24.65527
arm,2007,26.51833
arm,2008,29.0179
arm,2009,36.55485
arm,2010,31.39316
arm,2011,27.78789
arm,2012,29.23865
arm,2013,28.68228
arm,2014,29.95469
arm,2015,30.48127
arm,2016,27.72561
arm,2017,25.85559
arm,2018,25.20776
atg,1995,61.50285
atg,1996,64.09584
atg,1997,62.71305
atg,1998,60.52801
atg,1999,61.33255
atg,2000,62.33106
atg,2001,61.07774
atg,2002,64.03885
atg,2003,64.84552
atg,2004,63.11179
atg,2005,56.66924
atg,2006,59.65305
atg,2007,58.1466
atg,2008,53.4085
atg,2009,54.30684
atg,2010,56.88826
atg,2011,58.01891
atg,2012,58.90503
atg,2013,56.50215
atg,2014,78.16724
atg,2015,78.90855
atg,2016,80.9121
atg,2017,82.80299
atg,2018,84.31068
aus,1995,14.77575
aus,1996,14.88173
aus,1997,13.90508
aus,1998,13.90462
aus,1999,15.24723
aus,2000,13.80413
aus,2001,13.89262
aus,2002,14.37673
aus,2003,15.92223
aus,2004,15.6934
aus,2005,14.34642
aus,2006,12.93701
aus,2007,13.67476
aus,2008,11.68513
aus,2009,13.79207
aus,2010,11.93624
aus,2011,10.58646
aus,2012,10.94184
aus,2013,10.70404
aus,2014,12.02515
aus,2015,14.91076
aus,2016,15.56564
aus,2017,14.81937
aus,2018,14.45896
aut,2005,11.61849
aut,2006,9.43036
aut,2007,8.78328
aut,2008,9.16977
aut,2009,10.31724
aut,2010,9.48195
aut,2011,8.6245
aut,2012,8.68018
aut,2013,8.83486
aut,2014,8.85791
aut,2015,10.08995
aut,2016,10.12769
aut,2017,9.94978
aut,2018,10.03195
aze,1995,11.08691
aze,1996,7.18857
aze,1997,15.30364
aze,1998,14.16634
aze,1999,7.25417
aze,2000,3.21042
aze,2001,2.40632
aze,2002,2.37275
aze,2003,2.30394
aze,2004,1.91596
aze,2005,1.22857
aze,2006,1.46561
aze,2007,1.41801
aze,2008,1.1979
aze,2009,2.39463
aze,2010,2.80505
aze,2011,4.0498
aze,2012,7.17987
aze,2013,7.29003
aze,2014,8.33312
aze,2015,12.65599
aze,2016,16.24115
aze,2017,16.19919
aze,2018,11.1048
bdi,1995,1.87494
bdi,1996,4.20425
bdi,1997,1.55344
bdi,1998,1.8983
bdi,1999,2.01936
bdi,2000,2.64013
bdi,2001,2.02765
bdi,2002,4.15293
bdi,2003,2.67646
bdi,2004,2.80119
bdi,2005,1.98756
bdi,2006,1.71733
bdi,2007,2.56606
bdi,2008,1.04594
bdi,2009,1.43647
bdi,2010,1.16197
bdi,2011,1.57003
bdi,2012,0.66917
bdi,2013,1.04043
bdi,2014,2.00928
bdi,2015,1.235
bdi,2016,0.96184
bdi,2017,1.10829
bdi,2018,1.36791
bel,2002,3.88049
bel,2003,4.04887
bel,2004,3.85827
bel,2005,3.81544
bel,2006,3.77996
bel,2007,3.4196
bel,2008,2.91422
bel,2009,3.80602
bel,2010,3.43357
bel,2011,3.29109
bel,2012,3.36469
bel,2013,3.40768
bel,2014,3.49449
bel,2015,2.49524
bel,2016,2.32417
bel,2017,2.30439
bel,2018,2.30051
ben,1995,13.83766
ben,1996,12.18763
ben,1997,10.40711
ben,1998,11.53421
ben,1999,15.77209
ben,2000,14.61207
ben,2001,16.40858
ben,2002,15.67559
ben,2003,15.09591
ben,2004,15.38957
ben,2005,13.94743
ben,2006,12.7547
ben,2007,15.2806
ben,2008,14.44267
ben,2009,9.05383
ben,2010,9.00211
ben,2011,12.0783
ben,2012,9.27282
ben,2013,7.72936
ben,2014,5.02482
ben,2015,5.40838
ben,2016,4.04428
ben,2017,4.82752
bfa,2005,8.43405
bfa,2006,8.2301
bfa,2007,8.22601
bfa,2008,8.30093
bfa,2009,9.36385
bfa,2010,5.5528
bfa,2011,4.11602
bfa,2012,3.89192
bfa,2013,6.32942
bfa,2014,5.69697
bfa,2015,5.51739
bfa,2016,5.25609
bfa,2017,4.60982
bgd,1995,0.56415
bgd,1996,0.7152
bgd,1997,1.12172
bgd,1998,0.88656
bgd,1999,0.8018
bgd,2000,0.69307
bgd,2001,0.70207
bgd,2002,0.85693
bgd,2003,0.74417
bgd,2004,0.83357
bgd,2005,0.77714
bgd,2006,0.613
bgd,2007,0.53938
bgd,2008,0.42869
bgd,2009,0.45168
bgd,2010,0.47565
bgd,2011,0.35939
bgd,2012,0.38056
bgd,2013,0.4141
bgd,2014,0.46586
bgd,2015,0.42981
bgd,2016,0.569
bgd,2017,0.88843
bgd,2018,0.80901
bgr,1995,9.7692
bgr,1996,8.64742
bgr,1997,10.7277
bgr,1998,19.22656
bgr,1999,20.4322
bgr,2000,19.48627
bgr,2001,17.4123
bgr,2002,18.45575
bgr,2003,20.46012
bgr,2004,20.05547
bgr,2005,18.95628
bgr,2006,16.26719
bgr,2007,15.89852
bgr,2008,15.93631
bgr,2009,18.36671
bgr,2010,15.04512
bgr,2011,12.62668
bgr,2012,12.1693
bgr,2013,12.25675
bgr,2014,12.23871
bgr,2015,11.04833
bgr,2016,12.07428
bgr,2017,11.72781
bgr,2018,11.67297
bhr,1995,12.36033
bhr,1996,10.97171
bhr,1997,11.51346
bhr,1998,15.64476
bhr,1999,15.0334
bhr,2000,11.90058
bhr,2001,13.41128
bhr,2002,14.16035
bhr,2003,15.11153
bhr,2004,14.55006
bhr,2005,11.96543
bhr,2006,11.4032
bhr,2007,10.70787
bhr,2008,9.07619
bhr,2009,11.9263
bhr,2010,12.0971
bhr,2011,7.69633
bhr,2012,5.57801
bhr,2013,5.49806
bhr,2014,5.96523
bhr,2015,11.02019
bhr,2016,16.90762
bhr,2017,16.38475
bhr,2018,12.73867
bhs,1995,76.70985
bhs,1996,76.10046
bhs,1997,75.58663
bhs,1998,71.99747
bhs,1999,72.39286
bhs,2000,71.90261
bhs,2001,74.95611
bhs,2002,71.38086
bhs,2003,71.33674
bhs,2004,69.70318
bhs,2005,68.00572
bhs,2006,65.80414
bhs,2007,64.62398
bhs,2008,61.75234
bhs,2009,66.14325
bhs,2010,67.55302
bhs,2011,64.83032
bhs,2012,63.47618
bhs,2013,63.56597
bhs,2014,65.6411
bhs,2015,74.76501
bhs,2016,79.64019
bhs,2017,78.8093
bhs,2018,77.2468
bih,1998,22.86454
bih,1999,19.91561
bih,2000,15.57169
bih,2001,17.10634
bih,2002,18.78971
bih,2003,18.37625
bih,2004,17.18518
bih,2005,15.7155
bih,2006,14.55372
bih,2007,18.7518
bih,2008,17.66546
bih,2009,16.99543
bih,2010,12.99455
bih,2011,12.07216
bih,2012,12.32456
bih,2013,12.2606
bih,2014,11.97073
bih,2015,13.80419
bih,2016,14.24468
bih,2017,13.25228
bih,2018,12.60778
blr,1995,0.5314
blr,1996,0.91071
blr,1997,0.51037
blr,1998,0.76084
blr,1999,1.43757
blr,2000,2.6675
blr,2001,3.4724
blr,2002,3.42856
blr,2003,3.11538
blr,2004,2.41706
blr,2005,1.97305
blr,2006,1.85912
blr,2007,1.78246
blr,2008,1.61407
blr,2009,2.31293
blr,2010,2.2666
blr,2011,1.60369
blr,2012,1.8984
blr,2013,2.62063
blr,2014,2.8357
blr,2015,3.08333
blr,2016,3.39851
blr,2017,3.07142
blr,2018,2.88872
blz,1995,26.23101
blz,1996,30.72992
blz,1997,29.2839
blz,1998,30.92373
blz,1999,25.28386
blz,2000,26.19761
blz,2001,26.09594
blz,2002,25.253
blz,2003,29.08404
blz,2004,31.81475
blz,2005,34.79671
blz,2006,33.5067
blz,2007,35.40144
blz,2008,32.08066
blz,2009,35.15036
blz,2010,31.82349
blz,2011,26.27767
blz,2012,28.80857
blz,2013,33.23463
blz,2014,35.08768
blz,2015,35.98917
blz,2016,40.37059
blz,2017,41.41979
blz,2018,45.45885
bmu,2006,30.59786
bmu,2007,34.88789
bmu,2008,28.96105
bmu,2009,27.00298
bmu,2010,31.21327
bmu,2011,34.00334
bmu,2012,32.00282
bmu,2013,32.1342
bmu,2014,30.11316
bmu,2015,29.37465
bmu,2016,33.57458
bmu,2017,36.76865
bmu,2018,36.9477
bol,1995,7.45664
bol,1996,7.61655
bol,1997,9.12409
bol,1998,10.10921
bol,1999,9.46132
bol,2000,6.87064
bol,2001,7.82535
bol,2002,9.1943
bol,2003,12.39034
bol,2004,11.04599
bol,2005,10.52024
bol,2006,7.58733
bol,2007,6.57956
bol,2008,4.30011
bol,2009,5.6354
bol,2010,4.95832
bol,2011,5.46977
bol,2012,5.14766
bol,2013,5.01072
bol,2014,5.32798
bol,2015,8.15923
bol,2016,9.99434
bol,2017,9.51111
bol,2018,9.36891
bra,1995,2.06113
bra,1996,1.41698
bra,1997,1.73206
bra,1998,2.37889
bra,1999,3.14865
bra,2000,3.09024
bra,2001,2.77222
bra,2002,3.10691
bra,2003,3.23725
bra,2004,3.13841
bra,2005,3.13371
bra,2006,2.92828
bra,2007,2.86235
bra,2008,2.67478
bra,2009,3.11803
bra,2010,2.38022
bra,2011,2.17787
bra,2012,2.35611
bra,2013,2.42643
bra,2014,2.80425
bra,2015,2.7934
bra,2016,3.03886
bra,2017,2.44509
bra,2018,2.29983
brb,1995,60.45254
brb,1996,53.42249
brb,1997,56.86008
brb,1998,59.61797
brb,1999,55.17888
brb,2000,52.26293
brb,2001,54.19966
brb,2002,50.9165
brb,2003,52.63596
brb,2004,53.4731
brb,2005,61.32823
brb,2006,60.35004
brb,2007,56.3754
brb,2008,55.23586
brb,2009,59.16522
brb,2010,52.27078
brb,2011,46.12673
brb,2012,44.72696
brb,2013,42.33441
brb,2014,37.84203
brb,2015,40.15658
brb,2016,43.49728
brn,2001,3.75691
brn,2002,2.73239
brn,2003,2.55128
brn,2004,3.22462
brn,2005,2.78545
brn,2006,2.67575
brn,2007,2.73958
brn,2008,2.09253
brn,2009,3.14092
brn,2012,0.68838
brn,2013,0.77871
brn,2014,0.67705
brn,2015,2.17032
brn,2016,2.6956
brn,2017,2.9374
brn,2018,2.6985
btn,2006,9.89723
btn,2007,7.38133
btn,2008,7.19053
btn,2009,8.88086
btn,2010,10.83855
btn,2011,10.1935
btn,2012,12.7566
btn,2013,17.37062
btn,2014,15.01945
btn,2015,16.97442
btn,2016,21.63965
btn,2017,21.35837
btn,2018,15.54119
bwa,1995,7.27104
bwa,1996,4.41082
bwa,1997,4.65343
bwa,1998,7.73045
bwa,1999,7.995
bwa,2000,7.56697
bwa,2001,8.7979
bwa,2002,11.42136
bwa,2003,12.51572
bwa,2004,13.10826
bwa,2005,10.6833
bwa,2006,10.19433
bwa,2007,9.12125
bwa,2008,9.38298
bwa,2009,15.88319
bwa,2010,8.34628
bwa,2011,6.44014
bwa,2012,7.11222
bwa,2013,5.51549
bwa,2014,5.5708
bwa,2015,7.42059
bwa,2016,6.14811
bwa,2017,7.86179
bwa,2018,7.83666
can,1995,4.20596
can,1996,4.31827
can,1997,4.17342
can,1998,4.36741
can,1999,4.24503
