geo,time,en_atm_co2e_kd_gd
abw,1986,0.16646
abw,1987,0.35704
abw,1988,0.41191
abw,1989,0.38935
afg,2002,0.14626
afg,2003,0.16493
afg,2004,0.13613
afg,2005,0.17762
afg,2006,0.19943
afg,2007,0.21314
afg,2008,0.3815
afg,2009,0.42953
afg,2010,0.54273
afg,2011,0.7642
afg,2012,0.57771
afg,2013,0.44551
afg,2014,0.39802
afg,2015,0.40136
afg,2016,0.36302
afg,2017,0.35318
afg,2018,0.35187
ago,1980,0.18055
ago,1981,0.18653
ago,1982,0.16425
ago,1983,0.17342
ago,1984,0.1602
ago,1985,0.14526
ago,1986,0.13996
ago,1987,0.16779
ago,1988,0.13946
ago,1989,0.13612
ago,1990,0.17816
ago,1991,0.18198
ago,1992,0.18853
ago,1993,0.26864
ago,1994,0.25703
ago,1995,0.36014
ago,1996,0.33572
ago,1997,0.32173
ago,1998,0.29788
ago,1999,0.32434
ago,2000,0.30776
ago,2001,0.30823
ago,2002,0.28609
ago,2003,0.36732
ago,2004,0.35458
ago,2005,0.291
ago,2006,0.29139
ago,2007,0.29516
ago,2008,0.28349
ago,2009,0.30427
ago,2010,0.30625
ago,2011,0.30562
ago,2012,0.28912
ago,2013,0.29888
ago,2014,0.30085
ago,2015,0.3026
ago,2016,0.31282
ago,2017,0.27285
ago,2018,0.24683
alb,1980,1.11172
alb,1981,1.49272
alb,1982,1.44344
alb,1983,1.49071
alb,1984,1.54805
alb,1985,1.53166
alb,1986,1.48231
alb,1987,1.38051
alb,1988,1.37832
alb,1989,1.53877
alb,1990,1.14595
alb,1991,1.08127
alb,1992,0.63494
alb,1993,0.53555
alb,1994,0.51122
alb,1995,0.41107
alb,1996,0.38064
alb,1997,0.32102
alb,1998,0.35875
alb,1999,0.52435
alb,2000,0.5233
alb,2001,0.49086
alb,2002,0.54682
alb,2003,0.56791
alb,2004,0.56183
alb,2005,0.50509
alb,2006,0.4746
alb,2007,0.46662
alb,2008,0.42892
alb,2009,0.42995
alb,2010,0.43953
alb,2011,0.47167
alb,2012,0.42263
alb,2013,0.43762
alb,2014,0.46859
alb,2015,0.44525
alb,2016,0.41906
alb,2017,0.45858
alb,2018,0.43749
and,1990,0.2503
and,1991,0.24409
and,1992,0.24184
and,1993,0.24436
and,1994,0.23867
and,1995,0.2436
and,1996,0.2436
and,1997,0.23327
and,1998,0.23567
and,1999,0.23563
and,2000,0.23206
and,2001,0.21464
and,2002,0.20925
and,2003,0.19251
and,2004,0.18811
and,2005,0.18485
and,2006,0.16724
and,2007,0.16169
and,2008,0.17121
and,2009,0.1741
and,2010,0.17761
and,2011,0.16738
and,2012,0.17614
and,2013,0.17889
and,2014,0.16725
and,2015,0.16847
and,2016,0.16244
and,2017,0.16188
and,2018,0.15596
are,1975,0.56936
are,1976,0.62355
are,1977,0.50226
are,1978,0.5897
are,1979,0.39836
are,1980,0.32419
are,1981,0.30936
are,1982,0.33178
are,1983,0.33386
are,1984,0.42134
are,1985,0.47032
are,1986,0.52323
are,1987,0.51102
are,1988,0.53219
are,1989,0.53368
are,1990,0.45857
are,1991,0.50472
are,1992,0.47362
are,1993,0.4874
are,1994,0.501
are,1995,0.49951
are,1996,0.49274
are,1997,0.48932
are,1998,0.50227
are,1999,0.50062
are,2000,0.44394
are,2001,0.49851
are,2002,0.49607
are,2003,0.48109
are,2004,0.46644
are,2005,0.47032
are,2006,0.44727
