geo,time,dc_dac_luxl_cd
afg,1990,300000.01192
afg,1991,150000.00596
afg,1992,340000.00358
afg,1993,140000.0006
afg,1994,180000.00715
afg,1995,519999.98093
afg,1996,469999.99881
afg,1997,449999.98808
afg,1998,519999.98093
afg,1999,140000.0006
afg,2000,180000.00715
afg,2001,6079999.92371
afg,2002,4719999.79019
afg,2003,1509999.99046
afg,2004,959999.97854
afg,2005,1460000.03815
afg,2006,2130000.11444
afg,2007,3200000.04768
afg,2008,3589999.91417
afg,2009,3740000.00954
afg,2010,3190000.05722
afg,2011,3470000.02861
afg,2012,3020565.98663
afg,2013,4126788.13934
afg,2014,4698803.90167
afg,2015,1155717.01527
afg,2016,2764214.03885
afg,2017,2009205.10292
afg,2018,2299824.95308
afg,2019,1247282.0282
afg,2020,3971509.93347
afg,2021,9525588.03558
afg,2022,4348512.1727
afg,2023,6002214.9086
ago,1990,300000.01192
ago,1992,189999.99762
ago,1995,479999.98927
ago,1997,280000.00119
ago,1999,9999.99978
ago,2000,479999.98927
ago,2001,439999.99762
ago,2002,699999.98808
ago,2003,109999.9994
ago,2004,230000.00417
ago,2019,55971.99872
alb,1992,159999.99642
alb,1993,140000.0006
alb,1994,180000.00715
alb,1995,70000.0003
alb,1996,750000
alb,1997,310000.00238
alb,1998,310000.00238
alb,1999,2940000.05722
alb,2000,1059999.94278
alb,2002,270000.01073
alb,2003,680000.00715
alb,2004,920000.01669
alb,2005,1470000.02861
alb,2006,1990000.00954
alb,2007,1659999.96662
alb,2008,680000.00715
alb,2009,300000.01192
alb,2010,90000.00358
alb,2011,39999.99911
alb,2012,160190.00113
alb,2013,14959.00005
alb,2017,63120.00006
alb,2018,62536.00121
alb,2019,189648.00239
alb,2020,303950.99521
alb,2021,199100.00265
alb,2022,175595.99876
alb,2023,197025.99943
arg,1990,59999.99866
arg,1991,29999.99933
arg,1992,50000.00075
arg,1993,39999.99911
arg,1994,50000.00075
arg,1995,360000.01431
arg,1996,200000.00298
arg,1997,119999.99732
arg,1998,409999.99642
arg,1999,129999.99523
arg,2000,230000.00417
arg,2002,180000.00715
arg,2003,59999.99866
arg,2004,79999.99821
arg,2005,100000.00149
arg,2006,209999.99344
arg,2007,170000.00179
arg,2008,230000.00417
arg,2009,140000.0006
arg,2010,150000.00596
arg,2011,170000.00179
arg,2012,87467.99827
arg,2013,157707.00574
arg,2014,92765.00344
arg,2015,81078.99874
arg,2016,61896.00006
arg,2017,167840.00397
arg,2018,248455.0029
arg,2019,180326.99823
arg,2020,279493.00408
arg,2021,265594.98906
arg,2022,243423.99836
arg,2023,193260.99753
arm,1992,159999.99642
arm,1993,140000.0006
arm,1994,180000.00715
arm,1995,189999.99762
arm,1999,300000.01192
arm,2000,200000.00298
arm,2004,250000
arm,2005,79999.99821
arm,2010,109999.9994
arm,2011,100000.00149
arm,2012,122796.99743
arm,2019,3357.99996
arm,2020,85469.99842
arm,2023,262315.00506
atg,2017,30642.99934
aze,1993,140000.0006
aze,1994,180000.00715
aze,1996,189999.99762
aze,2003,140000.0006
aze,2005,19999.99955
aze,2010,79999.99821
aze,2011,100000.00149
aze,2012,99036.00067
aze,2013,9093.99986
aze,2015,4379.99982
aze,2016,49628.00071
aze,2017,60295.00067
aze,2018,80783.00208
aze,2019,77472.99969
aze,2020,250548.0051
aze,2021,109185.00274
aze,2022,78143.0006
aze,2023,88307.0007
bdi,1990,730000.01907
bdi,1991,1269999.98093
bdi,1992,509999.99046
bdi,1993,2150000.09537
bdi,1994,2759999.99046
bdi,1995,1039999.96185
bdi,1996,1299999.95232
bdi,1998,1799999.95232
bdi,1999,1399999.97616
bdi,2000,1860000.01431
bdi,2001,1629999.99523
bdi,2002,170000.00179
bdi,2003,239999.99464
bdi,2004,419999.98689
bdi,2005,379999.99523
bdi,2006,540000.02146
bdi,2007,3210000.03815
bdi,2008,529999.97139
bdi,2009,639999.98569
bdi,2010,1149999.97616
bdi,2011,1139999.98569
bdi,2012,759311.02037
bdi,2013,1029402.97127
bdi,2014,991114.97402
bdi,2015,847787.02259
bdi,2016,569311.02276
bdi,2017,559056.9973
bdi,2018,795199.99027
bdi,2019,272630.00607
bdi,2020,320793.00284
bdi,2021,665220.0222
bdi,2022,126606.00245
bdi,2023,378459.99002
ben,1990,70000.0003
ben,1991,79999.99821
ben,1992,70000.0003
ben,1993,29999.99933
ben,1994,39999.99911
