global,time,ne_trd_gnfs_zs
world,1970,25.01207
world,1971,25.16467
world,1972,25.3891
world,1973,28.42108
world,1974,33.26964
world,1975,31.46827
world,1976,32.15482
world,1977,32.4253
world,1978,32.02478
world,1979,34.27477
world,1980,37.13827
world,1981,37.41386
world,1982,36.74066
world,1983,35.90399
world,1984,37.17209
world,1985,36.70509
world,1986,34.2788
world,1987,35.60298
world,1988,37.44444
world,1989,37.93972
world,1990,37.90794
world,1991,37.83286
world,1992,40.74054
world,1993,40.23505
world,1994,41.07305
world,1995,43.16597
world,1996,43.30286
world,1997,45.20051
world,1998,45.60319
world,1999,46.04554
world,2000,50.69241
world,2001,49.61345
world,2002,49.42288
world,2003,51.17932
world,2004,54.6242
world,2005,56.67682
world,2006,58.93546
world,2007,59.3308
world,2008,60.98504
world,2009,52.42026
world,2010,56.971
world,2011,60.20483
world,2012,59.9571
world,2013,59.16644
world,2014,58.57703
world,2015,56.18624
world,2016,54.41009
world,2017,56.16192
world,2018,57.70718
world,2019,56.34823
world,2020,51.56853
