geo,time,ne_con_govt_cn
abw,1995,472000000
abw,1996,498000000
abw,1997,647000000
abw,1998,655000000
abw,1999,674000000
abw,2000,718300000
abw,2001,843300000
abw,2002,874070000
abw,2003,894420000
abw,2004,923740000
abw,2005,964690000
abw,2006,986880000
abw,2007,1026390000
abw,2008,1081330000
abw,2009,1135190000
abw,2010,1162333000
abw,2011,1185563000
abw,2012,1225448000
abw,2013,1278980000
abw,2014,1240100000
abw,2015,1233390000
abw,2016,1254400000
abw,2017,1274350000
abw,2018,1352970000
abw,2019,1367570000
abw,2020,1268406600
abw,2021,1197228300
abw,2022,1244901100
abw,2023,1277614600
afg,2020,339369000000
afg,2021,266029000000
afg,2022,280374000000
afg,2023,286589000000
ago,2002,127292000000
ago,2003,290430000000
ago,2004,281600000000
ago,2005,516512000000
ago,2006,645850000000
ago,2007,777831000000
ago,2008,1117054000000
ago,2009,1109812000000
ago,2010,1312542000000
ago,2011,1914937000000
ago,2012,2181253000000
ago,2013,2853017000000
ago,2014,2574808000000
ago,2015,2292428000000
ago,2016,2297193000000
ago,2017,2621094000000
ago,2018,2684389000000
ago,2019,2608070000000
ago,2020,2741462276700
ago,2021,3421898841200
ago,2022,4224955059900
ago,2023,3208060035400
ago,2024,5083789814000
alb,1980,1396000000
alb,1981,1372000000
alb,1982,1420999900
alb,1983,1468000000
alb,1984,1554000000
alb,1985,1568999900
alb,1986,1612999900
alb,1987,1664000000
alb,1988,1608999900
alb,1989,1646000000
alb,1990,3113999900
alb,1991,3622000100
alb,1992,10476000300
alb,1993,17709000700
alb,1994,26026999800
alb,1995,26968628300
alb,1996,32446010300
alb,1997,35520645500
alb,1998,42880183300
alb,1999,50554674800
alb,2000,50234963800
alb,2001,61775737800
alb,2002,71229611000
alb,2003,77432239000
alb,2004,85082951700
alb,2005,91392237600
alb,2006,94751561300
alb,2007,104407378600
alb,2008,119073290400
alb,2009,134920382000
alb,2010,146846700700
alb,2011,155417748300
alb,2012,155579197300
alb,2013,159128134600
alb,2014,172151326600
alb,2015,169035786500
alb,2016,180159602000
alb,2017,187134166500
alb,2018,197083134800
alb,2019,217017723200
alb,2020,226328873000
alb,2021,239591763500
alb,2022,258854000000
alb,2023,285490000000
alb,2024,324425955800
are,2001,37614994900
are,2002,40920779200
are,2003,44525611500
are,2004,47484508800
are,2005,52220300000
are,2006,56430265600
are,2007,63774753900
are,2008,84539716500
are,2009,95295495500
are,2010,106755079500
are,2011,128180878200
are,2012,133860100000
are,2013,157370603000
are,2014,161848547700
are,2015,163467000000
are,2016,164253620100
are,2017,187099000000
are,2018,196198922900
are,2019,200902380900
are,2020,194820549800
are,2021,222778739300
are,2022,233509030000
are,2023,234492410300
arg,1960,0.01299
arg,1961,0.01299
arg,1962,0.02599
arg,1963,0.02599
arg,1964,0.02599
arg,1965,0.03898
arg,1966,0.06496
arg,1967,0.07796
arg,1968,0.09095
arg,1969,0.10394
arg,1970,0.11693
arg,1971,0.1689
arg,1972,0.25985
arg,1973,0.54569
arg,1974,0.8575
arg,1975,2.44259
arg,1976,9.64043
arg,1977,25.5952
arg,1978,79.1243
arg,1979,212.687
arg,1987,1100000
arg,1988,4800000
arg,1989,145800000
arg,1990,2160999936
arg,1991,6008999900
arg,1992,6743700000
arg,1993,31952717000
arg,1994,33948366600
arg,1995,34445834100
arg,1996,34023284500
arg,1997,35324694300
arg,1998,37352911200
arg,1999,38908460700
arg,2000,39175188600
arg,2001,38037449000
arg,2002,38244936000
arg,2003,42996742100
arg,2004,53918788400
arg,2005,70730976600
arg,2006,88982715600
arg,2007,116511660100
arg,2008,156737152200
arg,2009,198469382400
arg,2010,251978673300
arg,2011,341866144100
arg,2012,439092309100
arg,2013,562724686700
arg,2014,776149459000
arg,2015,1077669994700
arg,2016,1452646862200
arg,2017,1886529328600
arg,2018,2330431653000
arg,2019,3544907053700
arg,2020,4591113949500
arg,2021,7356145186100
arg,2022,13088617891300
arg,2023,31366434489800
arg,2024,87065357091000
arm,1990,9210000
arm,1991,14750000
arm,1992,57530000
arm,1993,725300000
arm,1994,21593000000
arm,1995,59135000000
arm,1996,75001000000
arm,1997,92315000000
arm,1998,107883000000
arm,1999,120769000000
arm,2000,111370800000
arm,2001,121601400000
arm,2002,124925600000
arm,2003,152469400000
arm,2004,178511800000
arm,2005,217784000000
arm,2006,246113000000
arm,2007,295975700000
arm,2008,335267300000
arm,2009,385911800000
arm,2010,416736700000
arm,2011,449964400000
arm,2012,465469300000
arm,2013,543718400000
arm,2014,583580700000
arm,2015,661300900000
arm,2016,681761700000
arm,2017,685465000000
arm,2018,691158200000
arm,2019,822139600000
arm,2020,925345400000
arm,2021,954367200000
arm,2022,992670200000
arm,2023,1337300900000
arm,2024,1086977300000
aus,1960,1843000000
aus,1961,1989000000
aus,1962,2129000000
aus,1963,2246000000
aus,1964,2416000000
aus,1965,2757000000
aus,1966,3122000000
aus,1967,3472000000
aus,1968,3973000000
aus,1969,4275000000
aus,1970,4860000000
aus,1971,5613000000
aus,1972,6419000000
aus,1973,7278000000
aus,1974,8720000000
aus,1975,11965000000
aus,1976,14900000000
aus,1977,16794000000
aus,1978,18735000000
aus,1979,20618000000
aus,1980,23173000000
aus,1981,27135000000
aus,1982,31196000000
aus,1983,35330000000
aus,1984,39141000000
aus,1985,45326000000
aus,1986,50675000000
aus,1987,55459000000
aus,1988,59913000000
aus,1989,65493000000
aus,1990,71396000000
aus,1991,77384000000
aus,1992,82523000000
aus,1993,86074000000
aus,1994,87784000000
aus,1995,92432000000
aus,1996,98307000000
aus,1997,101706000000
aus,1998,107609000000
aus,1999,116469000000
aus,2000,122847000000
aus,2001,131171000000
aus,2002,138796000000
aus,2003,147858000000
aus,2004,158148000000
aus,2005,170111000000
aus,2006,182997000000
aus,2007,197900000000
aus,2008,213441000000
aus,2009,232493000000
aus,2010,245676000000
aus,2011,264782000000
aus,2012,283614000000
aus,2013,289833000000
aus,2014,300319000000
aus,2015,311659000000
aus,2016,331145000000
aus,2017,350622000000
aus,2018,368719000000
aus,2019,396695000000
aus,2020,433879000000
aus,2021,467698000000
aus,2022,514500000000
aus,2023,547236000000
aus,2024,594102000000
aut,1970,4158236000
aut,1971,4667285000
aut,1972,5278745000
aut,1973,6168075000
aut,1974,7336778000
aut,1975,8513012000
aut,1976,9622980000
aut,1977,10531727000
aut,1978,11561951000
aut,1979,12586135000
aut,1980,13527906000
aut,1981,14769685000
aut,1982,16211120000
aut,1983,17272470000
aut,1984,18178638000
aut,1985,19382256000
aut,1986,20641557000
aut,1987,21393494000
aut,1988,22150565000
aut,1989,23274649000
aut,1990,24725305000
aut,1991,26776277000
aut,1992,28805321000
aut,1993,31059769000
aut,1994,32852152000
aut,1995,34597050000
aut,1996,35715480000
aut,1997,36991350000
aut,1998,38391760000
aut,1999,40451430000
aut,2000,41054560000
aut,2001,41847210000
aut,2002,42713960000
aut,2003,44006660000
aut,2004,45782880000
aut,2005,49154050000
aut,2006,51578410000
aut,2007,53231080000
aut,2008,56614180000
aut,2009,59579640000
aut,2010,60636760000
aut,2011,61704960000
aut,2012,63286700000
aut,2013,64509770000
aut,2014,65972390000
aut,2015,68033420000
aut,2016,70273900000
aut,2017,71985910000
aut,2018,74509630000
aut,2019,77286760000
aut,2020,80448390000
aut,2021,88281400000
aut,2022,92076680000
aut,2023,96847800000
aze,1990,51600
aze,1991,103800
aze,1992,854100
aze,1993,9464000
aze,1994,88096400
aze,1995,273000000
aze,1996,328400000
aze,1997,398300000
aze,1998,521500000
aze,1999,589400000
aze,2000,714800000
aze,2001,725400000
aze,2002,752000000
aze,2003,885400000
aze,2004,1100400000
aze,2005,1305100000
aze,2006,1600900000
aze,2007,2739700000
aze,2008,3409700000
aze,2009,3960100000
aze,2010,4620800000
aze,2011,5274700000
aze,2012,5762300000
aze,2013,5983000000
aze,2014,6424200000
aze,2015,6747600000
aze,2016,7753800000
aze,2017,7977300000
aze,2018,8382800000
aze,2019,9109700000
aze,2020,11771400000
aze,2021,12924900000
aze,2022,15597300000
aze,2023,17010200000
aze,2024,18150500000
bdi,1960,262500000
bdi,1961,262500000
bdi,1962,350000000
bdi,1963,525000000
bdi,1964,700000000
bdi,1965,931700000
bdi,1966,1027700000
bdi,1967,1133500000
bdi,1968,1250300000
bdi,1969,1379000000
bdi,1970,2075400000
bdi,1971,2341700000
bdi,1972,2790900000
bdi,1973,2821000000
bdi,1974,3421200000
bdi,1975,3827800000
bdi,1976,3367500000
bdi,1977,5495000000
bdi,1978,7576000000
bdi,1979,9048800000
bdi,1980,7630000000
bdi,1981,7910000000
bdi,1982,9720001000
bdi,1983,8370000000
bdi,1984,9240001000
bdi,1985,10870000000
bdi,1986,13500000000
bdi,1987,13550000000
bdi,1988,16270000000
bdi,1989,18000000000
bdi,1990,20970000000
bdi,1991,22818010000
bdi,1992,43400000000
bdi,1993,46700000000
bdi,1994,40700000000
bdi,1995,47600000000
bdi,1996,52600000000
bdi,1997,57500000000
bdi,1998,68600000000
bdi,1999,82700000000
bdi,2000,93201000000
bdi,2001,113088000000
bdi,2002,113184000000
bdi,2003,148331000000
bdi,2004,193737000000
bdi,2005,170362400000
bdi,2006,199104800000
bdi,2007,278773900000
bdi,2008,386050100000
bdi,2009,431727300000
bdi,2010,547729300000.00006
bdi,2011,645673300000
bdi,2012,784239000000
bdi,2013,941686800000
bdi,2014,1083915000000
bdi,2015,1094028000000
bdi,2016,1149506000000
bdi,2017,1376000000000
bdi,2018,1419151000000
bdi,2019,1514696512300
bdi,2020,1852627727900
bdi,2021,2034919642400
bdi,2022,2468655689000
bdi,2023,2780868628900
bel,1970,5557460000
bel,1971,6445248000
bel,1972,7424665000
bel,1973,8565574000
bel,1974,10242680000
bel,1975,12663288000
bel,1976,14499501000
bel,1977,16072021000
bel,1978,17888644000
bel,1979,19414934000
bel,1980,21027050000
bel,1981,23233822000
bel,1982,24785508000
bel,1983,25879047000
bel,1984,27875404000
bel,1985,28993820000
bel,1986,30153697000
bel,1987,31139437000
bel,1988,31278332000
bel,1989,32813433000
bel,1990,34388959000
bel,1991,37177225000
bel,1992,39222299000
bel,1993,41039336000
bel,1994,42859483000
bel,1995,44832000000
bel,1996,46539700000
bel,1997,47400600000
bel,1998,49071800000
bel,1999,51568000000
bel,2000,53942100000
bel,2001,56339300000
bel,2002,60495800000
bel,2003,63226100000
bel,2004,65885700000
bel,2005,68499700000
bel,2006,71334300000
bel,2007,74276300000
bel,2008,79726600000
bel,2009,83818400000
bel,2010,86182900000
bel,2011,90418100000
bel,2012,93853400000
bel,2013,95520000000
bel,2014,97663400000
bel,2015,98404400000
bel,2016,100046600000
bel,2017,102506000000
bel,2018,106462500000
bel,2019,110290600000
bel,2020,112695200000
bel,2021,120639800000
bel,2022,132393500000
bel,2023,141757000000
ben,1960,5631860200
ben,1961,5876701700
ben,1962,6284803600
ben,1963,6611226600
ben,1964,6039962100
ben,1965,6286299100
ben,1966,6122999800
ben,1967,6939398100
ben,1968,7266000900
ben,1969,7674200100
ben,1970,8980398100
ben,1971,9270001700
ben,1972,10490000400
ben,1973,11200000000
ben,1974,11500000300
ben,1975,13420000300
ben,1976,14339999700
ben,1977,15310000100
ben,1978,17429989400
ben,1979,20249999400
ben,1980,25660000300
ben,1981,32130000900
ben,1982,43699998700
ben,1983,60200001500
ben,1984,62600011800
ben,1985,72200028200
ben,1986,70600032300
ben,1987,73000001500
ben,1988,63653998600
ben,1989,53120999400
ben,1990,93755900000
ben,1991,90679800000
ben,1992,93636900000
ben,1993,98250600000
ben,1994,138704900000
ben,1995,156463100000
ben,1996,163203800000
ben,1997,174931600000
ben,1998,189963300000
ben,1999,184370085100
ben,2000,202008883100
ben,2001,217049777700
ben,2002,226556663400
ben,2003,273871776000
ben,2004,287573183700
ben,2005,311347483600
ben,2006,355233167000
ben,2007,374126051200
ben,2008,446729906800
ben,2009,517020190000
ben,2010,528979814700
ben,2011,555499759800
ben,2012,633010129200
ben,2013,682692646400
ben,2014,667753026800
ben,2015,768307000000
ben,2016,720195000000
ben,2017,772856758400
ben,2018,824720659600
ben,2019,872068369700
ben,2020,1026946919300
ben,2021,988421283900
ben,2022,1091700000000
ben,2023,1134300000000
ben,2024,1174200000000
bfa,1960,6017186800
bfa,1961,6574645200
bfa,1962,7019951100
bfa,1963,7131302900
bfa,1964,7019951100
bfa,1965,5234925100
bfa,1966,4900397600
bfa,1967,4789789200
bfa,1968,6906060800
bfa,1969,7351096800
bfa,1970,8799615000
bfa,1971,9479069700
bfa,1972,10594759700
bfa,1973,12155587600
bfa,1974,14944413700
bfa,1975,25971609600
bfa,1976,23643521000
bfa,1977,27881865200
bfa,1978,33457418200
bfa,1979,40149762000
bfa,1980,37608857600
bfa,1981,44656422900
bfa,1982,79479554000
bfa,1983,87673020400
bfa,1984,83205357600
bfa,1985,120680718300
bfa,1986,133930868699.99998
bfa,1987,142014054400
bfa,1988,155992031200
bfa,1989,168032174100
bfa,1990,177800003600
bfa,1991,191839993900
bfa,1992,193100005400
bfa,1993,193339998200
bfa,1994,274274418700
bfa,1995,299293016100
bfa,1996,322712436700
bfa,1997,339060391900
bfa,1998,368967090200
bfa,1999,251560139500
bfa,2000,297444284500
bfa,2001,341744783100
bfa,2002,366624317800
bfa,2003,373524440300
bfa,2004,409269644500
bfa,2005,446986383800
bfa,2006,516574039700
bfa,2007,609177003700
bfa,2008,618394382100
bfa,2009,676451524300
bfa,2010,723191840700
bfa,2011,813312278600
bfa,2012,914161424300
bfa,2013,973150707900
bfa,2014,1065355932600
bfa,2015,1115338000000
bfa,2016,1255385000000
bfa,2017,1453081000000
bfa,2018,1625712000000
bfa,2019,1925724000000
bfa,2020,2018431000000
bfa,2021,2211662000000
bfa,2022,2332688480000
bfa,2023,2462586373000
bfa,2024,2644825429000
bgd,1960,1270480900
bgd,1961,1469078700
bgd,1962,1539812000
bgd,1963,1772416100
bgd,1964,2161450000
bgd,1965,2568167000
bgd,1966,4003239300
bgd,1967,3901219900
bgd,1968,4302496000
bgd,1969,5389341900
bgd,1970,5774295000
bgd,1973,2478390000
bgd,1974,4627597400
bgd,1975,5461435800
bgd,1976,6111639300
bgd,1977,7598400800
bgd,1978,9791137000
bgd,1979,14886663200
bgd,1980,17242629700
bgd,1981,14530000000
bgd,1982,16455000000
bgd,1983,18029000000
bgd,1984,20551000000
bgd,1985,23347000000
bgd,1986,27443000000
bgd,1987,31208000000
bgd,1988,34542000000
bgd,1989,38378000000
bgd,1990,42137000000
bgd,1991,45714000000
bgd,1992,53211000000
bgd,1993,62106000000
bgd,1994,66124000000
bgd,1995,70614000000
bgd,1996,89791000000
bgd,1997,101003000000
bgd,1998,116317000000
bgd,1999,124231000000
bgd,2000,133530000000
bgd,2001,141172000000
bgd,2002,157852000000
bgd,2003,178629000000
bgd,2004,198331000000
bgd,2005,221234000000
bgd,2006,262395098600.00003
bgd,2007,294662741900
bgd,2008,325549050000
bgd,2009,359145607300
bgd,2010,404776876900
bgd,2011,466838848300
bgd,2012,531753457900.00006
