geo,time,ne_exp_gnfs_kd_zg
ago,2001,80.75299
ago,2002,150.00782
ago,2003,-1.3
ago,2004,13.09
ago,2005,22.93
ago,2006,14.29
ago,2007,16.56
ago,2008,10.62
ago,2009,-2.65052
ago,2010,-2.37893
ago,2011,-5.1241
ago,2012,5.19986
ago,2013,-1.1739
ago,2014,0.70463
ago,2015,-14.68932
ago,2016,-18.39552
ago,2017,24.54368
alb,1997,-18.27611
alb,1998,42.39914
alb,1999,68.94462
alb,2000,35.82537
alb,2001,12.1852
alb,2002,6.93557
alb,2003,14.8249
alb,2004,17.12844
alb,2005,21.65561
alb,2006,6.24963
alb,2007,21.10746
alb,2008,-0.73914
alb,2009,10.07016
alb,2010,19.19358
alb,2011,6.67409
alb,2012,0.29359
alb,2013,1.58899
alb,2014,1.1528
alb,2015,0.96935
alb,2016,11.3406
alb,2017,12.94327
alb,2018,3.1966
are,2002,3.15041
are,2003,22.9102
are,2004,24.54438
are,2005,11.48226
are,2006,11.53124
are,2007,8.83207
are,2008,12.43522
are,2009,-4.29926
are,2010,6.25981
are,2011,16.06622
are,2012,17.45399
are,2013,6.0935
are,2014,1.8021
are,2015,5.19075
are,2016,3.40508
are,2017,2.85557
are,2018,0.84071
arg,1961,-10.63859
arg,1962,45.23846
arg,1963,0
arg,1964,-8.19666
arg,1965,8.9285
arg,1966,16.39343
arg,1967,0
arg,1968,-7.04216
arg,1969,21.21207
arg,1970,1.2001
arg,1971,-9.93094
arg,1972,2.02959
arg,1973,13.97859
arg,1974,0.23574
arg,1975,-9.29416
arg,1976,31.51766
arg,1977,27.31777
arg,1978,8.90727
arg,1979,-3.2005
arg,1980,-5.14286
arg,1981,5.20391
arg,1982,3.94655
arg,1983,2.58261
arg,1984,-2.5915
arg,1985,15.55402
arg,1986,-10.27034
arg,1987,-3.482
arg,1988,18.71957
arg,1989,7.43032
arg,1990,18.0116
arg,1991,-3.62414
arg,1992,-1.02969
arg,1993,3.9832
arg,1994,15.29557
arg,1995,22.52814
arg,1996,7.64679
arg,1997,12.17744
arg,1998,10.62339
arg,1999,-1.26028
arg,2000,2.70239
arg,2001,2.74099
arg,2002,3.09296
arg,2003,5.99537
arg,2004,8.11416
arg,2005,12.88683
arg,2006,5.5612
arg,2007,8.16445
arg,2008,0.73987
arg,2009,-9.34711
arg,2010,13.89691
arg,2011,4.14881
arg,2012,-4.10831
arg,2013,-3.52024
arg,2014,-6.97917
arg,2015,-2.77737
arg,2016,5.31735
arg,2017,1.7171
arg,2018,-0.65748
arm,1995,-48.17576
arm,1996,7.85805
arm,1997,-6.88012
arm,1998,-0.07011
arm,1999,13.34304
arm,2000,18.75948
arm,2001,27.26304
