geo,time,ne_exp_gnfs_kd_zg
afg,2021,7.24333
afg,2022,18.61252
afg,2023,-12.10795
ago,2003,-1.3
ago,2004,13.09
ago,2005,22.93
ago,2006,14.29
ago,2007,16.56
ago,2008,10.62
ago,2009,-2.65052
ago,2010,-2.37893
ago,2011,-5.1241
ago,2012,5.19986
ago,2013,-1.1739
ago,2014,0.70463
ago,2015,-14.68932
ago,2016,-18.39552
ago,2017,24.54368
ago,2018,-7.61397
ago,2019,-17.41517
ago,2020,-7.34159
ago,2021,-8.55847
ago,2022,3.27058
ago,2023,-6.18478
ago,2024,5.04811
alb,1996,15.58285
alb,1997,-18.2745
alb,1998,33.83348
alb,1999,73.0968
alb,2000,38.8813
alb,2001,15.45616
alb,2002,3.55237
alb,2003,11.77325
alb,2004,18.48387
alb,2005,24.26686
alb,2006,16.92743
alb,2007,19.1122
alb,2008,-4.62557
alb,2009,4.71153
alb,2010,19.19358
alb,2011,6.6741
alb,2012,0.29359
alb,2013,1.589
alb,2014,-0.16964
alb,2015,-2.25254
alb,2016,7.57277
alb,2017,12.96463
alb,2018,4.46629
alb,2019,2.48008
alb,2020,-27.72554
alb,2021,52.09737
alb,2022,17.04249
alb,2023,9.45351
alb,2024,-0.76418
are,2002,3.15041
are,2003,22.9102
are,2004,24.54438
are,2005,11.48226
are,2006,11.53124
are,2007,8.83207
are,2008,12.43522
are,2009,-4.29926
are,2010,6.25981
are,2011,16.06622
are,2012,15.66517
are,2013,7.06099
are,2014,4.12698
are,2015,2.72547
are,2016,5.21397
are,2017,-0.31912
are,2018,1.68171
are,2019,0.75171
are,2020,3.84884
are,2021,4.08141
are,2022,8.45957
are,2023,6.87976
arg,1961,-10.63859
arg,1962,45.23846
arg,1963,0
arg,1964,-8.19666
arg,1965,8.9285
arg,1966,16.39343
arg,1967,0
arg,1968,-7.04216
arg,1969,21.21207
arg,1970,1.2001
arg,1971,-9.93094
arg,1972,2.02959
arg,1973,13.97859
arg,1974,0.23574
arg,1975,-9.29416
arg,1976,31.51766
arg,1977,27.31777
arg,1978,8.90727
arg,1979,-3.2005
arg,1980,-5.14286
arg,1981,5.20391
arg,1982,3.94655
arg,1983,2.58261
arg,1984,-2.5915
arg,1985,15.55402
arg,1986,-10.27034
arg,1987,-3.482
arg,1988,18.71957
arg,1989,7.43032
arg,1990,18.0116
arg,1991,-3.62414
arg,1992,-1.02969
arg,1993,3.9832
arg,1994,15.29557
arg,1995,22.52814
arg,1996,7.64679
arg,1997,12.17744
arg,1998,10.62339
arg,1999,-1.26028
arg,2000,2.70239
arg,2001,2.74099
arg,2002,3.09296
arg,2003,5.99537
arg,2004,8.11416
arg,2005,12.88683
arg,2006,5.5612
arg,2007,8.16445
arg,2008,0.73987
arg,2009,-9.34711
arg,2010,13.89691
arg,2011,4.14881
arg,2012,-4.10831
arg,2013,-3.52024
arg,2014,-6.97917
arg,2015,-2.77737
arg,2016,5.31735
arg,2017,2.61539
arg,2018,0.646
arg,2019,9.75103
arg,2020,-17.43771
arg,2021,8.45304
arg,2022,4.60621
arg,2023,-7.51263
arg,2024,23.16318
arm,1995,-48.17576
arm,1996,7.85805
arm,1997,-6.88012
arm,1998,-0.07011
arm,1999,13.34304
arm,2000,18.75948
arm,2001,27.26304
arm,2002,34.41957
arm,2003,30.55543
arm,2004,-2.50453
arm,2005,16.28765
arm,2006,-7.33908
arm,2007,-3.50823
arm,2008,-13.07999
arm,2009,-10.43566
arm,2010,26.49997
arm,2011,14.89828
arm,2012,9.13558
arm,2013,8.6
arm,2014,6.4
arm,2015,4.9
