geo,time,dt_oda_odat_mp_zs
abw,1986,14.72126
abw,1987,6.26425
abw,1988,4.12337
abw,1989,4.65833
abw,1990,4.06055
abw,1991,1.58402
abw,1992,1.84116
abw,1993,1.4286
abw,1994,0.98264
abw,1995,1.26315
abw,1996,0.75399
abw,1997,0.91167
abw,1998,0.53331
abw,1999,-0.44161
afg,1979,12.44169
afg,1980,3.09356
afg,1981,2.12402
afg,1982,0.98424
afg,1983,1.26823
afg,1984,0.47273
afg,1985,1.50512
afg,1986,0.19562
afg,1987,4.33915
afg,1988,8.51384
afg,1989,20.32118
afg,2008,124.21169
afg,2009,145.75778
afg,2010,102.50551
afg,2011,91.64919
afg,2012,67.40131
afg,2013,50.59283
afg,2014,58.55831
afg,2015,49.87843
afg,2016,55.08316
afg,2017,47.60103
afg,2018,46.89995
afg,2019,55.78756
afg,2020,59.85639
ago,1985,4.01108
ago,1986,6.83368
ago,1987,6.65495
ago,1988,5.0314
ago,1989,5.07473
ago,1990,6.38655
ago,1991,6.52967
ago,1992,7.11603
ago,1993,7.51292
ago,1994,11.87532
ago,1995,9.67911
ago,1996,7.6802
ago,1997,5.68771
ago,1998,5.86363
ago,1999,5.45846
ago,2000,4.05422
ago,2001,3.41409
ago,2002,4.74019
ago,2003,4.68219
ago,2004,8.69995
ago,2005,2.15971
ago,2006,0.72316
ago,2007,0.753
ago,2008,0.64448
ago,2009,0.48979
ago,2010,0.5294
ago,2011,0.35858
ago,2012,0.43094
ago,2013,0.47501
ago,2014,0.37344
ago,2015,0.86294
ago,2016,0.66039
ago,2017,0.6198
ago,2018,0.47604
ago,2019,0.07442
ago,2020,0.54781
ago,2021,0.99675
ago,2022,0.25625
ago,2023,0.44767
alb,1988,1.35875
alb,1989,2.13548
alb,1990,2.26946
alb,1991,97.54629
alb,1992,61.38768
alb,1993,34.07351
alb,1994,21.05059
alb,1995,20.88827
alb,1996,20.1765
alb,1997,24.11578
alb,1998,33.9247
alb,1999,51.04371
alb,2000,23.37854
alb,2001,16.69265
alb,2002,16.63112
alb,2003,15.25188
alb,2004,10.30236
alb,2005,8.8682
alb,2006,7.82296
alb,2007,5.68456
alb,2008,5.10502
alb,2009,5.41263
alb,2010,5.09831
alb,2011,5.41517
alb,2012,5.64497
alb,2013,4.38322
alb,2014,4.28423
alb,2015,6.26278
alb,2016,3.00024
alb,2017,2.57045
alb,2018,4.69743
alb,2019,0.37026
alb,2020,4.92405
alb,2021,7.27231
alb,2022,3.1761
alb,2023,3.13353
arg,1976,0.34722
arg,1977,0.29045
arg,1978,0.27712
arg,1979,0.2696
arg,1980,0.27302
arg,1981,0.22328
arg,1982,0.24288
arg,1983,0.28176
arg,1984,0.2639
arg,1985,0.34642
arg,1986,0.62955
arg,1987,0.6601
arg,1988,1.10176
arg,1989,1.50962
arg,1990,1.31015
arg,1991,1.58075
arg,1992,1.10779
arg,1993,0.89178
arg,1994,0.46898
arg,1995,0.42289
arg,1996,0.30518
arg,1997,0.20197
arg,1998,0.14132
arg,1999,0.17728
arg,2000,0.15521
arg,2001,0.3875
arg,2002,0.41476
arg,2003,0.39497
arg,2004,0.23842
arg,2005,0.20224
arg,2006,0.20891
arg,2007,0.13314
arg,2008,0.1508
arg,2009,0.18263
arg,2010,0.14322
arg,2011,0.09094
arg,2012,0.17884
arg,2013,0.03279
arg,2014,0.0513
arg,2015,-0.02072
arg,2016,0.0029
arg,2017,-0.00106
arg,2018,0.06552
arg,2019,0.01048
arg,2020,0.15465
arg,2021,0.18441
arg,2022,0.34118
arg,2023,0.22983
arm,1993,35.96762
arm,1994,42.76238
arm,1995,28.50083
arm,1996,31.09564
arm,1997,16.32774
arm,1998,18.58934
arm,1999,22.21275
arm,2000,20.94679
arm,2001,18.82453
arm,2002,23.407
arm,2003,15.62332
arm,2004,12.75147
arm,2005,6.84903
arm,2006,7.09462
arm,2007,8.11889
arm,2008,5.36954
arm,2009,9.12969
arm,2010,5.79137
arm,2011,6.68631
arm,2012,4.64588
arm,2013,4.63129
arm,2014,4.32876
arm,2015,7.12521
arm,2016,6.43613
arm,2017,4.11031
arm,2018,1.91916
arm,2019,5.02615
arm,2020,2.23599
arm,2021,2.33754
arm,2022,2.52369
arm,2023,1.24009
atg,1977,12.22727
atg,1978,7.25806
atg,1979,4.06948
atg,1980,4.05007
atg,1981,6.01864
atg,1982,3.12106
atg,1983,2.71774
atg,1984,1.26677
atg,1985,1.35135
atg,1986,1.52565
atg,1987,1.61385
atg,1988,2.6668
atg,1989,1.12553
atg,1990,1.187
atg,1991,1.7863
atg,1992,1.11238
atg,1993,0.70663
atg,1994,0.91885
atg,1995,0.48196
atg,1996,0.77496
atg,1997,0.86211
atg,1998,1.90518
atg,1999,1.92044
atg,2000,1.46342
atg,2001,1.30479
atg,2002,2.05349
atg,2003,0.76263
atg,2004,0.2333
atg,2005,0.87984
atg,2006,0.30721
atg,2007,0.41762
atg,2008,0.4867
atg,2009,0.41497
atg,2010,2.01285
atg,2011,1.67252
atg,2012,0.21077
atg,2013,0.16091
atg,2014,0.25512
atg,2015,0.15552
atg,2016,0.01762
atg,2017,0.96842
atg,2018,1.4265
atg,2019,2.13267
atg,2020,3.38261
atg,2021,0.65379
aze,1995,9.15288
aze,1996,5.33656
aze,1997,8.62761
aze,1998,4.8605
aze,1999,8.66012
aze,2000,5.82268
aze,2001,9.09599
aze,2002,9.93512
aze,2003,5.75751
aze,2004,2.52396
aze,2005,2.43017
aze,2006,1.87831
aze,2007,1.45412
aze,2008,1.31775
aze,2009,1.5701
aze,2010,0.84415
aze,2011,1.33316
aze,2012,1.2572
aze,2013,-0.28735
aze,2014,0.90405
aze,2015,0.32018
aze,2016,0.39876
aze,2017,0.61305
aze,2018,0.39959
aze,2019,0.55858
aze,2020,0.69121
aze,2021,0.05522
aze,2022,0.17135
aze,2023,0.40824
bdi,1985,52.9794
bdi,1986,65.76956
bdi,1987,60.95878
bdi,1988,65.36141
bdi,1989,76.24103
bdi,1990,76.93274
bdi,1991,71.6329
bdi,1992,89.21513
bdi,1993,70.01531
bdi,1994,108.78645
bdi,1995,101.82416
bdi,1996,69.62474
bdi,1997,38.20116
bdi,1998,38.90767
bdi,1999,56.25859
bdi,2000,56.57062
bdi,2001,85.87676
bdi,2002,107.46223
bdi,2003,117.41974
bdi,2004,142.08784
bdi,2005,106.294
bdi,2006,93.84292
bdi,2007,111.92159
bdi,2008,85.39678
bdi,2009,107.01289
bdi,2010,84.03385
