geo,time,se_sec_cuat_lo_fe_zs
abw,1991,42.64276
abw,2000,52.93073
abw,2010,58.69798
afg,1975,1.4
afg,1979,0.74033
afg,2015,4.57542
afg,2021,6.39573
afg,2022,7.04205
ago,2014,22.15636
ago,2015,19.88969
alb,2001,70.99655
alb,2008,78.76183
alb,2011,82.15253
alb,2012,85.21604
alb,2017,81.18079
and,2014,72.03452
and,2015,71.67243
and,2016,71.48384
and,2022,81.71828
are,1975,18.18265
are,2005,70.86336
are,2017,76.09525
are,2018,78.24724
are,2019,81.997
are,2021,82.02914
arg,1970,17.1
arg,1980,25.9
arg,1991,36.26941
arg,2001,46.09876
arg,2003,56.19463
arm,2001,89.97026
arm,2011,96.12444
arm,2015,96.87119
arm,2016,89.17363
arm,2017,96.13688
arm,2020,96.00138
asm,1974,64.99729
asm,1980,60.6
asm,1990,80.5
aus,1971,69
aus,2004,89.04313
aus,2005,90.26198
aus,2006,90.7767
aus,2007,91.47064
aus,2008,92.02088
aus,2009,92.24154
aus,2010,93.3515
aus,2011,93.74174
aus,2012,94.27822
aus,2013,91.07794
aus,2014,91.45278
aus,2015,92.38886
aus,2016,92.37753
aus,2017,92.82468
aus,2018,93.4726
aus,2019,93.87375
aus,2020,94.58006
aut,2014,99.14128
aze,1999,90.00769
aze,2007,93.51381
aze,2008,93.63187
aze,2009,93.71108
aze,2010,93.84066
aze,2011,93.8297
aze,2012,93.82755
aze,2013,93.85114
aze,2014,93.85001
aze,2015,93.84367
aze,2016,93.9019
aze,2017,93.6846
aze,2018,93.61728
aze,2019,93.62274
bdi,1990,1.77439
bdi,2008,8.90718
bdi,2014,4.41709
bdi,2017,7.09463
bel,1970,30.26956
bel,2006,73.99893
bel,2008,75.14681
bel,2009,76.40842
bel,2010,77.08584
bel,2011,77.50484
bel,2012,77.67396
bel,2013,79.44149
bel,2014,80.14612
bel,2015,82.18702
bel,2016,82.62144
bel,2017,84.72241
bel,2019,87.21032
ben,1979,1.39857
ben,2002,8.42994
ben,2017,5.24588
ben,2019,8.46361
bfa,2006,5.13468
bfa,2007,0.94176
bfa,2014,5.96421
bfa,2018,9.93409
bfa,2019,10.05952
bgd,1974,1.48499
bgd,1981,4.44692
bgd,2001,22.03034
bgd,2011,29.58167
bgd,2012,30.6079
bgd,2013,28.74488
bgd,2014,30.77005
bgd,2015,36.4869
bgd,2016,36.92393
bgd,2017,38.46088
bgd,2018,39.86093
bgd,2019,41.12942
bgr,1992,49.15685
bgr,2001,84.97124
bgr,2006,89.11705
bgr,2007,90.00575
bgr,2008,90.42787
bgr,2009,90.94446
bgr,2010,91.74038
bgr,2011,92.40692
bgr,2012,93.01004
bgr,2013,93.0209
bgr,2014,93.06627
bgr,2015,93.67593
bgr,2016,94.16553
bgr,2017,94.43896
bgr,2020,94.88394
bhr,1971,7.77868
bhr,1991,35.7
bhr,2001,56.94968
bhr,2010,56.70442
bhr,2016,66.30404
bhr,2017,68.06703
bhr,2018,77.85112
bhr,2020,79.90357
bhs,1990,71.3
bhs,2000,91.63445
bhs,2010,89.17299
bih,2010,44.81435
bih,2011,44.89172
bih,2016,73.0579
bih,2018,73.99215
bih,2020,82.73859
blr,1989,54.14678
blr,2009,88.73385
blr,2019,97.47854
blz,1970,8.21877
blz,1980,12.9
blz,1991,21.16027
blz,2010,83.75703
blz,2015,41.57392
blz,2020,54.48729
bmu,1970,57.2
bmu,1991,82.53937
bmu,2000,91.73888
bol,1976,17.12511
bol,1992,36.99524
bol,2000,36.99
bol,2001,35.25
bol,2002,33.73
bol,2004,32.68
bol,2005,38.11
bol,2006,41.43
bol,2007,43.07
bol,2008,43.73
bol,2009,45.49
bol,2011,48.28
bol,2012,50.16
bol,2013,53.34
bol,2014,49.59
bol,2015,50.81
bol,2016,51.8
bol,2017,52.92
bol,2018,53.48
bol,2019,57.31
bol,2020,58.08
bol,2021,58.41
bra,1970,10.26803
bra,1976,9.2
bra,1980,11.31229
bra,2001,38.27
bra,2002,39.82
bra,2003,41.56
bra,2004,42.87
bra,2005,43.95
bra,2006,46.21
bra,2007,48.07
bra,2008,50.22
bra,2009,51.02
bra,2010,52.01544
bra,2011,54.52
bra,2012,55.69
bra,2013,57.12
bra,2014,57.66
bra,2015,58.86
bra,2016,61.39
bra,2017,62
bra,2018,63.2
bra,2019,64.46
bra,2020,66.66
bra,2021,67.4
brb,1970,63.1
brb,2000,78.69388
brn,1971,11.34343
brn,1981,32.53709
brn,2011,76.61857
btn,2012,5.84357
btn,2017,23.56883
bwa,1971,2.05682
caf,1988,3.9621
caf,2019,7.25777
can,1970,61.6
can,1972,64.66006
can,1976,67.9
can,1981,74.25065
can,1986,79.21345
can,1991,83.34646
che,1980,16.20683
che,2009,95.21902
che,2010,95.32005
che,2011,95.37509
che,2012,95.56554
che,2014,96.45546
che,2015,96.74128
che,2016,96.44221
che,2018,96.66665
che,2019,96.85867
chl,1970,29
chl,1982,33.03458
chl,2000,66.73
chl,2003,68.96
chl,2004,75.30702
chl,2006,68.95
chl,2007,76.33958
chl,2008,72.44812
chl,2009,71.88
chl,2010,73.54915
chl,2011,72.49
chl,2013,74.33
chl,2015,76.87
chl,2017,77.73
chl,2020,82.17
chn,1982,14.16637
chn,2000,43.37749
chn,2010,58.65146
civ,1998,30.86326
civ,2014,20.02222
civ,2016,11.84336
cmr,1976,1.73127
cmr,2007,18.91981
cmr,2010,26.36511
cmr,2018,23.28348
cod,1984,6.62907
cod,2013,27.51626
cod,2016,36.73039
cod,2018,35.07636
cog,1984,12.17054
cog,2015,30.6893
col,2002,37.62
col,2003,38.36
col,2004,39.92
col,2005,41.09
col,2006,38.27277
col,2007,42.14079
col,2008,44.01
col,2009,43.76
col,2010,45.05
col,2011,46.09
col,2012,47.16
col,2013,49.1
col,2014,50.39
col,2015,51.34
col,2016,53.09
col,2017,54.28
col,2018,55.75
col,2019,57.16
col,2020,58.85
col,2021,59.73
cpv,2015,28.17589
cri,1973,16.44452
cri,2002,37.6
cri,2003,38.83
cri,2004,38.88
cri,2005,39.93
cri,2006,40.6
cri,2007,41.41
cri,2008,42.53
cri,2009,42.83
cri,2010,42.03
cri,2011,43.28
cri,2012,44.19
cri,2013,44.9
cri,2014,46.59
cri,2015,45.48
cri,2016,45.42
cri,2017,46.53
cri,2018,47.19
cri,2019,48.1
cri,2020,48.19
cri,2021,50.19
cub,2002,65.83835
cub,2012,79.14892
cub,2019,78.64807
cym,1970,15.3
cym,1989,54.27275
cym,2004,80.01654
cym,2005,84.49367
cym,2006,81.77043
cym,2007,91.49065
cym,2008,91.02101
cym,2014,94.30693
cym,2015,96.26814
cyp,1992,45.44545
cyp,2004,63.71816
cyp,2005,65.84534
cyp,2006,68.5281
cyp,2007,69.99508
cyp,2008,70.82886
cyp,2009,71.02949
cyp,2010,72.20665
cyp,2011,74.50815
cyp,2012,76.00605
cyp,2013,77.01752
cyp,2014,77.01449
cyp,2015,76.81127
cyp,2016,78.29283
cyp,2018,79.93713
cyp,2020,81.13751
cze,1991,58.34176
cze,2006,99.76219
cze,2007,99.778
cze,2008,99.81399
cze,2009,99.78345
cze,2010,99.77433
cze,2011,99.83727
