geo,time,gc_xpn_comp_cn
afg,2006,26331224207.86
afg,2007,33218848621.98
afg,2008,47962990763.1604
afg,2009,63579897946.9927
afg,2010,85992779309.2457
afg,2011,111121830657.83099
afg,2012,125459289713.989
afg,2013,138204000000
afg,2014,149929495789.85501
afg,2015,152542429759.94299
afg,2016,161642607456.20999
afg,2017,171165920815
ago,1999,697819994.9
ago,2000,4795792535
ago,2001,18791423077
ago,2002,53070721404
ago,2003,126061000000
ago,2004,167407000000
ago,2005,244916000000
ago,2006,310041000000
ago,2007,364410000000
ago,2008,542953000000
ago,2009,664862000000
ago,2010,713857000000
ago,2011,877330000000
ago,2012,1030280000000
ago,2013,1154830000000
ago,2014,1318901939422.3999
ago,2015,1390010460029.38989
ago,2016,1396907217147.43994
ago,2017,1507072905711.21997
ago,2018,1538695826602.8501
ago,2019,1999140556461.42969
alb,1995,8206000000
alb,1996,9518736000
alb,1998,12316653000
alb,2002,46345230547.68
alb,2003,45557440000
alb,2004,49893913740
alb,2011,79629110000
alb,2012,82423280000
alb,2013,83479890000
alb,2014,84615310000
alb,2015,85802590000
alb,2016,81362230000
alb,2017,88027660000
alb,2018,89603060000
alb,2019,93528830000
alb,2020,94731730000
alb,2021,103488320000
are,1997,6458000000
are,1998,6695000000
are,1999,6922000000
are,2011,15761728475.91
are,2012,18168123029.86
are,2013,18519320611
are,2014,19762121291.63
are,2015,20683496009.38
are,2016,20393023866.58
are,2017,21467170810.87
are,2018,21859507917.95
are,2019,22534542664.08
are,2020,23152102716.51
are,2021,21870662261.59
are,2022,21613433691.3401
arg,1990,1710700000
arg,1991,5121300000
arg,1992,5358300000
arg,1993,5669800000
arg,1994,6392400000
arg,1995,6901500000
arg,1996,6769200000
arg,1997,7216500000
arg,1998,6777300000
arg,1999,7158100000
arg,2000,7029900000
arg,2001,6501100000
arg,2002,6977800000
arg,2003,8702628374.31
arg,2004,9419941757.22
arg,2014,144827200000
arg,2015,196094000000
arg,2016,267819400000
arg,2017,330064800000
arg,2018,403685800000
arg,2019,552193278094.07996
arg,2020,708116753528.18994
arg,2021,1109811431121.09009
arg,2022,2072591181303.15991
arm,2004,55187793900
arm,2005,83239949000
arm,2006,97007012770
arm,2007,114673894000
arm,2008,158489469330
arm,2009,185910085190
arm,2010,187760953070
arm,2011,200809087130
arm,2012,203244000000
arm,2013,224353939166
arm,2014,250143233670
arm,2015,265502444990
arm,2016,270420951511.73199
arm,2017,273633751920.20001
arm,2018,275491882895
arm,2019,301264320629
arm,2020,315584668116
arm,2021,321384400990
arm,2022,343065296396
aus,1990,1891000000
aus,1991,2089000000
aus,1992,2246000000
aus,1993,2472000000
aus,1994,2728000000
aus,1995,2857000000
aus,1996,2918000000
aus,1997,3832000000
aus,1998,3831000000
aus,1999,18488000000
aus,2000,17073000000
aus,2001,18393000000
aus,2002,19615000000
aus,2003,21423000000
aus,2004,23079000000
aus,2005,24117000000
aus,2006,25628000000
aus,2007,27915000000
aus,2008,30054000000
aus,2009,32848000000
aus,2010,35830000000
aus,2011,38798000000
aus,2012,41284000000
aus,2013,45674000000
aus,2014,44434000000
aus,2015,45343000000
aus,2016,47610000000
aus,2017,49819000000
aus,2018,49984000000
aus,2019,53658000000
aus,2020,59698000000
aus,2021,60087000000
aus,2022,61199000000
aut,1972,3071153971.93375
aut,1973,2722324367.92802
aut,1974,3092955822.18411
aut,1975,3717942196.0277
aut,1976,4249907342.13644
aut,1977,4546412505.5413
aut,1978,5018785927.63239
aut,1979,5377789728.42162
aut,1980,5736793529.21085
aut,1981,6294920895.62001
aut,1982,6745492467.46074
aut,1983,7158274165.53418
aut,1984,7536172903.20705
aut,1985,8009999781.9815
aut,1986,8531790731.30673
aut,1987,8829749351.39495
aut,1988,8937305145.96339
aut,1989,9370435237.60383
aut,1990,4967914943.71489
aut,1991,5416306330.53058
aut,1992,5754235009.41113
aut,1993,6117599180.25043
aut,1994,6370500643.15458
aut,1995,9556280000
aut,1996,9723310000
aut,1997,9742130000
aut,1998,9986790000
aut,1999,10472520000
aut,2000,10625400000
aut,2001,10710340000
aut,2002,10770610000
aut,2003,11100580000
aut,2004,11581820000
aut,2005,12816110000
aut,2006,13407650000
aut,2007,13734510000
aut,2008,14358670000
aut,2009,14896380000
aut,2010,15100920000
aut,2011,15216520000
aut,2012,15688540000
aut,2013,15801000000
aut,2014,16141330000
aut,2015,16743830000
aut,2016,17247640000
aut,2017,17758640000
aut,2018,18301530000
aut,2019,18847790000
aut,2020,19289000000
aut,2021,19906500000
aut,2022,20563430000
aze,1994,19096600
aze,1995,41986000
aze,1996,49812800
aze,1997,63301600
aze,1998,76610200
aze,2008,1357500000
aze,2009,1557200000
aze,2010,1587300000
aze,2011,1765800000
aze,2012,1704400000
aze,2013,1724200000
aze,2014,1946200000
aze,2015,1943600000
aze,2016,2218900000
aze,2017,2398264000
aze,2018,2801000000
aze,2019,3144500000
aze,2020,3617300000
aze,2021,3606401000
bdi,1991,14033000000
bdi,1992,15551000000
bdi,1993,17342000000
bdi,1994,18338000000
bdi,1995,17406000000
bdi,1996,21457000000
bdi,1997,24063000000
bdi,1998,27230900000
bdi,1999,30344300000
bdi,2010,250157000000
bdi,2011,259327000000
bdi,2012,280995000000
bdi,2013,294710000000
bdi,2014,313432441312
bdi,2015,330458473892
bdi,2016,356209027385
bdi,2017,382651572498
bdi,2019,420829300537
bdi,2020,454098715138
bdi,2021,480991101059
bel,1995,6725500000
bel,1996,6713800000
bel,1997,6875100000
bel,1998,7041300000
bel,1999,7346100000
bel,2000,7500800000
bel,2001,7800700000
bel,2002,7977100000
bel,2003,8187400000
bel,2004,8143300000
bel,2005,8578800000
bel,2006,8876500000
bel,2007,9170800000
bel,2008,9690500000
bel,2009,9938300000
bel,2010,10012200000
bel,2011,10318800000
bel,2012,10523200000
bel,2013,10721600000
bel,2014,11467300000
bel,2015,11097900000
bel,2016,11144800000
bel,2017,11278700000
bel,2018,11379100000
bel,2019,11526300000
bel,2020,11642700000
bel,2021,12035300000
bel,2022,13125400000
ben,1977,12568000000
ben,1978,10156000000
ben,1979,15367000000
bfa,2002,103103513649
bfa,2003,112531201791
bfa,2004,123537950883.7
bfa,2005,141286490118
bfa,2006,159949051121
bfa,2007,187595715000
bfa,2008,198826233000
bfa,2009,228436133000
bfa,2010,245820000000
bfa,2011,281386000000
bfa,2012,332340000000
bfa,2013,355524000000
bfa,2014,437287416511
bfa,2015,468529629361
bfa,2016,554500000000
bfa,2017,618084868964
bfa,2018,704541516701
bfa,2019,840076827761
bfa,2020,891110770808.729
bfa,2021,942621595397
bfa,2022,936817630053.32483
bgd,2001,62317780000
bgd,2002,65393940000
bgd,2003,69136780000
bgd,2004,74313640000
bgd,2005,80728856000
bgd,2006,95702595000
bgd,2007,118301777000
bgd,2008,122159283000
bgd,2009,131684642000
bgd,2010,157141528000
bgd,2011,196276200000
bgd,2012,207207800000
bgd,2013,219753200000
bgd,2014,268371100000
bgd,2015,294609000000
bgd,2016,410500000000
bgd,2017,515605700000
bgd,2018,514023200000
bgd,2019,561967000000
bgd,2020,579600000000
bgd,2021,596992393650.94995
bgr,1990,788000
bgr,1991,2324000
bgr,1992,4957000
bgr,1993,7818000
bgr,1994,13623000
bgr,1995,36077000
bgr,1996,54744000
bgr,1997,645408000
bgr,1998,1524186000
bgr,1999,1634636000
bgr,2000,1951813000
bgr,2001,1919883000
bgr,2002,2175600000
bgr,2003,2513678000
bgr,2004,2774889000
bgr,2005,2912164000
bgr,2006,3201492000
bgr,2007,3820777000
bgr,2008,4545820000
bgr,2009,4792938000
bgr,2010,4727655000
bgr,2011,4839101000
bgr,2012,4878983000
bgr,2013,5229051000
bgr,2014,5482154000
bgr,2015,5707191000
bgr,2016,5590914000
bgr,2017,6178835000
bgr,2018,6631430000
bgr,2019,7795461000
bgr,2020,8466884000
bgr,2021,9680384000
bgr,2022,10565462000
bhr,1990,237700000
bhr,1991,262400000
bhr,1992,277600000
bhr,1993,282700000
bhr,1994,288800000
bhr,1995,329400000
bhr,1996,340600000
bhr,1997,362500000
bhr,1998,380200000
bhr,1999,388800000
bhr,2000,396400000
bhr,2001,414100000
bhr,2002,449000000
bhr,2003,519400000
bhr,2004,537800000
bhr,2005,564880000
bhr,2006,602410000
bhr,2007,710170000
bhr,2008,788600000
bhr,2009,799830000
bhr,2010,832370000
bhr,2011,1004934017
bhr,2012,1204070344.59
bhr,2013,1300360000
bhr,2014,1379270000
bhr,2015,1429500000
bhr,2016,1429143747.95999
bhr,2017,1422801830.663
bhr,2018,1447154802.06
bhr,2019,1398864073
bhr,2020,1389808924.36
bhs,1990,289100000
bhs,1991,291900000
bhs,1992,295900000
bhs,1993,301500000
bhs,1994,321000000
bhs,1995,327200000
bhs,1996,333700000
bhs,1997,367000000
bhs,1998,383931000
bhs,1999,379684000
bhs,2000,352531000
bhs,2001,372200000
bhs,2002,400500000
bhs,2003,421300000
bhs,2004,450087000
bhs,2005,470102000
bhs,2006,513511000
bhs,2007,536662000
bhs,2008,552011000
bhs,2009,573101000
bhs,2010,746056127.23
bhs,2011,740464839.49
bhs,2012,776776977.79
bhs,2013,748144451.4
bhs,2014,791821309.59
bhs,2015,660104244.56
bhs,2016,685258101.83
bhs,2017,726409994
bhs,2018,728646000
bhs,2019,712242000
bhs,2020,760847005
bhs,2021,700830937
bhs,2022,738364021
bih,2005,1608727736.8334
bih,2006,1962443400.71
bih,2007,2240032168.67
