geo,time,dc_dac_swel_cd
afg,1965,150000.00596
afg,1967,39999.99911
afg,1968,250000
afg,1969,509999.99046
afg,1970,569999.99285
afg,1971,589999.97377
afg,1972,810000.00238
afg,1973,419999.98689
afg,1974,1100000.02384
afg,1975,569999.99285
afg,1976,990000.00954
afg,1977,860000.01431
afg,1978,449999.98808
afg,1980,1049999.95232
afg,1982,59999.99866
afg,1983,460000.00834
afg,1984,1490000.00954
afg,1985,1019999.98093
afg,1986,2809999.94278
afg,1987,5440000.05722
afg,1988,14720000.26703
afg,1989,16700000.76294
afg,1990,16049999.23706
afg,1991,4840000.15259
afg,1992,12970000.26703
afg,1993,9090000.15259
afg,1994,12350000.38147
afg,1995,15300000.19073
afg,1996,14750000
afg,1997,12199999.80927
afg,1998,12510000.22888
afg,1999,10310000.41962
afg,2000,11500000
afg,2001,20600000.38147
afg,2002,27520000.45776
afg,2003,41880001.06812
afg,2004,55680000.30518
afg,2005,44220001.2207
afg,2006,46419998.16895
afg,2007,56150001.52588
afg,2008,73889999.38965
afg,2009,80069999.69482
afg,2010,91720001.2207
afg,2011,114980003.35693
afg,2012,107599998.47412
afg,2013,125518013.00049
afg,2014,137074111.93848
afg,2015,103078720.09277
afg,2016,104287773.13232
afg,2017,118674461.36475
afg,2018,145776321.41113
afg,2019,132927383.42285
afg,2020,114031448.36426
afg,2021,115257049.56055
afg,2022,93168037.41455
afg,2023,85530097.96143
ago,1975,1100000.02384
ago,1976,4699999.80927
ago,1977,1639999.98569
ago,1978,13569999.69482
ago,1979,18690000.53406
ago,1980,16920000.07629
ago,1981,21120000.83923
ago,1982,15199999.80927
ago,1983,12119999.88556
ago,1984,14579999.92371
ago,1985,18709999.08447
ago,1986,14840000.15259
ago,1987,23760000.22888
ago,1988,32650001.52588
ago,1989,36540000.91553
ago,1990,38250000
ago,1991,31719999.31335
ago,1992,36200000.76294
ago,1993,18100000.38147
ago,1994,32020000.45776
ago,1995,26520000.45776
ago,1996,36169998.16895
ago,1997,27829999.92371
ago,1998,22540000.91553
ago,1999,17770000.45776
ago,2000,17120000.83923
ago,2001,13369999.88556
ago,2002,14119999.88556
ago,2003,13960000.03815
ago,2004,17299999.23706
ago,2005,11149999.61853
ago,2006,7199999.80927
ago,2007,6650000.09537
ago,2008,4960000.03815
ago,2009,1940000.05722
ago,2010,1179999.94755
ago,2011,1399999.97616
ago,2012,1340000.03338
ago,2013,1195623.99387
ago,2014,1452216.98284
ago,2015,1224388.00335
ago,2016,1435230.01671
ago,2017,1051789.99901
ago,2018,998911.02314
ago,2019,789875.98419
ago,2020,1868556.02264
ago,2021,2041235.92377
ago,2022,1829893.94665
