geo,time,eg_gdp_puse_ko_pp_kd
ago,1990,11.59824
ago,1991,11.43928
ago,1992,10.71169
ago,1993,7.86227
ago,1994,7.86012
ago,1995,9.04636
ago,1996,9.98202
ago,1997,10.47991
ago,1998,10.99929
ago,1999,10.70036
ago,2000,10.73528
ago,2001,10.71532
ago,2002,11.64199
ago,2003,11.11129
ago,2004,11.98222
ago,2005,14.26254
ago,2006,14.50076
ago,2007,15.49909
ago,2008,15.91818
ago,2009,14.77347
ago,2010,14.76833
ago,2011,14.71233
ago,2012,14.55155
ago,2013,15.2526
ago,2014,15.13075
alb,1990,5.93652
alb,1991,6.1053
alb,1992,7.80664
alb,1993,8.72854
alb,1994,8.88914
alb,1995,10.72432
alb,1996,10.96313
alb,1997,11.4435
alb,1998,11.29632
alb,1999,9.50365
alb,2000,10.15281
alb,2001,10.78685
alb,2002,10.23427
alb,2003,11.03926
alb,2004,10.59736
alb,2005,11.17526
alb,2006,12.1242
alb,2007,13.46124
alb,2008,13.94861
alb,2009,14.0865
alb,2010,14.74505
alb,2011,14.4513
alb,2012,16.32512
alb,2013,14.18057
alb,2014,14.33464
are,1990,9.8518
are,1991,8.64039
are,1992,9.38111
are,1993,9.03215
are,1994,8.71369
are,1995,8.74876
are,1996,8.76676
are,1997,8.9788
are,1998,8.80586
are,1999,8.87405
are,2000,10.06179
are,2001,7.99976
are,2002,8.26157
are,2003,9.13633
are,2004,9.38325
are,2005,9.25393
are,2006,9.79026
are,2007,9.30777
are,2008,8.11863
are,2009,7.61158
are,2010,7.51584
are,2011,7.70606
are,2012,7.59552
are,2013,7.80172
are,2014,8.06617
arg,1990,10.01626
arg,1991,10.60394
arg,1992,10.88351
arg,1993,11.74249
arg,1994,11.68265
arg,1995,11.18903
arg,1996,11.38719
arg,1997,11.92887
arg,1998,11.97847
arg,1999,11.37806
arg,2000,11.15603
arg,2001,11.21063
arg,2002,10.27802
arg,2003,10.45458
arg,2004,10.43425
arg,2005,11.29002
arg,2006,11.21273
arg,2007,12.06641
arg,2008,11.92349
arg,2009,11.53673
arg,2010,12.1957
arg,2011,12.62653
arg,2012,12.45292
arg,2013,12.41681
arg,2014,11.60148
arm,1990,2.37776
arm,1991,1.99185
arm,1992,2.28026
arm,1993,3.91782
arm,1994,6.56762
arm,1995,5.88497
arm,1996,5.75291
arm,1997,5.68605
arm,1998,5.9903
arm,1999,6.40001
arm,2000,6.16822
arm,2001,6.79021
arm,2002,8.21647
arm,2003,8.87112
arm,2004,9.27128
arm,2005,8.80488
arm,2006,9.78683
arm,2007,9.97987
arm,2008,10.13144
arm,2009,10.01702
arm,2010,10.76003
arm,2011,10.30175
arm,2012,10.0954
arm,2013,10.68107
arm,2014,10.84726
atg,1990,9.78147
atg,2004,11.15548
atg,2005,11.70427
atg,2006,12.63817
atg,2007,13.53159
aus,1990,6.12587
aus,1991,6.18862
aus,1992,6.10127
aus,1993,6.05643
aus,1994,6.30192
aus,1995,6.41854
aus,1996,6.25662
aus,1997,6.33975
aus,1998,6.46412
aus,1999,6.63966
aus,2000,6.77619
aus,2001,7.06876
aus,2002,7.10194
aus,2003,7.23424
aus,2004,7.41334
aus,2005,7.59299
aus,2006,7.49128
aus,2007,7.51655
aus,2008,7.50709
aus,2009,7.62199
aus,2010,7.76187
aus,2011,7.90314
aus,2012,8.31538
aus,2013,8.54815
aus,2014,8.85531
aus,2015,8.67419
aut,1990,11.572
aut,1991,11.24384
aut,1992,11.94682
aut,1993,11.87383
aut,1994,12.19208
aut,1995,11.98285
aut,1996,11.54037
aut,1997,11.86813
aut,1998,12.08833
aut,1999,12.54538
aut,2000,13.01495
aut,2001,12.47291
aut,2002,12.56589
aut,2003,11.98732
aut,2004,12.13535
aut,2005,12.08817
aut,2006,12.46458
aut,2007,13.07722
aut,2008,13.18554
aut,2009,13.43567
aut,2010,12.79707
aut,2011,13.55954
aut,2012,13.71254
aut,2013,13.52313
aut,2014,14.06545
aut,2015,13.91308
aze,1990,2.41168
aze,1991,2.41718
aze,1992,2.30878
aze,1993,1.98126
aze,1994,1.753
aze,1995,1.64549
aze,1996,1.97225
aze,1997,2.16584
aze,1998,2.29503
aze,1999,2.65042
aze,2000,2.8491
aze,2001,3.09041
aze,2002,3.34851
aze,2003,3.50855
aze,2004,3.64517
aze,2005,4.44173
aze,2006,6.06189
aze,2007,8.27752
aze,2008,8.33537
aze,2009,10.16804
aze,2010,11.0056
aze,2011,10.1609
aze,2012,9.52372
aze,2013,9.94007
aze,2014,9.89825
bel,1990,7.3821
bel,1991,7.19609
bel,1992,7.22662
bel,1993,7.33047
bel,1994,7.13076
bel,1995,7.17284
bel,1996,6.90128
bel,1997,7.16261
bel,1998,7.18389
bel,1999,7.40873
bel,2000,7.58889
bel,2001,7.69369
bel,2002,8.14188
bel,2003,7.89995
bel,2004,8.14242
bel,2005,8.3415
bel,2006,8.63041
bel,2007,9.1045
bel,2008,8.87745
bel,2009,9.05687
bel,2010,8.66013
bel,2011,9.45638
bel,2012,9.94965
bel,2013,9.64581
bel,2014,10.35394
bel,2015,10.55005
ben,1990,6.51848
ben,1991,6.69183
ben,1992,6.72382
ben,1993,6.95279
ben,1994,6.94235
ben,1995,7.20395
ben,1996,6.45406
ben,1997,6.57741
ben,1998,6.93202
ben,1999,7.00017
ben,2000,8.58202
ben,2001,8.50006
ben,2002,8.29181
ben,2003,8.13276
ben,2004,8.13496
ben,2005,8.24526
ben,2006,7.26338
ben,2007,7.08052
ben,2008,7.26582
ben,2009,7.08572
ben,2010,6.81052
ben,2011,6.82476
ben,2012,6.90521
ben,2013,7.08165
ben,2014,7.13993
bgd,1990,14.55548
bgd,1991,15.28143
bgd,1992,15.26575
bgd,1993,15.13981
bgd,1994,15.0594
bgd,1995,14.55039
bgd,1996,15.11893
bgd,1997,15.12256
bgd,1998,15.25741
bgd,1999,15.76086
bgd,2000,16.03833
bgd,2001,15.40625
bgd,2002,15.62357
bgd,2003,15.52973
bgd,2004,16.04642
bgd,2005,16.46337
bgd,2006,16.39098
bgd,2007,16.79629
bgd,2008,16.96507
bgd,2009,16.93931
bgd,2010,16.51245
bgd,2011,16.94579
bgd,2012,17.20179
bgd,2013,17.85709
bgd,2014,18.13701
bgr,1990,3.86426
bgr,1991,4.56014
bgr,1992,4.52504
bgr,1993,4.15716
bgr,1994,4.36537
bgr,1995,4.13788
bgr,1996,4.3773
bgr,1997,4.1473
bgr,1998,4.4729
bgr,1999,4.48112
bgr,2000,4.61328
bgr,2001,4.59583
bgr,2002,4.99346
bgr,2003,5.12779
bgr,2004,5.61511
bgr,2005,5.69027
bgr,2006,5.91081
bgr,2007,6.41105
bgr,2008,6.89655
bgr,2009,7.55668
bgr,2010,7.51597
bgr,2011,7.1318
bgr,2012,7.5258
bgr,2013,8.12088
bgr,2014,7.75179
bhr,1990,3.65701
bhr,1991,4.13226
bhr,1992,4.00728
bhr,1993,4.29167
bhr,1994,4.02742
bhr,1995,4.1335
bhr,1996,4.30483
bhr,1997,3.93695
bhr,1998,3.92665
bhr,1999,4.13349
bhr,2000,4.12104
bhr,2001,4.11018
bhr,2002,4.09672
bhr,2003,4.10468
bhr,2004,4.37462
bhr,2005,4.06774
bhr,2006,4.04254
bhr,2007,4.18381
bhr,2008,4.10037
bhr,2009,4.3291
bhr,2010,4.36917
bhr,2011,4.45464
bhr,2012,4.6623
bhr,2013,4.504
bhr,2014,4.54875
