geo,time,si_pov_umic_gp
ago,2000,47.3
ago,2008,46.2
ago,2018,57.9
alb,1996,12.8
alb,2002,15.1
alb,2005,10.6
alb,2008,7.4
alb,2012,8.6
alb,2014,11.7
alb,2015,9.7
alb,2016,10
alb,2017,9.8
are,2014,0
arg,1980,2.1
arg,1986,1.4
arg,1987,2.9
arg,1991,6
arg,1992,6.4
arg,1993,6.9
arg,1994,7.2
arg,1995,9.8
arg,1996,11
arg,1997,10.3
arg,1998,11.3
arg,1999,11.7
arg,2000,13.4
arg,2001,17.2
arg,2002,24.9
arg,2003,15.3
arg,2004,12.4
arg,2005,10.2
arg,2006,8.4
arg,2007,7.6
arg,2008,7
arg,2009,6.4
arg,2010,6
arg,2011,3.7
arg,2012,3.5
arg,2013,3.4
arg,2014,3.7
arg,2016,3.6
arg,2017,3.2
arg,2018,4
arm,1999,34.7
arm,2001,36.7
arm,2002,34.3
arm,2003,31.9
arm,2004,25.4
arm,2005,20.1
arm,2006,17.3
arm,2007,14.5
arm,2008,12.5
arm,2009,15.8
arm,2010,16.1
arm,2011,15
arm,2012,13.8
arm,2013,13.5
arm,2014,13.2
arm,2015,11.6
arm,2016,11.3
arm,2017,11
arm,2018,11.5
aus,1981,1
aus,1985,1.1
aus,1989,0.9
aus,1995,1
aus,2001,0.9
aus,2003,1.1
aus,2004,0.7
aus,2008,0.5
aus,2010,0.5
aus,2014,0.6
aut,1987,0
aut,1994,0.5
aut,1995,1.3
aut,1997,0.4
aut,2000,0.2
aut,2003,0.4
aut,2004,0.1
aut,2005,0.2
aut,2006,0.2
aut,2007,0.5
aut,2008,0.5
aut,2009,0.7
aut,2010,0.5
aut,2011,0.6
aut,2012,0.7
aut,2013,0.4
aut,2014,0.3
aut,2015,0.7
aut,2016,0.8
aut,2017,0.4
aze,1995,23
aze,2001,16.8
aze,2002,2.5
aze,2003,2.9
aze,2004,1.8
aze,2005,0.8
bdi,1992,75.1
bdi,1998,78.1
bdi,2006,72.7
bdi,2013,69.8
bel,1985,0.4
bel,1988,0.6
bel,1992,0.9
bel,1995,0.6
bel,1997,0.5
bel,2000,0.5
bel,2003,0.4
bel,2004,0.1
bel,2005,0.3
bel,2006,0.2
bel,2007,0.2
bel,2008,0.1
bel,2009,0.1
bel,2010,0.2
bel,2011,0.2
bel,2012,0.2
bel,2013,0.2
bel,2014,0.1
bel,2015,0.1
bel,2016,0.1
bel,2017,0.2
ben,2003,57.9
ben,2011,57.8
ben,2015,59.3
bfa,1994,77.8
bfa,1998,75.1
bfa,2003,62
bfa,2009,61.2
bfa,2014,55
bgd,1983,52.9
bgd,1985,49.4
bgd,1988,55.3
bgd,1991,58.4
bgd,1995,52.7
bgd,2000,51.2
bgd,2005,46.8
bgd,2010,43.1
bgd,2016,39
bgr,2006,9.9
bgr,2007,4.4
bgr,2008,3.2
bgr,2009,3
bgr,2010,4.1
bgr,2011,4.7
bgr,2012,4.6
bgr,2013,4.6
bgr,2014,3.6
bgr,2015,5.3
bgr,2016,3.9
bgr,2017,3
bih,2001,1.9
bih,2004,0.9
bih,2007,0.6
bih,2011,0.9
blr,1998,32.3
blr,1999,29.4
blr,2000,24.7
blr,2001,15.9
blr,2002,12.7
blr,2003,10.9
blr,2004,6.5
blr,2005,3.9
blr,2006,2.4
blr,2007,1.6
blr,2008,1.1
blr,2009,1.1
blr,2010,0.6
blr,2011,0.4
blr,2012,0.2
blr,2013,0.1
blr,2014,0.1
blr,2015,0.1
blr,2016,0.1
blr,2017,0.1
blr,2018,0.1
blz,1993,21.2
blz,1994,22
blz,1996,26.3
blz,1997,28.3
blz,1998,26.7
blz,1999,23.8
bol,1992,29.9
bol,1997,27.3
bol,1999,32.4
bol,2000,36.2
bol,2001,31.1
bol,2002,32.7
bol,2004,24.4
bol,2005,27.4
bol,2006,24.2
bol,2007,22.1
bol,2008,17.9
bol,2009,15.9
bol,2011,12.3
bol,2012,12.9
bol,2013,11.3
bol,2014,10.5
bol,2015,10.7
bol,2016,11.1
bol,2017,10.3
bol,2018,9.2
bra,1981,31.4
bra,1982,31.4
bra,1983,37
bra,1984,36.5
bra,1985,32.8
bra,1986,19.2
bra,1987,26.7
bra,1988,28.9
bra,1989,26.9
bra,1990,30.6
bra,1992,30.3
bra,1993,29.4
bra,1995,21.7
bra,1996,22.3
bra,1997,22.4
bra,1998,21.2
bra,1999,22.1
bra,2001,19.4
bra,2002,18.5
bra,2003,19.2
bra,2004,17.9
bra,2005,16.6
bra,2006,14.4
bra,2007,13.6
bra,2008,11.8
bra,2009,11.1
bra,2011,9.5
bra,2012,8.1
bra,2013,7.2
bra,2014,6.4
bra,2015,6.9
bra,2016,7.9
bra,2017,8.2
bra,2018,8.1
btn,2003,34.6
btn,2007,25
btn,2012,14.5
btn,2017,12.3
bwa,1985,48.7
bwa,1993,42.4
bwa,2002,37.5
bwa,2009,27.6
bwa,2015,28.1
caf,1992,81
caf,2003,66.5
caf,2008,66.3
can,1971,2.7
can,1975,1.2
can,1981,0.6
can,1987,0.3
can,1991,0.3
can,1994,0.3
can,1997,0.5
can,1998,0.5
can,2000,0.4
can,2004,0.3
can,2007,0.2
can,2010,0.3
can,2013,0.4
can,2017,0.4
che,1982,0.6
che,1992,0.7
che,2000,0.1
che,2002,0
che,2006,0.1
che,2007,0.1
che,2008,0.1
che,2009,0.1
che,2010,0.1
che,2011,0
che,2012,0
che,2013,0
che,2014,0.1
che,2015,0
che,2016,0
che,2017,0
chl,1987,23.3
chl,1990,18.9
chl,1992,14.6
chl,1994,13.8
chl,1996,11.1
chl,1998,10.3
chl,2000,11.3
chl,2003,10.9
chl,2006,5.8
chl,2009,4.5
chl,2011,3.3
chl,2013,1.7
chl,2015,1.3
chl,2017,0.9
chn,1990,67.3
chn,1993,62.5
chn,1996,54
chn,1999,51.4
chn,2002,43.9
chn,2005,33.5
chn,2008,27.6
chn,2010,23.1
chn,2011,19.8
chn,2012,17.3
chn,2013,11.7
chn,2014,9.7
chn,2015,7.8
chn,2016,6.5
civ,1985,18.4
civ,1986,18.4
civ,1987,23.2
civ,1988,29.6
civ,1992,39.6
civ,1995,39.3
civ,1998,43.9
civ,2002,43.2
civ,2008,45
civ,2015,44.8
cmr,1996,56.4
cmr,2001,42
cmr,2007,44.2
cmr,2014,36.8
cod,2004,86.6
cod,2012,73.8
cog,2005,59.1
cog,2011,48.4
col,1992,20.4
col,1996,27.7
col,1999,30.8
col,2000,27.6
col,2001,31.3
col,2002,25.3
col,2003,23
col,2004,22.5
col,2005,20.1
col,2008,19.3
col,2009,18
col,2010,16.3
col,2011,14.5
col,2012,13.9
col,2013,12.9
col,2014,11.9
col,2015,11.2
col,2016,11.1
col,2017,10.4
col,2018,10.5
com,2004,29.8
com,2014,32.2
cpv,2001,29.9
cpv,2007,21.9
cpv,2015,14.5
cri,1981,35.2
cri,1986,24.2
cri,1989,20.5
cri,1990,17.7
cri,1991,20.7
cri,1992,18.2
cri,1993,15.4
cri,1994,12.8
cri,1995,13.5
cri,1996,15.2
cri,1997,13.1
cri,1998,10.8
cri,1999,12.5
cri,2000,12.8
cri,2001,9.7
cri,2002,9.2
cri,2003,9
cri,2004,8.9
cri,2005,7.6
cri,2006,7.5
cri,2007,5.5
cri,2008,5.4
cri,2009,5.5
cri,2010,4.4
cri,2011,4.6
cri,2012,4.3
cri,2013,4.3
cri,2014,4
cri,2015,4
cri,2016,3.8
cri,2017,3.2
cri,2018,3.8
cyp,2004,0.1
cyp,2005,0
cyp,2006,0
cyp,2007,0
cyp,2008,0
cyp,2009,0.1
cyp,2010,0.1
cyp,2011,0
cyp,2012,0
cyp,2013,0.1
cyp,2014,0.1
cyp,2015,0.1
cyp,2016,0.1
cyp,2017,0
cze,1992,0.1
cze,1993,0.1
cze,1996,0.3
cze,2002,0.1
cze,2004,0.2
cze,2005,0.1
cze,2006,0.1
cze,2007,0.2
cze,2008,0.1
cze,2009,0.1
cze,2010,0.2
cze,2011,0.1
cze,2012,0.2
cze,2013,0.1
cze,2014,0.1
cze,2015,0
cze,2016,0.1
cze,2017,0.1
deu,1991,0.1
deu,1994,0.3
deu,1995,0.3
deu,1998,0.1
deu,2000,0.1
deu,2001,0.1
deu,2002,0.1
deu,2003,0.2
deu,2004,0.1
deu,2005,0.1
deu,2006,0
deu,2007,0
deu,2008,0.2
deu,2009,0.1
deu,2010,0.1
deu,2011,0
deu,2013,0
deu,2015,0.1
deu,2016,0.2
dji,2002,36.9
dji,2012,32.3
dji,2013,36
dji,2017,32.2
dnk,1987,0.7
dnk,1992,0.7
dnk,1995,0.1
dnk,2000,0.1
dnk,2003,0.3
dnk,2004,0.3
dnk,2005,0.3
dnk,2006,0.2
dnk,2007,0.2
dnk,2008,0.3
dnk,2009,0.5
dnk,2010,0.1
dnk,2011,0.1
dnk,2012,0
dnk,2013,0.3
dnk,2014,0.2
dnk,2015,0.2
dnk,2016,0.3
dnk,2017,0.2
dom,1986,11.4
dom,1989,24.6
dom,1992,15.5
dom,1996,12.2
dom,1997,11.6
dom,2000,11.7
dom,2001,11.1
dom,2002,12.3
dom,2003,15.3
dom,2004,19.1
dom,2005,14.3
dom,2006,12.6
dom,2007,12.3
dom,2008,12.5
dom,2009,11.3
dom,2010,11
dom,2011,10.4
dom,2012,10.5
dom,2013,9.9
dom,2014,8.2
dom,2015,6.9
dom,2016,6.3
dom,2017,4.4
dom,2018,3.6
dza,1988,21.2
dza,1995,20.2
dza,2011,6.5
ecu,1994,29.4
ecu,1999,33.1
ecu,2000,39.6
ecu,2003,25.1
ecu,2004,26
ecu,2005,21.1
ecu,2006,17.2
ecu,2007,16.9
ecu,2008,15.8
ecu,2009,15.4
ecu,2010,13.2
ecu,2011,11.3
ecu,2012,10.5
ecu,2013,9.5
ecu,2014,8.2
ecu,2015,8.9
ecu,2016,8.7
ecu,2017,8.2
ecu,2018,8.7
egy,1990,32.4
egy,1995,33
egy,1999,24.5
egy,2004,29.9
egy,2008,29.1
egy,2010,23.5
egy,2012,21.1
egy,2015,20
egy,2017,26.2
esp,1980,2
esp,1985,1.6
esp,1990,1
esp,1995,1.8
esp,2000,0.7
esp,2003,1.1
esp,2004,1.2
esp,2005,1.1
esp,2006,1.1
esp,2007,0.7
esp,2008,0.8
esp,2009,1.1
esp,2010,1.1
esp,2011,1.6
esp,2012,1.4
esp,2013,1.6
esp,2014,1.4
esp,2015,1.5
esp,2016,1.6
esp,2017,1.1
est,2003,4.7
est,2004,2.8
est,2005,1.8
est,2006,1.3
est,2007,0.9
est,2008,0.8
est,2009,1
est,2010,1.5
est,2011,1.5
est,2012,1.3
est,2013,1.5
est,2014,1.3
est,2015,0.8
est,2016,0.7
est,2017,0.5
eth,1995,69.6
eth,1999,66
eth,2004,55.9
eth,2010,53.2
eth,2015,50.5
fin,1987,0
fin,1991,0.1
fin,1995,0
fin,2000,0
fin,2003,0.1
fin,2004,0.1
fin,2005,0.1
fin,2006,0.1
fin,2007,0.1
fin,2008,0.1
fin,2009,0.1
fin,2010,0.1
fin,2011,0.1
fin,2012,0.1
fin,2013,0.1
fin,2014,0.1
fin,2015,0.1
fin,2016,0.1
fin,2017,0.1
fji,2002,13.7
fji,2008,11.1
fji,2013,9.5
fra,1978,1.3
fra,1984,1.9
fra,1989,1.2
fra,1994,0.1
fra,2000,0.1
fra,2003,0.2
fra,2004,0.1
fra,2005,0.1
fra,2006,0.1
fra,2007,0
fra,2008,0
fra,2009,0.1
fra,2010,0.1
