global,time,sh_dyn_0509
world,1990,9.6
world,1991,9.6
world,1992,9
world,1993,8.8
world,1994,8.7
world,1995,8.2
world,1996,7.9
world,1997,7.7
world,1998,7.5
world,1999,7.3
world,2000,7
world,2001,6.9
world,2002,6.7
world,2003,6.5
world,2004,6.5
world,2005,6.2
world,2006,5.9
world,2007,5.7
world,2008,5.7
world,2009,5.3
world,2010,5.2
world,2011,4.9
world,2012,4.7
world,2013,4.6
world,2014,4.4
world,2015,4.2
world,2016,4.1
world,2017,3.9
world,2018,3.8
world,2019,3.7
world,2020,3.6
world,2021,3.5
