global,time,sh_dyn_0509
world,1990,9.6
world,1991,9.6
world,1992,9.2
world,1993,8.8
world,1994,8.6
world,1995,8.1
world,1996,7.9
world,1997,7.7
world,1998,7.6
world,1999,7.2
world,2000,7
world,2001,6.8
world,2002,6.6
world,2003,6.4
world,2004,6.4
world,2005,6.1
world,2006,5.8
world,2007,5.6
world,2008,5.6
world,2009,5.4
world,2010,5.1
world,2011,5
world,2012,4.7
world,2013,4.5
world,2014,4.4
world,2015,4.2
world,2016,4.1
world,2017,4
world,2018,3.7
world,2019,3.6
world,2020,3.5
world,2021,3.4
world,2022,3.5
world,2023,3.3
