geo,time,ny_gdp_mktp_cd
abw,1986,405463417.11746
abw,1987,487602457.74642
abw,1988,596423607.11472
abw,1989,695304363.0311
abw,1990,764887117.19449
abw,1991,872138715.0838
abw,1992,958463184.35754
abw,1993,1082979720.67039
abw,1994,1245688268.15642
abw,1995,1320474860.3352
abw,1996,1379960893.85475
abw,1997,1531944134.07821
abw,1998,1665100558.65922
abw,1999,1722798882.68156
abw,2000,1873452513.96648
abw,2001,1920111731.84358
abw,2002,1941340782.12291
abw,2003,2021229050.27933
abw,2004,2228491620.11173
abw,2005,2330726256.98324
abw,2006,2424581005.58659
abw,2007,2615083798.88268
abw,2008,2745251396.64804
abw,2009,2498882681.56425
abw,2010,2390502793.29609
abw,2011,2549720670.39106
abw,2012,2534636871.50838
abw,2013,2701675977.65363
abw,2014,2765363128.49162
abw,2015,2919553072.6257
abw,2016,2965921787.7095
abw,2017,3056424581.00559
afg,1960,537777811.11111
afg,1961,548888895.55556
afg,1962,546666677.77778
afg,1963,751111191.11111
afg,1964,800000044.44444
afg,1965,1006666637.77778
afg,1966,1399999966.66667
afg,1967,1673333417.77778
afg,1968,1373333366.66667
afg,1969,1408888922.22222
afg,1970,1748886595.55556
afg,1971,1831108971.11111
afg,1972,1595555475.55556
afg,1973,1733333264.44444
afg,1974,2155555497.77778
afg,1975,2366666615.55556
afg,1976,2555555566.66667
afg,1977,2953333417.77778
afg,1978,3300000108.88889
afg,1979,3697940409.61098
afg,1980,3641723321.99546
afg,1981,3478787909.09091
afg,2002,4055179566.34981
afg,2003,4515558808.10994
afg,2004,5226778808.89209
afg,2005,6209137624.77181
afg,2006,6971285594.68013
afg,2007,9747879531.86311
afg,2008,10109225813.6696
afg,2009,12439087076.7667
afg,2010,15856574731.441
afg,2011,17804292964.1045
afg,2012,20001598505.7042
afg,2013,20561069558.21519
afg,2014,20484885119.7348
afg,2015,19907111418.9938
afg,2016,18017749073.9033
afg,2017,18869945677.9599
afg,2018,18353881129.881
