geo,time,tm_tax_tcom_sm_ar_zs
abw,2011,6.26
abw,2012,5.88
abw,2013,6.06
abw,2015,5.77
abw,2016,6.41
abw,2017,5.71
abw,2018,5.6
abw,2019,10.33
abw,2021,6.04
afg,2004,3.13
afg,2006,6.86
afg,2007,6.92
afg,2008,7.63
afg,2012,8.42
afg,2013,8.42
afg,2018,11.04
ago,2002,11.56
ago,2004,11.56
ago,2005,11.77
ago,2006,11.77
ago,2008,11.49
ago,2009,11.46
ago,2010,11.41
ago,2011,11.26
ago,2012,11.1
ago,2013,10.96
ago,2014,22.71
ago,2015,22.32
ago,2016,22.32
ago,2018,19.19
ago,2019,18.5
ago,2020,19.82
ago,2021,22.47
ago,2022,21.9
alb,1997,15.62
alb,2000,12.06
alb,2001,12.09
alb,2002,9.14
alb,2003,9.03
alb,2004,8.05
alb,2005,7.3
alb,2006,7.34
alb,2007,6.95
alb,2008,4.8
alb,2009,7.03
alb,2010,7.14
alb,2011,3.79
alb,2012,3.63
alb,2013,3.68
alb,2014,2.7
alb,2015,2.69
alb,2016,2.87
alb,2017,2.95
alb,2018,3.36
alb,2019,3.36
alb,2020,3.17
alb,2021,3.3
alb,2022,2.2
are,2005,4.94
are,2007,4.55
are,2008,4.9
are,2009,4.87
are,2011,5.2
are,2012,4.74
are,2013,4.61
are,2014,4.18
are,2015,4.11
are,2016,3.85
are,2017,6.88
are,2018,5.22
are,2019,5.15
are,2020,4.83
are,2021,4.72
arg,1992,8.06
arg,1993,6.31
arg,1995,9.07
arg,1996,10.08
arg,1997,9.99
arg,1998,12.85
arg,1999,11.41
arg,2000,11.63
arg,2001,10.95
arg,2002,11.35
arg,2003,10.02
arg,2004,9.03
arg,2005,8.08
arg,2006,7.56
arg,2007,7.89
arg,2008,7.49
arg,2009,7.53
arg,2010,7.33
arg,2011,7.3
arg,2012,7.24
arg,2013,7.12
arg,2014,7.46
arg,2015,7.52
arg,2016,7.5
arg,2017,7.73
arg,2018,7.63
arg,2019,7.58
arg,2020,7.91
arg,2021,7.57
arg,2022,7.64
arm,2001,6.59
arm,2003,6.29
arm,2004,6.52
arm,2005,6.74
arm,2006,5.47
arm,2007,6.75
arm,2008,5.61
arm,2009,6.79
arm,2010,6.8
arm,2011,6.84
arm,2012,5.79
arm,2013,5.69
arm,2014,5.66
arm,2015,7.1
arm,2016,5.63
arm,2017,5.27
arm,2019,15.53
arm,2020,5.44
arm,2021,6.6
atg,1996,24.83
atg,1999,23.35
atg,2000,18.39
atg,2001,16.86
atg,2002,16.86
atg,2003,17.32
atg,2004,17.26
atg,2005,17.26
atg,2006,13.64
atg,2007,13.8
atg,2008,15.69
atg,2009,18.21
atg,2010,21.28
atg,2011,21.28
atg,2012,17.95
atg,2013,16.63
atg,2014,16.18
atg,2015,15.96
atg,2016,15.8
atg,2017,13.56
atg,2018,16.09
atg,2019,16.12
atg,2020,16.12
atg,2021,16.12
aus,1991,57.57
aus,1993,8.2
aus,1996,8.27
aus,1997,8.08
aus,1998,7.71
aus,1999,6.95
aus,2000,6.87
aus,2001,1.58
aus,2002,1.53
aus,2003,1.52
aus,2004,1.55
aus,2005,1.61
aus,2006,1.32
aus,2007,1.48
aus,2008,2.63
aus,2009,1.6
aus,2010,1.37
aus,2011,1.38
aus,2012,1.3
aus,2013,1.31
aus,2014,1.43
aus,2015,1.43
aus,2016,1.33
aus,2017,1.3
aus,2018,1.31
aus,2019,1.22
aus,2020,1.24
aus,2021,1.21
aus,2022,1.26
aut,1990,28.19
