geo,time,dc_dac_espl_cd
afg,1992,19999.99955
afg,1995,119999.99732
afg,1997,90000.00358
afg,1999,119999.99732
afg,2001,5920000.07629
afg,2002,17809999.46594
afg,2003,5150000.09537
afg,2004,16559999.46594
afg,2005,19000000
afg,2006,18110000.61035
afg,2007,43500000
afg,2008,71790000.91553
afg,2009,98910003.66211
afg,2010,60830001.83105
afg,2011,57619998.93188
afg,2012,31190000.53406
afg,2013,19229999.54224
afg,2014,5536783.21838
afg,2015,25513.00079
afg,2016,497207.99923
afg,2017,1560356.02093
afg,2018,1150012.96997
afg,2019,791168.98775
afg,2020,361241.01281
afg,2021,9321026.80206
afg,2022,11177671.4325
afg,2023,7966764.92691
ago,1987,600000.02384
ago,1989,13149999.61853
ago,1990,9789999.96185
ago,1991,27729999.54224
ago,1992,33990001.67847
ago,1993,12720000.26703
ago,1994,10970000.26703
ago,1995,7510000.22888
ago,1996,41840000.15259
ago,1997,30930000.30518
ago,1998,25229999.54224
ago,1999,35790000.91553
ago,2000,16209999.08447
ago,2001,10210000.03815
ago,2002,13350000.38147
ago,2003,10840000.15259
ago,2004,9270000.45776
ago,2005,16129999.16077
ago,2006,-66540000.91553
ago,2007,17620000.83923
ago,2008,13569999.69482
ago,2009,20290000.91553
ago,2010,5489999.77112
ago,2011,2710000.03815
ago,2012,5909999.84741
ago,2013,9999.99978
ago,2014,1745722.05544
ago,2015,-4912335.87265
ago,2016,-5123065.94849
ago,2017,-3746433.01964
ago,2018,-5078475.95215
ago,2019,-3959702.9686
ago,2020,-2519345.04509
ago,2021,18391410.82764
ago,2022,-7603353.9772
ago,2023,-5005642.89093
alb,1990,9999.99978
alb,1991,100000.00149
alb,1992,560000.00238
alb,1995,129999.99523
alb,1996,9999.99978
alb,1997,209999.99344
alb,1998,1059999.94278
alb,1999,10960000.03815
alb,2000,1519999.98093
alb,2001,1440000.05722
alb,2002,1370000.00477
alb,2003,1779999.97139
alb,2004,1610000.01431
alb,2005,7840000.15259
alb,2006,3710000.03815
alb,2007,19469999.31335
alb,2008,16930000.30518
alb,2009,14340000.15259
alb,2010,4820000.17166
alb,2011,-529999.97139
alb,2012,-1490000.00954
alb,2013,-4969999.79019
alb,2014,-5025887.96616
alb,2015,-4636311.05423
alb,2016,-4418253.89862
alb,2017,-2300007.10487
alb,2018,725868.99996
alb,2019,165631.99461
alb,2020,49015.99884
alb,2021,-365314.99028
alb,2022,-360729.99239
alb,2023,-346258.99792
are,2001,9999.99978
are,2002,9999.99978
are,2003,9999.99978
are,2004,29999.99933
arg,1987,1200000.04768
arg,1988,1600000.02384
arg,1989,1350000.02384
arg,1990,12390000.34332
arg,1991,46009998.32153
arg,1992,73639999.38965
arg,1993,42240001.67847
arg,1994,28520000.45776
arg,1995,37970001.2207
arg,1996,34139999.38965
arg,1997,16780000.68665
arg,1998,-5900000.09537
arg,1999,-9239999.77112
arg,2000,-6480000.01907
arg,2001,-3910000.08583
arg,2002,9859999.65668
arg,2003,41159999.84741
arg,2004,33389999.38965
arg,2005,12329999.92371
arg,2006,13829999.92371
arg,2007,21629999.16077
arg,2008,29670000.07629
arg,2009,24139999.38965
arg,2010,22959999.08447
arg,2011,2519999.98093
arg,2012,-1029999.97139
arg,2013,-16229999.54224
arg,2014,-2309560.0605
arg,2015,-84153335.57129
arg,2016,-17141916.27502
arg,2017,-14480371.47522
arg,2018,-11917798.99597
arg,2019,-6477149.96338
arg,2020,-5762970.92438
arg,2021,8322899.81842
arg,2022,-6133159.16061
arg,2023,-5594659.8053
arm,1996,9999.99978
arm,1997,9999.99978
arm,1998,9999.99978
arm,1999,59999.99866
arm,2000,39999.99911
arm,2001,109999.9994
arm,2002,449999.98808
arm,2003,79999.99821
arm,2004,1419999.95708
arm,2005,389999.98569
arm,2006,289999.99166
arm,2007,50000.00075
arm,2008,699999.98808
arm,2009,349999.99404
arm,2010,259999.99046
arm,2011,129999.99523
arm,2012,9999.99978
arm,2013,70000.0003
arm,2014,30423.00045
arm,2015,1529
arm,2016,516571.9986
arm,2017,1037865.04269
arm,2018,1727947.95036
arm,2019,1280323.98224
arm,2020,367756.0091
arm,2021,4443.99985
arm,2023,578001.02234
atg,2006,9999.99978
atg,2009,29999.99933
atg,2010,29999.99933
atg,2011,209999.99344
atg,2016,16348.00062
atg,2017,28181.99992
atg,2021,129023.99898
aze,1995,119999.99732
aze,1997,9999.99978
aze,2002,19999.99955
aze,2003,50000.00075
aze,2004,70000.0003
aze,2005,70000.0003
aze,2006,109999.9994
aze,2007,9999.99978
aze,2008,360000.01431
aze,2009,649999.97616
aze,2010,59999.99866
aze,2011,50000.00075
aze,2013,50000.00075
aze,2014,645.00002
aze,2016,295349.98536
aze,2017,224770.99299
aze,2018,245058.99847
aze,2019,369718.99867
aze,2020,247310.99606
aze,2021,10347.99963
aze,2022,15690.00073
aze,2023,1175.99999
bdi,1989,39999.99911
bdi,1990,90000.00358
bdi,1991,90000.00358
bdi,1994,70000.0003
bdi,1995,370000.00477
bdi,1996,50000.00075
bdi,1997,109999.9994
bdi,1998,9999.99978
bdi,1999,119999.99732
bdi,2000,79999.99821
bdi,2001,509999.99046
bdi,2002,189999.99762
bdi,2003,330000.01311
bdi,2004,800000.01192
bdi,2005,689999.99762
bdi,2006,219999.99881
bdi,2007,2289999.96185
bdi,2008,1879999.99523
bdi,2009,5699999.80927
bdi,2010,1240000.00954
bdi,2011,200000.00298
bdi,2012,2000000
bdi,2013,219999.99881
bdi,2014,222181.00727
bdi,2015,373196.9893
bdi,2016,980551.00441
bdi,2017,578005.01585
bdi,2018,1223665.95268
bdi,2019,1554103.01685
bdi,2020,714689.01634
bdi,2021,1804288.02967
bdi,2022,936073.0052
bdi,2023,633852.005
ben,1989,19999.99955
ben,1990,29999.99933
ben,1991,29999.99933
ben,1993,289999.99166
ben,1994,180000.00715
ben,1995,90000.00358
ben,1996,200000.00298
ben,1997,839999.97377
ben,1998,430000.00715
ben,1999,529999.97139
ben,2000,479999.98927
ben,2001,589999.97377
ben,2002,319999.99285
ben,2003,1669999.95708
ben,2004,310000.00238
ben,2005,449999.98808
ben,2006,2190000.05722
ben,2007,2109999.8951
ben,2008,2009999.99046
ben,2009,3450000.04768
ben,2010,1090000.03338
ben,2011,1220000.02861
ben,2012,550000.01192
ben,2013,620000.00477
ben,2014,613147.02034
ben,2015,157691.00189
ben,2016,664978.98102
ben,2017,232977.00286
ben,2018,310974.00188
ben,2019,217991.99283
ben,2020,561746.00124
ben,2021,263280.98774
ben,2022,400050.99773
ben,2023,286572.9928
bfa,1989,39999.99911
bfa,1990,50000.00075
bfa,1991,70000.0003
bfa,1993,59999.99866
bfa,1994,140000.0006
bfa,1995,490000.00954
bfa,1996,3930000.06676
bfa,1997,660000.02623
bfa,1998,1769999.98093
bfa,1999,5420000.07629
bfa,2000,2450000.04768
bfa,2001,1090000.03338
bfa,2002,2730000.01907
bfa,2003,5570000.17166
bfa,2004,2269999.98093
bfa,2005,2910000.08583
bfa,2006,3670000.07629
bfa,2007,4769999.98093
bfa,2008,2940000.05722
bfa,2009,10199999.80927
bfa,2010,12279999.73297
bfa,2011,3029999.97139
bfa,2012,1440000.05722
bfa,2013,2839999.91417
bfa,2014,2026020.05005
bfa,2015,749786.01933
bfa,2016,2025024.8909
bfa,2017,3802007.91359
bfa,2018,3292831.89774
bfa,2019,4742308.1398
bfa,2020,3298513.88931
bfa,2021,4428635.12039
bfa,2022,2323443.88962
bfa,2023,5229350.09003
bgd,1989,59999.99866
bgd,1991,460000.00834
bgd,1993,59999.99866
bgd,1995,419999.98689
bgd,1996,70000.0003
bgd,1997,360000.01431
bgd,1998,29999.99933
bgd,1999,39999.99911
bgd,2000,19999.99955
bgd,2001,79999.99821
bgd,2002,1470000.02861
bgd,2003,5250000
bgd,2004,90000.00358
bgd,2005,209999.99344
bgd,2006,1399999.97616
bgd,2007,12149999.61853
bgd,2008,9439999.58038
bgd,2009,6010000.22888
bgd,2010,5530000.20981
bgd,2011,4000000
bgd,2012,400000.00596
bgd,2013,9999.99978
bgd,2014,35888.9997
bgd,2015,-438297.00351
bgd,2016,-275207.99637
bgd,2017,-110780.99906
bgd,2018,753497.00451
bgd,2019,1208585.97755
bgd,2020,519855.9761
bgd,2021,1077373.0278
bgd,2022,11147233.96301
bgd,2023,883817.97075
bgr,1991,129999.99523
bgr,1992,250000
bgr,1995,100000.00149
bgr,1996,90000.00358
bgr,1997,159999.99642
bgr,1998,1019999.98093
bgr,1999,4429999.82834
bgr,2000,3049999.95232
bgr,2001,600000.02384
bgr,2002,529999.97139
bgr,2003,680000.00715
bgr,2004,519999.98093
bih,1994,59999.99866
bih,1995,10229999.54224
bih,1996,12210000.03815
bih,1997,6099999.90463
bih,1998,22950000.76294
bih,1999,30270000.45776
bih,2000,34779998.7793
bih,2001,25159999.84741
bih,2002,27799999.23706
bih,2003,30670000.07629
bih,2004,24729999.54224
bih,2005,6110000.13351
bih,2006,39909999.84741
bih,2007,30219999.31335
bih,2008,42400001.52588
bih,2009,36869998.93188
bih,2010,20209999.08447
bih,2011,36400001.52588
bih,2012,-3910000.08583
bih,2013,-4650000.09537
bih,2014,-7985360.14557
bih,2015,-11891817.0929
bih,2016,-11288069.72504
bih,2017,-14716509.81903
bih,2018,-17763364.79187
bih,2019,-13126107.21588
bih,2020,-11757938.38501
bih,2021,-12611878.39508
bih,2022,-9967873.5733
bih,2023,-10557052.6123
blr,2005,1759999.99046
blr,2007,150000.00596
blr,2008,129999.99523
blr,2009,769999.98093
blr,2010,259999.99046
blr,2011,180000.00715
blr,2012,109999.9994
blr,2013,150000.00596
blr,2014,91927.99777
blr,2015,8874.00005
blr,2016,120705.99943
blr,2017,309671.99802
blr,2018,337444.0074
blr,2019,186240.00251
blr,2020,152528.00286
blr,2021,13931.99991
blr,2022,5824.99988
blr,2023,14047.99987
blz,1994,2990000.00954
blz,1996,-589999.97377
blz,1997,-349999.99404
blz,1998,-109999.9994
blz,1999,90000.00358
blz,2000,59999.99866
blz,2001,79999.99821
blz,2002,-150000.00596
blz,2003,-19999.99955
blz,2004,180000.00715
blz,2005,250000
blz,2006,19999.99955
blz,2009,289999.99166
blz,2010,200000.00298
blz,2011,50000.00075
blz,2013,9999.99978
blz,2016,144950.00243
blz,2017,80600.00092
blz,2018,3563.9999
blz,2020,342.99999
blz,2022,34177.99994
bol,1988,5599999.90463
bol,1989,5230000.01907
bol,1990,19899999.61853
bol,1991,8239999.77112
bol,1992,47189998.62671
bol,1993,49040000.91553
bol,1994,19790000.91553
bol,1995,14369999.88556
bol,1996,38919998.16895
bol,1997,12560000.41962
bol,1998,43310001.37329
bol,1999,14819999.69482
bol,2000,22440000.53406
bol,2001,29690000.53406
bol,2002,30760000.22888
bol,2003,51610000.61035
bol,2004,54540000.91553
bol,2005,66680000.30518
bol,2006,51599998.47412
bol,2007,74629997.25342
bol,2008,93000000
bol,2009,97599998.47412
bol,2010,69010002.13623
bol,2011,51380001.06812
bol,2012,23680000.30518
bol,2013,19829999.92371
bol,2014,16934949.87488
bol,2015,6965223.78922
bol,2016,14758577.3468
bol,2017,15476093.29224
bol,2018,28024749.75586
bol,2019,16284034.729
bol,2020,19936489.10522
bol,2021,42423645.01953
bol,2022,28900583.26721
bol,2023,32424530.0293
bra,1989,519999.98093
bra,1990,400000.00596
bra,1991,560000.00238
bra,1992,1070000.05245
bra,1993,1440000.05722
bra,1994,1639999.98569
bra,1995,3670000.07629
bra,1996,6039999.96185
bra,1997,6719999.79019
bra,1998,6130000.11444
bra,1999,5389999.86649
bra,2000,5579999.92371
bra,2001,6519999.98093
bra,2002,6239999.77112
bra,2003,7079999.92371
bra,2004,9850000.38147
bra,2005,10159999.84741
bra,2006,17219999.31335
bra,2007,32799999.23706
bra,2008,36840000.15259
bra,2009,64879997.25342
