geo,time,ip_tmk_nrct
ago,2016,2019
ago,2017,1622
ago,2018,1764
ago,2019,1729
ago,2020,1374
alb,2011,7942
alb,2013,6945
alb,2014,6567
alb,2015,6853
alb,2016,6889
alb,2017,7158
alb,2018,7147
alb,2019,6944
alb,2020,7012
alb,2021,7596
and,2004,1740
and,2005,1181
and,2007,2073
and,2008,1785
and,2009,1309
and,2010,1872
and,2011,1370
and,2014,1861
and,2015,1953
and,2016,1769
and,2017,2395
and,2018,2476
and,2019,1494
and,2020,1418
and,2021,2294
are,2011,12851
are,2012,12668
are,2013,13454
are,2014,13329
are,2015,14990
are,2016,13578
are,2017,12967
are,2018,13739
are,2019,13043
are,2020,12205
are,2021,17295
arg,2004,16748
arg,2005,19754
arg,2006,19428
arg,2007,17890
arg,2008,23303
arg,2009,18410
arg,2010,19454
arg,2011,20148
arg,2012,15772
arg,2013,15004
arg,2014,14352
arg,2015,14070
arg,2016,15319
arg,2017,15053
arg,2018,16220
arg,2019,15304
arg,2020,14087
arg,2021,15713
arm,2004,6323
arm,2005,6029
arm,2006,7345
arm,2008,7928
arm,2009,6425
arm,2010,6642
arm,2011,7781
arm,2012,7664
arm,2013,7975
arm,2014,7490
arm,2015,7336
arm,2016,6769
arm,2017,7358
arm,2018,7800
arm,2019,8051
arm,2020,7677
arm,2021,7648
atg,2020,1573
atg,2021,1826
aus,2004,32200
aus,2005,34937
aus,2006,37829
aus,2007,41873
aus,2008,40181
aus,2009,34791
aus,2010,38824
aus,2011,41718
aus,2012,43522
aus,2013,44608
aus,2014,46751
aus,2015,49016
aus,2016,53506
aus,2017,57850
aus,2018,63749
aus,2019,61784
aus,2020,59515
aus,2021,76801
aut,2004,23304
aut,2005,19867
aut,2006,19812
aut,2007,17777
aut,2012,9465
aut,2013,9213
aut,2014,8447
aut,2015,8146
aut,2016,8473
aut,2017,8710
aut,2018,9722
aut,2019,9482
aut,2020,8817
aut,2021,8815
aze,2005,5425
aze,2012,9648
aze,2013,10503
aze,2014,10649
aze,2015,9306
aze,2016,8747
aze,2017,9073
aze,2018,9254
aze,2019,9366
aze,2020,8348
aze,2021,9023
bdi,2017,403
bdi,2018,333
bdi,2019,291
bdi,2020,218
bgd,2004,1992
bgd,2005,1332
bgd,2006,1374
bgd,2007,3341
bgd,2008,3388
bgd,2009,1859
bgd,2010,2374
bgd,2011,3013
bgd,2012,3135
bgd,2013,3580
bgd,2014,3611
bgd,2015,3487
bgd,2016,3795
bgd,2017,3843
bgd,2018,4120
bgd,2019,4392
bgd,2020,3909
bgd,2021,4696
bgr,2004,15978
bgr,2005,17306
bgr,2006,19334
bgr,2007,11237
bgr,2008,10211
bgr,2009,6457
bgr,2010,5474
bgr,2011,5492
bgr,2012,4862
bgr,2013,5238
bgr,2014,4282
bgr,2015,3994
bgr,2016,3900
bgr,2017,4128
bgr,2018,4813
bgr,2019,4209
bgr,2020,3531
bgr,2021,4076
bhr,2004,2493
bhr,2005,3077
bhr,2006,6892
bhr,2007,8878
bhr,2008,8317
bhr,2009,10424
bhr,2011,9203
bhr,2012,9191
bhr,2013,12973
bhr,2014,9823
bhr,2015,10317
