geo,time,dt_dod_dstc_xp_zs
afg,2008,0.92114
afg,2009,0.96968
afg,2010,3.82537
afg,2011,2.51644
afg,2012,4.5642
afg,2013,6.6829
afg,2014,7.99432
afg,2015,16.88686
afg,2016,25.77019
afg,2017,32.32958
afg,2018,22.84136
afg,2019,22.46972
afg,2020,25.34702
ago,1990,24.69238
ago,1991,35.69349
ago,1992,48.32394
ago,1993,62.31165
ago,1994,68.26448
ago,1995,50.82985
ago,1996,21.61523
ago,1997,24.09331
ago,1998,45.53776
ago,1999,29.72617
ago,2000,16.08925
ago,2001,21.46671
ago,2002,14.11919
ago,2003,11.05224
ago,2004,8.64972
ago,2005,9.52637
ago,2006,6.36724
ago,2007,5.00757
ago,2008,3.69692
ago,2009,6.23475
ago,2010,8.85452
ago,2011,8.88126
ago,2012,12.0557
ago,2013,16.11451
ago,2014,12.45593
ago,2015,17.48523
ago,2016,15.37648
ago,2017,10.3471
ago,2018,6.76843
ago,2019,7.20131
ago,2020,24.83977
ago,2021,13.63312
ago,2022,8.33565
ago,2023,13.13332
ago,2024,15.45012
alb,1991,512.39232
alb,1992,530.08285
alb,1993,227.22718
alb,1994,211.01346
alb,1995,16.59207
alb,1996,6.91833
alb,1997,29.71975
alb,1998,15.63878
alb,1999,6.11342
alb,2000,5.46924
alb,2001,3.73082
alb,2002,3.562
alb,2003,14.34742
alb,2004,0.08441
alb,2005,9.18775
alb,2006,17.55358
alb,2007,17.93812
alb,2008,30.61377
alb,2009,19.79106
alb,2010,20.06924
alb,2011,26.77176
alb,2012,38.70657
alb,2013,42.84879
alb,2014,44.87793
alb,2015,50.95306
alb,2016,48.02866
alb,2017,46.66701
alb,2018,17.43101
alb,2019,16.06717
alb,2020,25.05124
alb,2021,20.16939
alb,2022,16.69912
alb,2023,12.13408
alb,2024,11.3979
arg,1976,21.74376
arg,1977,40.42743
arg,1978,43.74681
arg,1979,69.69544
arg,1980,92.69238
arg,1981,109.45646
arg,1982,169.3593
arg,1983,91.28886
arg,1984,108.16668
arg,1985,65.16997
arg,1986,49.87979
arg,1987,42.02945
arg,1988,50.33376
arg,1989,70.79111
arg,1990,62.69002
arg,1991,83.96853
arg,1992,91.18192
arg,1993,45.97244
arg,1994,31.40208
arg,1995,72.82168
arg,1996,71.48905
arg,1997,87.66011
arg,1998,82.79313
arg,1999,86.33141
arg,2000,73.27332
arg,2001,54.84329
arg,2002,46.22331
arg,2003,59.79255
arg,2004,61.06241
arg,2005,68.43317
arg,2006,46.91747
arg,2007,26.39391
arg,2008,22.2908
arg,2009,27.60372
arg,2010,19.56534
arg,2011,25.52795
arg,2012,26.14442
arg,2013,39.86709
arg,2014,40.15606
arg,2015,82.112
arg,2016,55.27177
arg,2017,70.99433
arg,2018,81.23976
arg,2019,77.66138
arg,2020,62.43447
arg,2021,48.52967
arg,2022,46.11666
arg,2023,61.3216
arg,2024,47.06793
arm,1995,0.59818
arm,1996,0.31265
arm,1997,4.64074
arm,1998,9.77296
arm,1999,10.2635
arm,2000,7.96247
arm,2001,6.30475
arm,2002,24.88288
arm,2003,35.20101
arm,2004,27.1212
arm,2005,15.32384
arm,2006,13.32627
arm,2007,17.11632
arm,2008,16.92565
arm,2009,21.73084
arm,2010,20.11628
arm,2011,23.73295
arm,2012,20.88069
arm,2013,26.04823
arm,2014,20.04344
arm,2015,16.49386
arm,2016,24.29358
arm,2017,16.37247
arm,2018,19.4228
arm,2019,23.83055
arm,2020,37.75352
arm,2021,27.96196
arm,2022,28.56002
arm,2023,19.95105
arm,2024,17.65472
aze,1995,1.76586
aze,1996,1.91601
aze,1997,0.34105
aze,1998,0.14126
aze,1999,2.24274
aze,2000,7.18532
aze,2001,4.26764
aze,2002,3.05987
aze,2003,3.33234
aze,2004,3.29466
aze,2005,2.22986
aze,2006,3.71577
aze,2007,4.99052
aze,2008,3.49708
aze,2009,2.55248
aze,2010,3.45551
aze,2011,0.23911
aze,2012,4.31085
aze,2013,4.3444
aze,2014,5.90329
aze,2015,7.26934
aze,2016,7.54597
aze,2017,3.19383
aze,2018,2.10058
aze,2019,2.4453
aze,2020,2.64893
aze,2021,0
aze,2022,1.03717
aze,2023,1.63635
aze,2024,0.59506
bdi,1985,24.6081
bdi,1986,16.83667
bdi,1987,32.9761
bdi,1988,9.10782
bdi,1989,13.99933
bdi,1990,13.68235
bdi,1991,10.41957
bdi,1992,11.95448
bdi,1993,5.20557
bdi,1994,5.42167
bdi,1995,10.66242
bdi,1996,14.31869
bdi,1997,16.29405
bdi,1998,27.87218
bdi,1999,113.65751
bdi,2000,117.31142
bdi,2001,191.15815
bdi,2002,244.63969
bdi,2003,103.15462
bdi,2004,34.41998
bdi,2005,34.49412
bdi,2006,38.46986
bdi,2007,14.03961
bdi,2008,10.97857
bdi,2009,5.84693
bdi,2010,8.65481
bdi,2011,0.17379
bdi,2012,3.08385
bdi,2013,13.30303
bdi,2014,22.43338
bdi,2015,0.13695
bdi,2016,0.12699
bdi,2017,0.09351
bdi,2018,0.08339
bdi,2019,0.08348
bdi,2020,0.08857
bdi,2021,0.0797
bdi,2022,0.07187
bdi,2023,0.07282
bdi,2024,0.6928
ben,1974,3.4199
ben,1975,3.57387
ben,1976,4.15634
ben,1977,19.65707
ben,1978,36.96545
ben,1979,53.64776
ben,1980,30.42265
ben,1981,18.14866
ben,1982,40.35281
ben,1983,44.44707
ben,1984,30.58909
ben,1985,42.62539
ben,1986,44.70834
ben,1987,45.60458
ben,1988,48.96128
ben,1989,24.08129
ben,1990,14.76656
ben,1991,11.38058
ben,1992,5.14334
ben,1993,5.7288
ben,1994,5.53649
ben,1995,7.37049
ben,1996,6.83867
ben,1997,16.04596
ben,1998,16.53541
ben,1999,28.86815
ben,2000,15.43474
ben,2001,28.84753
ben,2002,36.22539
ben,2003,21.52196
ben,2004,39.45897
ben,2005,32.28253
ben,2006,47.07661
ben,2007,31.48537
ben,2008,29.23489
ben,2009,38.54786
ben,2010,38.49858
ben,2011,40.83263
ben,2012,49.45321
ben,2013,38.22744
ben,2014,41.80902
ben,2015,45.47169
ben,2016,32.74717
ben,2017,27.49558
ben,2018,52.4564
ben,2019,35.36836
ben,2020,39.56408
ben,2021,40.56891
ben,2022,36.1234
ben,2023,26.66387
bfa,2005,3.80878
bfa,2006,12.22024
bfa,2007,19.25643
bfa,2008,0.79462
bfa,2009,0
bfa,2010,0
bfa,2011,0
bfa,2012,0
bfa,2013,0
bfa,2014,0
bfa,2015,0
bfa,2016,0
bfa,2017,0
bfa,2018,0
bfa,2019,0
bfa,2020,0
bfa,2021,0
bfa,2022,0
bfa,2023,0
bgd,1976,0.66436
bgd,1977,4.76894
bgd,1978,10.5729
bgd,1979,13.03651
bgd,1980,19.61481
bgd,1981,21.85534
bgd,1982,20.58442
bgd,1983,17.42652
bgd,1984,11.0192
bgd,1985,10.55941
bgd,1986,11.09942
bgd,1987,5.39506
bgd,1988,3.06705
bgd,1989,3.90835
bgd,1990,7.32717
bgd,1991,9.98202
bgd,1992,8.67844
bgd,1993,4.81496
bgd,1994,5.29394
bgd,1995,4.23684
bgd,1996,3.43766
bgd,1997,3.11731
bgd,1998,2.51342
bgd,1999,4.01704
bgd,2000,4.57998
bgd,2001,5.2179
bgd,2002,8.24131
bgd,2003,7.72718
bgd,2004,7.72236
bgd,2005,6.45319
bgd,2006,9.01649
bgd,2007,9.55513
bgd,2008,10.70557
bgd,2009,11.31743
bgd,2010,13.54225
bgd,2011,7.74769
bgd,2012,7.04827
bgd,2013,11.7503
bgd,2014,12.52638
bgd,2015,18.88695
bgd,2016,20.75022
bgd,2017,27.40465
bgd,2018,20.28248
bgd,2019,21.56981
bgd,2020,28.39348
bgd,2021,36.44912
bgd,2022,30.63099
bgd,2023,23.97964
bgd,2024,23.43704
bgr,1985,0.43403
bgr,1986,0.60253
bgr,1987,3.03371
bgr,1988,5.96152
bgr,1989,8.87918
bgr,1990,14.9295
bgr,1991,37.37295
bgr,1992,30.94309
bgr,1993,37.12329
bgr,1994,8.2612
bgr,1995,7.39628
bgr,1996,17.81525
bgr,1997,39.70198
bgr,1998,28.03332
bgr,1999,21.25865
bgr,2000,19.81757
bgr,2001,15.45236
bgr,2002,21.76882
bgr,2003,23.51594
bgr,2004,21.1068
bgr,2005,25.13574
bgr,2006,36.59189
bgr,2007,51.06504
bgr,2008,57.47924
bgr,2009,72.98508
bgr,2010,57.92319
bgr,2011,36.811
bgr,2012,41.02035
bgr,2013,35.87494
bgr,2014,28.88641
bgr,2015,26.17391
bgr,2016,24.12226
bgr,2017,23.07642
bgr,2018,21.42331
bgr,2019,21.8563
bgr,2020,28.38979
bgr,2021,15.42765
bgr,2022,15.16319
bih,1999,1.89707
bih,2000,1.70047
bih,2001,1.77271
bih,2002,15.30315
bih,2003,3.64602
bih,2004,6.95209
bih,2005,19.42472
bih,2006,22.09848
bih,2007,25.78317
bih,2008,18.12108
bih,2009,27.34415
bih,2010,20.18941
bih,2011,19.98185
bih,2012,18.43713
