global,time,cm_mkt_trad_gd_zs
world,1975,6.06156
world,1976,6.80766
world,1977,6.1705
world,1978,7.60288
world,1979,6.92186
world,1980,8.96825
world,1981,9.65059
world,1982,8.78028
world,1983,14.61295
world,1984,17.72823
world,1985,23.81976
world,1986,32.51476
world,1987,46.94922
world,1988,38.26456
world,1989,44.80757
world,1990,32.07608
world,1991,24.37596
world,1992,22.5354
world,1993,30.27996
world,1994,33.44374
world,1995,33.96296
world,1996,40.97347
world,1997,58.64451
world,1998,72.76028
world,1999,102.98623
world,2000,144.50363
world,2001,103.59285
world,2002,81.94282
world,2003,75.76268
world,2004,83.48448
world,2005,99.43058
world,2006,117.98906
world,2007,161.16605
world,2008,139.88617
world,2009,116.65151
world,2010,111.93574
world,2011,104.74456
world,2012,81.99612
world,2013,87.63319
world,2014,100.18511
world,2015,157.26815
world,2016,123.24235
world,2017,115.56634
world,2018,95.7648
world,2019,83.96276
