geo,time,gf_xpd_budg_zs
afg,2007,79.69509
afg,2008,80.2058
afg,2009,90.30411
afg,2010,86.6402
afg,2011,96.03565
afg,2012,89.12601
afg,2013,113.66696
afg,2014,78.33203
afg,2015,74.25613
afg,2016,81.2033
afg,2017,78.24698
afg,2018,94.70398
afg,2019,99.50836
ago,2008,89.23223
ago,2009,51.41546
ago,2010,99.93321
ago,2011,102.78234
ago,2012,99.13243
ago,2013,84.96914
ago,2014,83.29612
ago,2015,51.06351
ago,2016,67.1746
ago,2017,81.5559
ago,2018,88.5329
alb,2008,95.24651
alb,2009,98.70568
alb,2010,88.32078
alb,2014,95.67362
alb,2015,94.48004
alb,2016,95.90584
alb,2017,101.39051
alb,2018,95.79095
alb,2019,94.67264
arg,2009,106.85253
arg,2010,119.31063
arg,2011,118.4355
arg,2012,111.22543
arg,2013,119.44007
arg,2014,132.12071
arg,2015,114.37968
arg,2016,135.06131
arg,2017,108.47608
arg,2018,114.59579
arm,2007,113.61387
arm,2008,98.60352
arm,2009,98.2716
arm,2010,102.00871
arm,2011,98.54703
arm,2012,96.35336
arm,2013,99.15587
arm,2014,99.08668
arm,2015,107.9195
arm,2016,105.23391
arm,2017,110.63808
arm,2018,98.76348
arm,2019,98.48313
atg,2007,60.66812
atg,2008,89.3526
atg,2009,73.70235
atg,2010,83.61084
atg,2011,90.74191
atg,2012,89.15438
aze,2007,106.5006
aze,2008,126.47443
aze,2009,85.01706
aze,2010,95.85037
aze,2011,120.78382
aze,2012,102.01764
aze,2013,97.77063
aze,2014,93.25125
aze,2015,84.28673
aze,2016,109.14474
aze,2017,104.11243
aze,2018,108.00589
aze,2019,96.88289
bdi,2005,96.875
bdi,2006,91.6986
bdi,2007,90.84052
bdi,2008,124.90121
bdi,2009,105.29902
bdi,2010,99.52112
ben,2007,53.93732
ben,2008,93.15311
ben,2009,86.55772
ben,2010,72.04376
ben,2011,70.62889
ben,2012,78.19875
ben,2013,82.25206
ben,2014,78.56294
bfa,2007,96.06411
bfa,2008,83.63457
bfa,2009,102.51024
bfa,2010,94.64074
bfa,2011,98.07986
bfa,2012,96.0484
bfa,2013,91.98666
bfa,2014,84.96895
bfa,2015,85.48325
bfa,2016,95.81525
bgd,2007,91.18727
bgd,2008,93.98898
bgd,2009,88.09624
bgd,2010,89.27254
bgd,2011,97.04925
bgd,2012,93.17807
bgd,2013,90.7531
bgd,2014,84.59257
bgd,2015,95.66884
