geo,time,gc_tax_othr_cn
afg,2006,2373311278.45
afg,2007,147804485.86
afg,2008,340360903.97
afg,2009,747914113.6
afg,2010,2202089063.04
afg,2011,2831054087.35667
afg,2012,3180084120.63728
afg,2013,5759301582
afg,2014,4717339146.6215
afg,2015,5024156439.36
afg,2016,5839155796.34
afg,2017,109515189.79
ago,1999,109108942.867
ago,2000,537264989
ago,2001,2102786460
ago,2002,5251158353
ago,2003,12411126348
ago,2004,16440820389
ago,2005,25940668463
ago,2006,33567201009
ago,2007,43381014905
ago,2008,77583714884
ago,2009,88672217512
ago,2010,94062778190
ago,2011,115785359186
ago,2012,121208128451
ago,2013,143769559012
ago,2014,172463175092.17999
ago,2015,173558566321
ago,2016,208094902672
ago,2017,195261850624
ago,2018,199164789272
ago,2019,213521829544
alb,1995,653000000
alb,1996,558991000
alb,1997,417864000
alb,1998,475790000
alb,2002,1504230000
alb,2003,3919470000
alb,2004,2066140000
alb,2011,2055580000
alb,2012,2843520000
alb,2013,1467150000
alb,2014,424880000
alb,2015,280450000
alb,2016,1676820000
alb,2017,3861620000
alb,2018,241140000
alb,2019,370930000
alb,2020,3523450000
alb,2021,4587140000
alb,2022,5816300000
alb,2023,189170000
arg,1990,573300000
arg,1991,1459400000
arg,1992,1210800000
arg,1993,1238200000
arg,1994,1284100000
arg,1995,1957800000
arg,1996,1292100000
arg,1997,780900000
arg,1998,584600000
arg,1999,358900000
arg,2000,835600000
arg,2001,590400000
arg,2002,2466900000
arg,2003,3861938070.22
arg,2004,5042903729.65
arg,2005,5497500000
arg,2006,6640700000
arg,2007,8607800000
arg,2008,11344000000
arg,2009,12133600000
arg,2010,15904900000
arg,2011,20543700000
arg,2012,25397800000
arg,2013,31550900000
arg,2014,43455760000
arg,2015,59028250000
arg,2016,173795300000
arg,2017,141984500000
arg,2018,134137502361.58
arg,2019,202456303968.76999
arg,2020,367390999290.47998
arg,2021,619223145798.79004
arg,2022,909116599092
arg,2023,2067026947100.27002
arm,2004,90181306200
arm,2005,88371942793
arm,2006,101252800000
arm,2007,69639014211
arm,2008,79651420281.5
arm,2009,58297977899.6
arm,2010,63113613159.94
arm,2011,70732577962
arm,2012,76976528922
arm,2013,88228868280.5
arm,2014,53177686586
arm,2015,94072994588
arm,2016,96772753001
arm,2017,125281925897
arm,2018,80333128431
arm,2019,14747983522
arm,2020,3344348813
arm,2021,3833726166
arm,2022,7152831662
arm,2023,23483102140
aus,1972,188000000
aus,1973,102000000
aus,1974,109000000
aus,1975,125000000
aus,1976,152000000
aus,1977,168000000
aus,1978,168000000
aus,1979,130000000
aus,1980,99000000
aus,1981,69000000
aus,1982,59000000
aus,1983,61000000
aus,1984,67000000
aus,1985,94000000
aus,1986,92000000
aus,1987,637000000
aus,1988,1003000000
aus,1989,1128000000
aus,1990,1202000000
aus,1991,1310000000
aus,1992,1383000000
aus,1993,1389000000
aus,1994,1460000000
aus,1995,2811000000
aus,1996,3065000000
aus,1997,3202000000
aus,1998,3215000000
aus,1999,3322000000
aus,2000,3521000000
aus,2001,121000000
aus,2002,156000000
aus,2003,253000000
aus,2004,381000000
aus,2005,292000000
aus,2006,369000000
aus,2007,350000000
aus,2008,381000000
aus,2009,377000000
aus,2010,507000000
aus,2011,505000000
aus,2012,528000000
aus,2013,646000000
aus,2014,844000000
aus,2015,735000000
aus,2016,670000000
aus,2017,605000000
aus,2018,1107000000
aus,2019,1069000000
aus,2020,1034000000
aus,2021,1683000000
aus,2022,1060000000
aut,1972,1024686961.76682
aut,1973,1173666271.81093
aut,1974,1348807802.15547
aut,1975,1514501864.05819
aut,1976,1681649382.64427
aut,1977,2005770223.03293
aut,1978,1988328742.83264
aut,1979,2121320029.35982
aut,1980,2253584587.54533
aut,1981,2357506740.40537
aut,1982,2469422905.02387
aut,1983,2520293888.94137
aut,1984,2581339069.64238
aut,1985,2417098464.42302
aut,1986,2562444132.75873
aut,1987,2732498564.71153
aut,1988,3220860010.31955
aut,1989,3479575299.95712
aut,1990,3799335770.29571
aut,1991,4139444634.20129
aut,1992,4468652572.98169
aut,1993,4498448434.99052
aut,1994,3842939470.79642
aut,1995,3207330000
aut,1996,3251810000
aut,1997,3320990000
aut,1998,3465590000
aut,1999,3539260000
aut,2000,3641190000
aut,2001,3824400000
aut,2002,3859720000
aut,2003,3942150000
aut,2004,4003050000
aut,2005,4080000000
aut,2006,4256640000
aut,2007,4536330000
aut,2008,5018930000
aut,2009,5221710000
aut,2010,5310870000
aut,2011,5462350000
aut,2012,5657540000
aut,2013,6559820000
aut,2014,6326040000
aut,2015,6234610000
aut,2016,6411960000
aut,2017,6081010000
aut,2018,6051710000
aut,2019,6140440000
aut,2020,5893910000
aut,2021,6524130000
aut,2022,6932290000
aut,2023,7298110000
aze,1994,980000
aze,1995,6160000
aze,1996,5171000
