geo,time,se_sec_cuat_lo_ma_zs
abw,1991,49.86888
abw,2000,59.4788
abw,2010,63.22241
afg,1975,6.31108
afg,1979,7.44739
afg,2015,21.34241
afg,2021,14.86571
afg,2022,24.07704
ago,2014,36.49482
ago,2015,38.1599
alb,2001,80.57056
alb,2008,85.03417
alb,2011,88.41182
alb,2012,89.42938
alb,2017,86.09987
and,2014,73.65986
and,2015,73.32658
and,2016,73.16218
and,2022,84.6
are,1975,24.00918
are,2005,60.07245
are,2017,81.09943
are,2018,84.51494
are,2019,85.59674
are,2021,86.14517
arg,1970,21.58769
arg,1980,27.14242
arg,1991,38.54838
arg,2001,45.65923
arg,2003,56.56323
arm,2001,92.39198
arm,2011,97.16112
arm,2015,97.64476
arm,2016,88.28271
arm,2017,97.15172
arm,2020,97.05096
asm,1974,71.51372
asm,1980,67.6541
asm,1990,82.06685
aus,1971,70.61559
aus,2004,90.44699
aus,2005,91.45807
aus,2006,91.51249
aus,2007,91.98195
aus,2008,92.65324
aus,2009,92.23578
aus,2010,93.04788
aus,2011,93.47212
aus,2012,94.62242
aus,2013,91.08495
aus,2014,92.21103
aus,2015,92.91497
aus,2016,93.15925
aus,2017,93.19235
aus,2018,93.40455
aus,2019,94.01983
aus,2020,94.43007
aut,2014,100
aze,1999,96.04223
aze,2007,97.31593
aze,2008,97.34858
aze,2009,97.38601
aze,2010,97.45334
aze,2011,97.44037
aze,2012,97.4706
aze,2013,97.49586
aze,2014,97.5231
aze,2015,97.52974
aze,2016,97.53103
aze,2017,97.50075
aze,2018,97.506
aze,2019,97.5649
bdi,1990,4.63866
bdi,2008,12.55912
bdi,2014,7.65536
bdi,2017,11.72562
bel,1970,37.84739
bel,2006,79.7918
bel,2008,81.7366
bel,2009,82.67204
bel,2010,82.38205
bel,2011,82.88234
bel,2012,83.08895
bel,2013,83.88217
bel,2014,84.68382
bel,2015,86.67338
bel,2016,87.10012
bel,2017,88.38187
bel,2019,89.70521
ben,1979,3.83096
ben,2002,21.22014
ben,2017,16.54431
ben,2019,20.72753
bfa,2006,11.26426
bfa,2007,3.23734
bfa,2014,11.53894
bfa,2018,15.74191
bfa,2019,18.50006
bgd,1974,13.52781
bgd,1981,20.38084
bgd,2001,31.30774
bgd,2011,41.12391
bgd,2012,41.60148
bgd,2013,38.55944
bgd,2014,39.13125
bgd,2015,45.22609
bgd,2016,46.02593
bgd,2017,46.80007
bgd,2018,47.58908
bgd,2019,48.35039
bgr,1992,52.48798
bgr,2001,91.03968
bgr,2006,93.62141
bgr,2007,94.15385
bgr,2008,94.08715
bgr,2009,94.3941
bgr,2010,94.86416
bgr,2011,95.2125
bgr,2012,95.72127
bgr,2013,95.75795
bgr,2014,95.53711
bgr,2015,96.06474
bgr,2016,96.21653
bgr,2017,96.42636
bgr,2020,96.54079
bhr,1971,16.82634
bhr,1991,35.22806
bhr,2001,74.69296
bhr,2010,54.00999
bhr,2016,70.6734
bhr,2017,74.3448
bhr,2018,80.93598
bhr,2020,83.08016
bhs,1990,71.08949
bhs,2000,88.17584
bhs,2010,89.09678
