geo,time,sg_tim_uwrk_ma
alb,2011,3.47222
arg,2005,6.11111
arg,2010,6.59722
arm,2004,4.58333
arm,2008,4.37083
aus,2006,11.38889
aus,2021,11.18056
aut,2009,10.05396
aut,2022,8.62597
aze,2008,8.88889
bel,2000,9.23611
bel,2005,9.23611
bel,2014,10.34418
bgr,2002,10.90278
bgr,2010,9.23611
blr,2015,9.51389
bol,2001,12.13362
bra,2009,5.97222
bra,2012,3.03476
bra,2017,5.13276
btn,2007,5.06944
btn,2015,5.90278
can,2005,10
can,2010,10.41667
can,2016,10
can,2023,11.625
che,2000,9.84167
che,2004,10.32917
che,2007,10.90833
che,2010,9.775
che,2013,10.3875
che,2016,10.80417
che,2020,11.47083
chn,2008,6.18056
chn,2018,5.90278
cmr,2014,4.56784
col,2013,4.54167
col,2017,4.59313
col,2021,5.23624
cri,2017,8.37858
cub,2001,5.34722
cub,2016,12.47024
deu,2002,10.47917
deu,2013,9.91667
deu,2022,10.54167
dnk,2001,10.13889
dnk,2009,11.25
dom,2016,3.78561
dom,2021,5.90428
dza,2012,3.75
ecu,2007,7.64595
ecu,2008,7.93606
ecu,2009,7.79518
ecu,2010,7.55554
ecu,2011,7.33103
ecu,2012,4.72192
ecu,2013,6.98316
ecu,2014,7.22645
ecu,2015,6.70541
ecu,2016,6.77286
ecu,2017,6.57955
egy,2015,2.43056
esp,2003,6.73611
esp,2010,8.61111
est,2000,11.18056
est,2010,10.76389
est,2021,10.33333
eth,2013,6.59722
fin,2000,10.02083
fin,2010,10.49167
fin,2021,10.74958
fji,2016,5.19476
fra,2010,9.49464
gbr,2001,8.14504
gbr,2015,6.96528
gbr,2022,12.25177
geo,2021,3.7089
gha,2009,4.58333
grc,2014,7.01389
gtm,2014,2.35751
gtm,2017,2.60537
hkg,2002,4.58333
hkg,2013,3.33333
hnd,2009,4.31393
hun,2000,11.04167
hun,2010,7.9796
ind,2019,2.84722
irl,2005,8.95833
irq,2007,4.16667
ita,2003,5.91667
ita,2009,6.08333
ita,2014,6.79167
jpn,2001,2.29167
jpn,2006,2.70833
jpn,2011,2.98611
jpn,2016,3.125
jpn,2021,3.75
kaz,2000,13.81944
kaz,2003,17.36111
kaz,2006,15.06944
kaz,2012,7.70833
kaz,2018,6.25
ken,2021,3.61125
kgz,2000,13.81944
kgz,2005,9.65278
kgz,2010,6.31944
kgz,2015,9.51389
khm,2004,1.25
kor,2004,2.77778
kor,2009,3.12361
kor,2014,3.60833
kor,2019,3.81944
lao,2003,2.5
lao,2008,1.66667
lao,2013,2.5
lao,2017,10.06278
lbr,2010,2.57656
lso,2003,6.18056
ltu,2003,8.33333
lux,2014,7.08333
lva,2003,9.09722
mar,2012,2.98611
mda,2012,11.2725
mex,2002,6.35316
mex,2009,10.38447
mex,2014,7.58645
mex,2019,8.82186
mkd,2004,8.125
mkd,2009,5.55556
mkd,2015,5.41667
mlt,2002,7.01389
mng,2000,8.91944
mng,2007,8.26389
mng,2011,9.09722
mng,2015,6.38889
mng,2019,7.59633
mng,2023,9.19318
mus,2003,4.79167
mwi,2005,1.25
mys,2003,5.97222
nld,2001,8.47222
nld,2003,8.05556
nld,2006,9.79167
nld,2012,9.23611
nor,2001,11.18056
nor,2011,12.33333
nzl,2010,10.55556
omn,2000,7.36111
omn,2008,7.5
pak,2007,1.80556
pan,2011,7.57184
per,2010,8.94605
pol,2004,10.90278
pol,2013,9.92917
prt,2015,10.2414
pry,2016,4.27041
pse,2000,3.19444
pse,2013,2.98611
qat,2013,2.22222
rou,2000,9.58333
rou,2012,9.375
rus,2019,7.8
slv,2010,7.84513
slv,2017,7.02928
srb,2011,9.48935
srb,2015,8.69038
svn,2001,11.11111
swe,2001,11.94444
swe,2011,12.82797
tha,2009,3.33333
tha,2015,3.25
tun,2006,2.70833
tur,2006,3.55152
tur,2015,3.70575
tza,2006,4.58333
tza,2014,4.23611
uga,2018,7.5
ury,2007,9.72222
ury,2013,8.37738
usa,2003,9.875
usa,2004,9.79167
usa,2005,9.66667
usa,2006,9.58333
usa,2007,9.95833
usa,2008,9.41667
usa,2009,9.75
usa,2010,9.875
usa,2011,9.66667
usa,2012,9.33333
usa,2013,9.70833
usa,2014,9.70833
usa,2015,9.75
usa,2016,9.79167
usa,2017,9.875
usa,2018,9.54167
usa,2019,9.66667
usa,2021,10.125
usa,2022,10.08333
zaf,2000,5.41667
zaf,2010,6.45833
