global,time,dc_dac_bell_cd
world,1960,82000000
world,1961,70500000
world,1962,64610000.61035
world,1963,75160003.66211
world,1964,81520004.27246
world,1965,106459999.08447
world,1966,67090003.96729
world,1967,74169998.16895
world,1968,73569999.69482
world,1969,84330001.83105
world,1970,91779998.7793
world,1971,109810005.18799
world,1972,129839996.33789
world,1973,178389999.38965
world,1974,207289993.28613
world,1975,251250000
world,1976,228229995.72754
world,1977,260679992.67578
world,1978,309520019.53125
world,1979,443690002.44141
world,1980,453270019.53125
world,1981,368510009.76562
world,1982,292410003.66211
world,1983,297959991.45508
world,1984,262570007.32422
world,1985,274790008.54492
world,1986,358390014.64844
world,1987,426730010.98633
world,1988,414010009.76562
world,1989,355540008.54492
world,1990,551130004.88281
world,1991,685809997.55859
world,1992,604630004.88281
world,1993,486690002.44141
world,1994,445519989.01367
world,1995,525989990.23438
world,1996,543630004.88281
world,1997,448450012.20703
world,1998,537130004.88281
world,1999,442390014.64844
world,2000,480200012.20703
world,2001,506980010.98633
world,2002,723409973.14453
world,2003,1482290039.0625
world,2004,910760009.76562
world,2005,1307390014.64844
world,2006,1355810058.59375
world,2007,1236849975.58594
world,2008,1375540039.0625
world,2009,1584709960.9375
world,2010,2024489990.23438
world,2011,1738810058.59375
world,2012,1432290039.0625
world,2013,1306630004.88281
world,2014,1318709960.9375
world,2015,1111270019.53125
world,2016,1425060058.59375
world,2017,1295179931.64063
world,2018,1335709960.9375
world,2019,1136400024.41406
world,2020,1161130004.88281
