global,time,ip_tmk_totl
world,1980,653452
world,1981,630229
world,1982,645909
world,1983,664879
world,1984,751296
world,1985,836192
world,1986,1021725
world,1987,1083704
world,1988,1127380
world,1989,1224689
world,1990,1335015
world,1991,1302385
world,1992,1435489
world,1993,1587999
world,1994,1696965
world,1995,1824650
world,1996,1848220
world,1997,1868333
world,1998,1889205
world,1999,2054925
world,2000,2481435
world,2001,2267534
world,2002,2308099
world,2003,2471581
world,2004,2733894
world,2005,2932631
world,2006,3131802
world,2007,3224315
world,2008,3173080
world,2009,3098078
world,2010,3557869
world,2011,4036490
world,2012,4317131
world,2013,4624663
world,2014,4960705
world,2015,3072724
world,2016,3235638
world,2017,3460457
world,2018,3617130
