geo,time,er_fsh_prod_mt
abw,1960,200
abw,1961,200
abw,1962,300
abw,1963,300
abw,1964,300
abw,1965,300
abw,1966,300
abw,1967,400
abw,1968,400
abw,1969,400
abw,1970,400
abw,1971,400
abw,1972,400
abw,1973,500
abw,1974,550
abw,1975,600
abw,1976,650
abw,1977,700
abw,1978,770
abw,1979,770
abw,1980,770
abw,1981,770
abw,1982,770
abw,1983,770
abw,1984,770
abw,1985,770
abw,1986,700
abw,1987,620
abw,1988,550
abw,1989,480
abw,1990,420
abw,1991,350
abw,1992,300
abw,1993,260
abw,1994,260
abw,1995,140
abw,1996,160
abw,1997,205
abw,1998,182
abw,1999,175
abw,2000,163
abw,2001,163
abw,2002,163
abw,2003,160
abw,2004,162
abw,2005,162
abw,2006,145
abw,2007,159
abw,2008,151
abw,2009,163
abw,2010,153
abw,2011,168
abw,2012,138
abw,2013,145
abw,2014,152
abw,2015,150
abw,2016,150
abw,2017,149.5
abw,2018,150
abw,2019,164.5
abw,2020,156.5
afg,1960,200
afg,1961,300
afg,1962,300
afg,1963,300
afg,1964,300
afg,1965,300
afg,1966,300
afg,1967,400
afg,1968,400
afg,1969,460
afg,1970,460
afg,1971,560
afg,1972,560
afg,1973,560
afg,1974,560
afg,1975,660
afg,1976,770
afg,1977,770
afg,1978,770
afg,1979,770
afg,1980,870
afg,1981,870
afg,1982,870
afg,1983,970
afg,1984,970
afg,1985,970
afg,1986,970
afg,1987,1170
afg,1988,1170
afg,1989,1170
afg,1990,1400
afg,1991,1400
afg,1992,1500
afg,1993,1500
afg,1994,1600
afg,1995,1600
afg,1996,1600
afg,1997,1550
afg,1998,1500
afg,1999,1500
afg,2000,1300
afg,2001,1250
afg,2002,1350
afg,2003,1350
afg,2004,1450
afg,2005,1450
afg,2006,1450
afg,2007,2050
afg,2008,2050
afg,2009,2650
afg,2010,3250
afg,2011,4000
afg,2012,4780
afg,2013,5560
afg,2014,6360
afg,2015,7200
afg,2016,8050
afg,2017,9000
afg,2018,10000
afg,2019,10100
afg,2020,10050
ago,1960,257300
ago,1961,246800
ago,1962,274800
ago,1963,245300
ago,1964,362000
ago,1965,263300
ago,1966,335300
ago,1967,299300
ago,1968,303100
ago,1969,425200
ago,1970,374501
ago,1971,324322
ago,1972,606656
ago,1973,478659
ago,1974,399784
ago,1975,160581
ago,1976,81542
ago,1977,120407
ago,1978,125630
ago,1979,113072
ago,1980,85085
ago,1981,130957
ago,1982,111488
ago,1983,110376
ago,1984,95188
ago,1985,100093
ago,1986,84660
ago,1987,107490
ago,1988,126031
ago,1989,137465
ago,1990,133088
ago,1991,117104
ago,1992,113625
ago,1993,126200
ago,1994,132413
ago,1995,122781
ago,1996,137815
ago,1997,146304
ago,1998,163149
ago,1999,175799
ago,2000,239356
ago,2001,254564
ago,2002,255494
ago,2003,212105
ago,2004,240094
ago,2005,202742
ago,2006,225897
ago,2007,306626
ago,2008,306050
ago,2009,272302
ago,2010,310310
ago,2011,342310
ago,2012,374310
ago,2013,407057
ago,2014,442389
ago,2015,496104
ago,2016,487145
ago,2017,532914
ago,2018,444828
ago,2019,402696
ago,2020,379407
alb,1960,2600
alb,1961,3200
alb,1962,2800
alb,1963,3000
alb,1964,3000
alb,1965,4000
alb,1966,4000
alb,1967,5000
alb,1968,6000
alb,1969,7000
alb,1970,8000
alb,1971,8000
alb,1972,8000
alb,1973,8000
alb,1974,8500
alb,1975,8500
alb,1976,8500
alb,1977,8500
alb,1978,9000
alb,1979,9000
alb,1980,9000
alb,1981,9376
alb,1982,9511
alb,1983,9815
alb,1984,8006
alb,1985,11399
