geo,time,ny_gdp_defl_zs_ad
abw,1990,66.88559
abw,1991,70.63929
abw,1992,73.31834
abw,1993,77.20166
abw,1994,82.0678
abw,1995,84.834
abw,1996,87.61674
abw,1997,90.86345
abw,1998,96.83241
abw,1999,98.9626
abw,2000,100
abw,2001,105.62906
abw,2002,110.41139
abw,2003,112.72794
abw,2004,115.17522
abw,2005,119.01378
abw,2006,122.51908
abw,2007,129.80873
abw,2008,136.39377
abw,2009,138.74939
abw,2010,137.80998
abw,2011,142.09215
abw,2012,143.21338
abw,2013,146.50106
abw,2014,149.50604
abw,2015,149.33031
abw,2016,148.58177
abw,2017,150.11336
afg,2002,40.31944
afg,2003,45.01877
afg,2004,50.09303
afg,2005,55.55957
afg,2006,59.55972
afg,2007,72.97719
afg,2008,74.507
afg,2009,72.89511
afg,2010,75.67579
afg,2011,88.23294
afg,2012,94.67549
afg,2013,99.24149
afg,2014,99.80413
afg,2015,102.2469
afg,2016,100
afg,2017,102.40366
afg,2018,104.52479
afg,2019,111.34136
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,0
ago,1993,0.00001
ago,1994,0.00023
ago,1995,0.0044
ago,1996,0.21543
ago,1997,0.42106
ago,1998,0.58678
ago,1999,3.85809
ago,2000,19.98565
ago,2001,41.24082
ago,2002,100
ago,2003,193.92686
ago,2004,258.77635
ago,2005,368.43427
ago,2006,431.50321
ago,2007,450.09416
ago,2008,537.27705
ago,2009,447.2236
ago,2010,591.51333
ago,2011,779.44627
ago,2012,836.00033
ago,2013,859.74097
ago,2014,890.35481
ago,2015,859.02869
ago,2016,1046.07565
ago,2017,1282.64055
ago,2018,1655.45227
ago,2019,2106.21596
alb,1989,5.5394
alb,1990,3.11902
alb,1991,4.22671
alb,1992,14.07431
alb,1993,31.75879
alb,1994,43.14193
alb,1995,47.38662
alb,1996,54.30554
alb,1997,60.40931
alb,1998,64.475
alb,1999,65.83122
alb,2000,69.54659
alb,2001,72.19905
alb,2002,74.83009
alb,2003,78.71909
alb,2004,81.20421
alb,2005,83.88678
alb,2006,85.96773
alb,2007,89.74163
alb,2008,93.43646
alb,2009,95.70009
alb,2010,100
alb,2011,102.31479
alb,2012,103.38134
alb,2013,103.67986
alb,2014,105.28677
alb,2015,105.88054
alb,2016,105.21091
alb,2017,106.73764
alb,2018,108.18863
alb,2019,108.58162
and,1989,51.60727
and,1990,43.29828
and,1991,46.30108
and,1992,49.40824
and,1993,51.65001
and,1994,53.65396
and,1995,56.30077
and,1996,56.74959
and,1997,58.01406
and,1998,58.88401
and,1999,60.49271
and,2000,77.87926
and,2001,80.27835
and,2002,82.879
and,2003,85.51246
and,2004,88.11412
and,2005,91.10656
and,2006,94.25628
and,2007,97.28307
and,2008,99.49561
and,2009,99.62708
and,2010,100
and,2011,100.19676
and,2012,100.37166
and,2013,100.82182
and,2014,100.73711
and,2015,101.40257
and,2016,101.75525
and,2017,102.9117
and,2018,103.95366
and,2019,105.52114
are,1989,38.99842
are,1990,40.29937
are,1991,40.62613
are,1992,41.36018
are,1993,41.88877
are,1994,41.77883
are,1995,43.41133
are,1996,45.91748
are,1997,45.48021
are,1998,43.54528
are,1999,47.22197
are,2000,52.63339
are,2001,51.39687
are,2002,53.33496
are,2003,55.50698
are,2004,60.22586
are,2005,70.17897
are,2006,78.57388
are,2007,88.4223
are,2008,104.80992
are,2009,88.89665
are,2010,100
are,2011,113.16539
are,2012,115.69762
are,2013,114.69434
are,2014,113.65576
are,2015,96.06347
are,2016,92.92665
are,2017,98.03311
are,2018,106.07823
are,2019,104.06282
arg,1989,1.02896
arg,1990,21.37372
arg,1991,51.4043
arg,1992,59.666
arg,1993,57.54124
arg,1994,59.18078
arg,1995,61.05393
arg,1996,61.02195
arg,1997,60.73886
arg,1998,59.70309
arg,1999,58.60661
arg,2000,59.21453
arg,2001,58.56568
arg,2002,76.46054
arg,2003,84.48561
arg,2004,100
arg,2005,110.31751
arg,2006,125.4763
arg,2007,144.22236
arg,2008,177.64036
arg,2009,204.95728
arg,2010,247.82435
arg,2011,306.56732
arg,2012,374.97745
arg,2013,464.78005
arg,2014,652.00726
arg,2015,825.31074
arg,2016,1164.6734
arg,2017,1467.56278
arg,2018,2054.76642
arg,2019,3094.94196
arm,1990,0.00193
arm,1991,0.00346
arm,1992,0.02315
arm,1993,0.34519
arm,1994,14.5231
arm,1995,37.92911
arm,1996,45.36009
arm,1997,53.40516
arm,1998,59.11871
arm,1999,59.15051
arm,2000,58.33798
arm,2001,60.68781
arm,2002,62.11847
arm,2003,64.975
arm,2004,69.05451
arm,2005,71.2703
arm,2006,74.56157
arm,2007,77.75123
arm,2008,82.40818
arm,2009,84.46613
arm,2010,91.02806
arm,2011,94.92547
arm,2012,100
arm,2013,103.36682
arm,2014,105.75375
arm,2015,107.03751
arm,2016,107.32498
arm,2017,109.63316
arm,2018,112.68941
arm,2019,114.33774
asm,2002,69.7422
asm,2003,70.92867
asm,2004,68.54083
asm,2005,67.60753
asm,2006,69.56522
asm,2007,71.52682
asm,2008,79.51977
asm,2009,100
asm,2010,84.5815
asm,2011,84.041
asm,2012,98.62175
asm,2013,100.94488
asm,2014,100.15601
asm,2015,101.69231
asm,2016,103.16456
asm,2017,101.17647
asm,2018,104.60526
atg,1989,75.02613
atg,1990,76.26535
atg,1991,78.25313
atg,1992,80.17917
atg,1993,81.63301
atg,1994,84.28166
atg,1995,86.30726
atg,1996,88.87678
atg,1997,90.50082
atg,1998,92.4103
atg,1999,93.80035
atg,2000,92.67975
atg,2001,94.0538
atg,2002,94.71388
atg,2003,93.89471
atg,2004,95.34024
atg,2005,99.59398
atg,2006,100
atg,2007,103.73413
atg,2008,108.27838
atg,2009,110.26738
atg,2010,111.89201
atg,2011,113.02818
atg,2012,115.32911
atg,2013,114.23747
atg,2014,116.42112
atg,2015,119.93414
atg,2016,122.17977
atg,2017,121.04223
atg,2018,123.2614
atg,2019,121.92789
aus,1989,50.52637
aus,1990,48.95267
aus,1991,50.44121
aus,1992,51.19912
aus,1993,51.65648
