geo,time,dt_tds_dect_gn_zs
afg,2009,0.0886
afg,2010,0.06661
afg,2011,0.05683
afg,2012,0.07339
afg,2013,0.12157
afg,2014,0.20539
afg,2015,0.28027
afg,2016,0.3306
afg,2017,0.3324
afg,2018,0.34009
afg,2019,0.28932
afg,2020,0.22569
afg,2021,0.17508
ago,1989,2.65171
ago,1990,3.25065
ago,1991,3.66209
ago,1992,7.01732
ago,1993,4.77364
ago,1994,13.33482
ago,1995,9.7994
ago,1996,17.08926
ago,1997,15.01919
ago,1998,27.66689
ago,1999,30.17545
ago,2000,23.10317
ago,2001,30.35991
ago,2002,10.62272
ago,2003,9.25474
ago,2004,8.94788
ago,2005,7.93708
ago,2006,9.586
ago,2007,7.79529
ago,2008,2.18486
ago,2009,6.35064
ago,2010,4.01219
ago,2011,3.92376
ago,2012,5.27325
ago,2013,4.74238
ago,2014,6.46058
ago,2015,10.44181
ago,2016,23.22697
ago,2017,14.18249
ago,2018,15.38841
ago,2019,18.86209
ago,2020,17.37759
ago,2021,18.27993
alb,1991,0.33103
alb,1992,0.32748
alb,1993,0.66196
alb,1994,0.96485
alb,1995,0.42758
alb,1996,0.65041
alb,1997,1.04568
alb,1998,0.81698
alb,1999,0.77944
alb,2000,0.83742
alb,2001,0.97801
alb,2002,1.3642
alb,2003,0.99408
alb,2004,1.03375
alb,2005,1.27709
alb,2006,1.97837
alb,2007,1.60028
alb,2008,1.95344
alb,2009,2.06027
alb,2010,3.22264
alb,2011,3.7421
alb,2012,4.43692
alb,2013,4.23445
alb,2014,5.48833
alb,2015,10.24059
alb,2016,4.89808
alb,2017,3.9309
alb,2018,7.17254
alb,2019,4.2069
alb,2020,7.68155
alb,2021,4.91032
arg,1970,3.67848
arg,1971,3.20582
arg,1972,3.3343
arg,1973,2.63504
arg,1974,2.28819
arg,1975,3.04981
arg,1976,3.19852
arg,1977,3.32223
arg,1978,5.77503
arg,1979,3.32488
arg,1980,5.58549
arg,1981,7.04301
arg,1982,6.17645
arg,1983,6.95889
arg,1984,8.40512
arg,1985,7.44708
arg,1986,6.93891
arg,1987,5.91383
arg,1988,4.18792
arg,1989,6.24736
arg,1990,4.57624
arg,1991,2.96386
arg,1992,2.18859
arg,1993,2.51228
arg,1994,2.27929
arg,1995,3.50851
arg,1996,4.86177
arg,1997,5.62365
arg,1998,6.6437
arg,1999,9.16856
arg,2000,8.98216
arg,2001,6.92978
arg,2002,5.74223
arg,2003,11.70762
arg,2004,8.81548
arg,2005,5.73353
arg,2006,8.43671
arg,2007,3.14675
arg,2008,2.72067
arg,2009,4.58338
arg,2010,3.82191
arg,2011,3.06568
arg,2012,2.54873
arg,2013,2.91982
arg,2014,3.30202
arg,2015,3.06755
arg,2016,4.75378
arg,2017,6.44852
arg,2018,8.49681
arg,2019,10.19726
arg,2020,7.83172
arg,2021,5.42856
arm,1993,0.16674
arm,1994,0.33865
arm,1995,0.74787
arm,1996,2.60097
arm,1997,1.37993
arm,1998,3.14365
arm,1999,3.32279
arm,2000,2.45429
arm,2001,2.56604
arm,2002,3.36122
arm,2003,4.28398
arm,2004,4.63095
arm,2005,2.78606
arm,2006,2.31868
arm,2007,2.00998
arm,2008,2.98572
arm,2009,4.70579
arm,2010,9.97485
arm,2011,8.91341
arm,2012,10.65149
arm,2013,17.33273
arm,2014,11.83997
arm,2015,14.07469
arm,2016,13.52915
arm,2017,12.01355
arm,2018,13.17078
arm,2019,15.01839
arm,2020,15.79666
arm,2021,15.24086
aze,1994,0.02931
aze,1995,0.41986
aze,1996,0.31082
aze,1997,1.96985
aze,1998,0.5347
aze,1999,1.43762
aze,2000,2.66641
aze,2001,2.52716
aze,2002,2.7074
aze,2003,3.16146
aze,2004,2.91009
aze,2005,2.06542
aze,2006,1.52636
aze,2007,0.95691
aze,2008,0.75616
aze,2009,0.88788
aze,2010,0.8329
