geo,time,sl_uem_advn_zs
afg,2014,7.86
afg,2017,15.46
ago,2004,15.89
ago,2009,6.12
ago,2011,12.64
ago,2014,5.75
alb,2007,15.61
alb,2008,12.68
alb,2009,16.2
alb,2010,14.14
alb,2011,15.6
alb,2012,15.77
alb,2013,14.9
alb,2014,17.84
alb,2015,19.28
alb,2016,17.05
alb,2017,13.69
alb,2018,15.09
alb,2019,14.86
are,1995,2.16
are,2005,4.05
are,2017,3.85
arg,2002,13.78
arg,2003,11.68
arg,2004,5.73
arg,2005,5.02
arg,2006,3.77
arg,2008,3.83
arg,2009,4.06
arg,2010,3.05
arg,2011,2.92
arg,2012,2.99
arg,2013,3.24
arg,2014,3.25
arg,2017,3.27
arg,2018,3.64
arg,2019,3.87
arm,2007,26.08
arm,2008,18.79
arm,2009,18.71
arm,2010,19.98
arm,2011,20.03
arm,2012,18.61
arm,2013,16.78
arm,2014,17.47
arm,2015,17.53
arm,2016,16.82
arm,2017,17.82
arm,2018,20.96
arm,2019,16.78
aus,1995,2.44
aus,1997,4.08
aus,1998,3.63
aus,2000,3.65
aus,2001,3.36
aus,2002,3.46
aus,2003,3.6
aus,2004,3.25
aus,2005,3.02
aus,2006,2.31
aus,2007,2.37
aus,2008,2.47
aus,2009,3.65
aus,2010,3.02
aus,2011,3.16
aus,2012,3.03
aus,2013,3.42
aut,1994,1.84
aut,1998,2.33
aut,1999,2.16
aut,2000,2.24
aut,2001,1.89
aut,2002,1.76
aut,2003,2.38
aut,2004,3.28
aut,2005,3.01
aut,2006,2.88
aut,2007,2.71
aut,2008,1.87
aut,2009,2.6
aut,2010,2.53
aut,2011,2.6
aut,2012,2.38
aut,2013,3.44
aut,2014,3.95
aut,2015,3.87
aut,2016,3.58
aut,2017,3.15
aut,2018,3.22
aut,2019,3
aze,2007,4.37
aze,2008,3.66
aze,2009,6.89
aze,2010,7.4
aze,2011,6.51
aze,2012,5.79
bdi,2014,14.83
bel,1998,3.87
bel,1999,3.73
bel,2000,2.66
bel,2001,3.12
bel,2002,3.48
bel,2003,3.81
bel,2004,3.66
bel,2005,4.41
bel,2006,4.5
bel,2007,3.76
bel,2008,3.63
bel,2009,4.48
bel,2010,4.45
bel,2011,3.79
bel,2012,3.94
bel,2013,4.91
bel,2014,4.67
bel,2015,4.59
bel,2016,4.2
bel,2017,4.28
bel,2018,3.45
bel,2019,3.15
ben,2011,12.1
bfa,2014,11.49
bfa,2018,11.09
bgd,2006,5.63
bgd,2010,3.89
bgd,2013,7
bgd,2016,9.03
bgd,2017,10.74
bgr,2000,6.7
bgr,2001,8.84
bgr,2002,8.23
bgr,2003,6.78
bgr,2004,5.79
bgr,2005,4.31
bgr,2006,3.97
bgr,2007,2.43
bgr,2008,2.29
bgr,2009,2.9
bgr,2010,4.56
bgr,2011,5.12
bgr,2012,5.83
bgr,2013,6.43
bgr,2014,5.1
bgr,2015,3.95
bgr,2016,3.37
bgr,2017,3.03
bgr,2018,2.31
bgr,2019,1.91
bhr,2011,2.5
bhr,2012,2.46
bhs,1994,7.24
bih,2006,1.3
bih,2007,9.68
bih,2008,9.79
bih,2009,9.86
bih,2010,15.46
bih,2011,14.64
bih,2012,19.1
bih,2013,16.92
bih,2014,21.06
bih,2015,20.45
bih,2016,21.36
bih,2017,16.71
bih,2018,15.37
bih,2019,13.27
blr,2016,3.68
blz,2005,5.22
blz,2012,9.69
blz,2013,5.83
blz,2014,6.37
blz,2015,5.35
blz,2016,5.4
blz,2017,3.9
bmu,2000,1.73
bmu,2009,2.82
bmu,2010,2.33
bmu,2012,4.37
bol,1996,9.02
bol,1997,6.79
bol,1999,3.86
bol,2000,11.4
bol,2001,4.21
bol,2002,5.59
bol,2005,7.65
bol,2006,6.19
bol,2007,8.02
bol,2008,4.61
bol,2009,6.3
bol,2011,3.12
bol,2012,4.05
bol,2013,4.44
bol,2014,3.21
bol,2015,3.77
bol,2016,6.21
bol,2017,6.42
bol,2018,5.99
bol,2019,7.08
bra,1995,2.4
bra,1996,2.98
bra,1997,3.35
bra,1998,3.62
bra,1999,4.23
bra,2001,3.69
bra,2002,3.54
bra,2003,4.06
bra,2004,3.62
bra,2005,3.95
bra,2006,3.7
bra,2007,3.83
bra,2008,3.85
bra,2009,3.91
bra,2011,3.52
bra,2012,1.08
bra,2013,1.38
bra,2014,1.25
bra,2015,5.07
bra,2016,6.33
bra,2017,7.02
bra,2018,6.86
bra,2019,6.82
brb,1997,2.72
brb,2003,5.22
brb,2015,5.23
brb,2016,4.56
brb,2017,4.08
brb,2018,5.21
brb,2019,4.17
brn,2014,4.58
brn,2017,7.48
brn,2018,8.76
brn,2019,6.19
btn,2012,6.12
btn,2013,18.27
bwa,2006,13.17
bwa,2009,4.37
bwa,2010,6.9
bwa,2019,16.07
can,1990,5.44
can,1991,7.03
can,1992,7.89
can,1993,8.2
can,1994,7.65
can,1995,6.84
can,1996,7.02
can,1997,6.46
can,1998,5.75
can,1999,5.3
can,2000,4.7
can,2001,5.32
can,2002,5.61
can,2003,5.64
can,2004,5.32
can,2005,5.04
can,2006,4.66
can,2007,4.4
can,2008,4.54
can,2009,6.18
can,2010,5.97
can,2011,5.54
can,2012,5.49
can,2013,5.24
can,2014,5.24
can,2015,5.23
can,2016,5.46
can,2017,5.02
can,2018,4.62
can,2019,4.41
can,2020,7.48
che,1991,1.23
che,1992,2.34
che,1993,2.26
che,1994,3.15
