geo,time,gc_xpn_othr_cn
afg,2006,68539208
afg,2007,18920000
afg,2008,4554303909.51
afg,2009,857354330.88779
afg,2010,632857366.13
afg,2011,1104403345.26
afg,2012,1582800670.7125
afg,2013,5754529713
afg,2014,3955903968.04
afg,2015,2566585263.1
afg,2016,14085087247.5599
afg,2017,3218111020.88959
ago,1999,374446765.4
ago,2000,817622551.4
ago,2001,2996673890
ago,2002,4480635794
ago,2003,5274943721
ago,2004,8639598987
ago,2005,23541331646
ago,2006,24661060323
ago,2007,24623627538
ago,2008,24830125335
ago,2009,16410508536
ago,2010,21905174426
ago,2011,30097586964
ago,2012,46755121931
ago,2013,34354203999
ago,2014,100208575485.42
ago,2015,63202571715.64
ago,2016,55817981804.2
ago,2017,98134206099.06
ago,2018,45600869748.14
ago,2019,104507936749.19
alb,1995,140000000
alb,1997,96404000
alb,2002,4214510000
alb,2003,4781000000
alb,2004,-12099000
alb,2011,15426060000
alb,2012,15550710000
alb,2013,14921820000
alb,2014,26731370000
alb,2015,32367360000
alb,2016,18965700000
alb,2017,19251150000
alb,2018,17225260000
alb,2019,17859050000
alb,2020,18931590000
alb,2021,26138040000
are,2011,9618309217.52
are,2012,10069670690.92003
are,2013,7460571800.76
are,2014,7203802039.19
are,2015,3070955895.11
are,2016,2724494457.06
are,2017,2423737727.74
are,2018,3940012349.8
are,2019,3730503220.69
are,2020,2159509505.73458
are,2021,5208417153.01216
are,2022,9491265426.11953
arg,1990,34700000
arg,1991,42900000
arg,1992,90300000
arg,1993,637100000
arg,1994,517700000
arg,1995,174800000
arg,1996,306400000
arg,1997,397600000
arg,1998,346700000
arg,1999,306800000
arg,2000,240700000
arg,2001,184200000
arg,2002,4259800000
arg,2003,7525583519.16
arg,2004,6113808293.1
arg,2014,98036900000
arg,2015,138864000000
arg,2016,183310000000
arg,2017,245265200000
arg,2018,173990400000
arg,2019,227576157380.82001
arg,2020,271777942122.67001
arg,2021,498919400249.54999
arg,2022,744296133230.04004
arm,2004,20042500000
arm,2005,3303757700
arm,2006,21615673830
arm,2007,30404527510
arm,2008,169239185093.125
arm,2009,172001989480
arm,2010,161164369462
arm,2011,188310588770
arm,2012,179949000000
arm,2013,217733678641
arm,2014,174029626560
arm,2015,252448431100
arm,2016,197976262179.53
arm,2017,194118861299.20001
arm,2018,194885353918
arm,2019,215394316218
arm,2020,297131050970
arm,2021,301066255965
arm,2022,325553973362.59998
aus,1990,390000000
aus,1991,497000000
aus,1992,625000000
aus,1993,342000000
aus,1994,244000000
aus,1999,8018000000
aus,2000,9703000000
aus,2001,16339000000
aus,2002,17993000000
aus,2003,16261000000
aus,2004,16169000000
aus,2005,17291000000
aus,2006,19667000000
aus,2007,21341000000
aus,2008,22917000000
aus,2009,25091000000
aus,2010,29808000000
aus,2011,30184000000
