geo,time,dc_dac_cecl_cd
abw,1988,29999.99933
abw,1989,29999.99933
abw,1990,1000000
abw,1991,150000.00596
abw,1992,379999.99523
abw,1993,1759999.99046
abw,1994,2359999.8951
abw,1995,7860000.13351
abw,1996,-839999.97377
abw,1997,1240000.00954
abw,1998,409999.99642
abw,1999,-39999.99911
afg,1970,159999.99642
afg,1971,280000.00119
afg,1972,1340000.03338
afg,1973,2470000.02861
afg,1974,1289999.96185
afg,1975,460000.00834
afg,1976,1679999.94755
afg,1977,379999.99523
afg,1978,1590000.03338
afg,1979,29999.99933
afg,1987,1580000.04292
afg,1988,330000.01311
afg,1989,7739999.77112
afg,1990,2299999.95232
afg,1991,5639999.86649
afg,1992,13479999.54224
afg,1993,23819999.69482
afg,1994,23840000.15259
afg,1995,24559999.46594
afg,1996,38330001.83105
afg,1997,54810001.37329
afg,1998,43729999.54224
afg,1999,14670000.07629
afg,2000,17729999.54224
afg,2001,45790000.91553
afg,2002,143720001.2207
afg,2003,208029998.7793
afg,2004,212000000
afg,2005,256619995.11719
afg,2006,220899993.89648
afg,2007,307459991.45508
afg,2008,349309997.55859
afg,2009,395359985.35156
afg,2010,285019989.01367
afg,2011,363470001.2207
afg,2012,256600006.10352
afg,2013,250143081.66504
afg,2014,358899383.54492
afg,2015,192282699.58496
afg,2016,399811004.63867
afg,2017,414858337.40234
afg,2018,460745239.25781
afg,2019,415510925.29297
afg,2020,368857421.875
afg,2021,350229034.42383
afg,2022,340368560.79102
afg,2023,370065460.20508
ago,1975,140000.0006
ago,1976,1620000.00477
ago,1977,2019999.98093
ago,1978,5619999.88556
ago,1979,579999.98331
ago,1980,949999.98808
ago,1981,3160000.08583
ago,1982,1620000.00477
ago,1983,2539999.96185
ago,1984,8729999.54224
ago,1985,7170000.07629
ago,1986,9810000.41962
ago,1987,8329999.92371
ago,1988,21379999.16077
ago,1989,19559999.46594
ago,1990,53900001.52588
ago,1991,56759998.32153
ago,1992,60830001.83105
ago,1993,45569999.69482
ago,1994,56479999.54224
ago,1995,71410003.66211
ago,1996,94309997.55859
ago,1997,70239997.86377
ago,1998,65400001.52588
ago,1999,52950000.76294
ago,2000,36849998.47412
ago,2001,60459999.08447
ago,2002,62380001.06812
ago,2003,67629997.25342
ago,2004,76680000.30518
ago,2005,70290000.91553
ago,2006,48580001.83105
ago,2007,64860000.61035
ago,2008,49389999.38965
ago,2009,38900001.52588
ago,2010,24389999.38965
ago,2011,28100000.38147
ago,2012,26510000.22888
