geo,time,ny_gsr_nfcy_cd
abw,1986,-7318435.75419
abw,1987,-14413407.82123
abw,1988,-17039106.14525
abw,1989,-11284916.20112
abw,1990,-7765363.12849
abw,1991,-7765363.12849
abw,1992,-9664804.46927
abw,1993,-17877094.97207
abw,1994,-20000000
abw,1995,-15195530.72626
abw,1996,-17821229.05028
abw,1997,-23184357.5419
abw,1998,-5586592.17877
abw,1999,-42681564.24581
abw,2000,-24022346.36872
abw,2001,-57262569.8324
abw,2002,-135698324.02235
abw,2003,-53407821.22905
abw,2004,-74301675.97765
abw,2005,-478659217.8771
abw,2006,-105865921.78771
abw,2007,-384748603.35195
abw,2008,-116703910.61452
abw,2009,-88826815.64246
abw,2010,-140279329.60894
abw,2011,-246927374.30168
abw,2012,-116089385.47486
abw,2013,-164581005.58659
abw,2014,-102849162.01117
abw,2015,-124748603.35195
abw,2016,-135195530.72626
abw,2017,-170670614.52514
afg,1960,11111037.77778
afg,1961,11111128.88889
afg,1962,11111128.88889
afg,1963,15555515.55556
afg,1964,15555515.55556
afg,1965,20000000
afg,1966,28888888.88889
afg,1967,35555555.55556
afg,1968,28888888.88889
afg,1969,28888888.88889
afg,1970,35557777.77778
afg,1971,37777777.77778
afg,1972,35553333.33333
afg,1973,37775555.55556
afg,1974,46666666.66667
afg,1975,51111111.11111
afg,1976,55555555.55556
afg,1977,64444444.44444
afg,1978,71111111.11111
afg,1979,77803203.66133
afg,1980,74829931.97279
afg,1981,72727272.72727
afg,2001,0
afg,2009,-35470045.59518
afg,2010,27931206.51932
afg,2011,-19413367.77877
afg,2012,31644454.31106
afg,2013,71736683.86356
afg,2014,-2370555.21478
afg,2015,179966040.03546
afg,2016,179550017.89463
afg,2017,248317448.23269
afg,2018,190733865.98296
afg,2019,300942986.69304
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,-170966004772.26801
ago,1993,-16011142394.6828
ago,1994,-481074465.09101
ago,1995,-767257294.9385
ago,1996,-1696768951.82791
ago,1997,-917755953.19742
ago,1998,-968767354.92294
ago,1999,-1372030006.50313
ago,2000,-1680860003.18873
ago,2001,-1560987288.00112
ago,2002,-1634656383.38441
ago,2003,-1726480988.87091
ago,2004,-2488562607.28214
ago,2005,-4030890603.50554
ago,2006,-6177865357.02598
ago,2007,-7599031578.97481
ago,2008,-13717539306.4955
ago,2009,-6823138404.75392
ago,2010,-8086863659.16369
ago,2011,-9697321527.27211
ago,2012,-10421748807.9775
ago,2013,-9900056795.44708
ago,2014,-8849901929.14924
ago,2015,-5907539218.07886
ago,2016,-5273683298.05617
ago,2017,-7505615632.60927
ago,2018,-7829547501.20326
ago,2019,-7436493545.13853
alb,1984,3200000.02846
alb,1985,1400000.01245
alb,1986,100000
alb,1987,400000
alb,1988,200000
alb,1989,-100000
alb,1990,-1900000
alb,1991,-21700000
alb,1992,-35100000.66638
alb,1993,33900000.4899
alb,1994,13800004.86138
alb,1995,43600000
alb,1996,71800011.29198
alb,1997,50354960.46353
alb,1998,77080499.47076
alb,1999,75076762.49095
alb,2000,106378977.5568
alb,2001,148718444.24335
alb,2002,127461473.10154
alb,2003,171937109.55838
alb,2004,175598601.74188
alb,2005,174058633.04706
alb,2006,263021132.80477
alb,2007,297319979.785
alb,2008,54804356.89544
alb,2009,-192369391.47024
alb,2010,-119707419.03486
alb,2011,3115976.08622
alb,2012,-91061082.85683
