geo,time,gc_nfn_totl_gd_zs
afg,2006,11.1757
afg,2007,9.51806
afg,2008,39.61709
afg,2009,28.96107
afg,2010,31.40708
afg,2011,34.95439
afg,2012,25.16101
afg,2013,22.75841
afg,2014,15.05727
afg,2015,18.51212
ago,1999,18.07342
ago,2000,4.66849
ago,2001,5.72501
ago,2002,4.13096
ago,2003,14.62429
ago,2004,1.80343
ago,2005,2.91266
ago,2006,7.67214
ago,2007,10.59238
ago,2008,13.42145
ago,2009,8.53505
ago,2010,8.49923
ago,2011,7.26334
ago,2012,6.77537
ago,2013,11.61561
ago,2014,13.30616
ago,2015,4.07433
ago,2016,3.82695
alb,1995,4.88766
alb,1996,3.81321
alb,1997,3.80286
alb,1998,5.61957
alb,2002,6.6356
alb,2003,4.63509
alb,2004,5.18087
alb,2011,5.10959
alb,2012,4.39539
alb,2013,3.91293
alb,2014,4.03415
alb,2015,4.10938
alb,2016,3.87777
are,1997,0.17725
are,1998,0.3332
are,1999,0.25957
are,2011,0.4123
are,2012,0.4085
are,2013,0.15231
are,2014,0.38138
are,2015,0.63203
are,2016,0.61586
arg,1990,0.1699
arg,1991,0.18602
arg,1992,0.21497
arg,1993,0.3345
arg,1994,0.28912
arg,1995,0.23303
arg,1996,0.2093
arg,1997,0.2436
arg,1998,0.24349
arg,1999,0.19187
arg,2000,0.11692
arg,2001,0.10469
arg,2002,0.11031
arg,2003,0.2067
arg,2004,0.33419
arg,2014,0.67717
arg,2015,0.53885
arg,2016,0.51963
arm,2004,2.80979
arm,2005,2.83901
arm,2006,3.5209
arm,2007,5.70289
arm,2008,2.69934
arm,2009,6.73533
arm,2010,5.5253
arm,2011,4.61081
arm,2012,3.05898
arm,2014,2.76988
arm,2015,3.37031
arm,2016,3.30106
aus,1972,0.43774
aus,1973,0.3894
aus,1974,0.40754
aus,1975,0.70171
aus,1976,0.74987
aus,1977,0.57483
aus,1978,0.40454
aus,1979,0.272
aus,1980,0.27561
aus,1981,0.15555
aus,1982,0.26158
aus,1983,0.35901
aus,1984,0.31261
aus,1985,1.16648
aus,1986,1.22821
aus,1987,1.2523
aus,1988,0.89379
aus,1989,0.86729
aus,1990,0.96023
aus,1991,0.94698
aus,1992,1.00149
aus,1993,0.86151
aus,1994,0.76681
aus,1995,0.87547
aus,1996,0.81895
aus,1997,0.77336
aus,1998,0.78695
aus,1999,0.36314
aus,2000,0.18093
aus,2001,0.00018
aus,2002,0.00032
aus,2003,0.00031
aus,2004,0.0004
aus,2005,0.00072
aus,2006,0.00082
aus,2007,0.0008
aus,2008,0.00083
aus,2009,0.00096
aus,2010,0.00112
aus,2011,0.00098
aus,2012,0.00092
aus,2013,0.00058
aus,2014,0.00083
aus,2015,0.0009
aus,2016,0.00084
aut,1972,1.7022
aut,1973,1.56256
aut,1974,1.40325
aut,1975,1.58524
aut,1976,1.42862
aut,1977,1.40975
aut,1978,1.33507
aut,1979,1.43666
aut,1980,1.49016
aut,1981,1.49297
aut,1982,1.44342
aut,1983,1.40488
aut,1984,1.3813
aut,1985,1.30746
aut,1986,1.31681
aut,1987,1.01411
aut,1988,0.9767
aut,1989,0.99997
aut,1990,0.89924
aut,1991,0.86686
aut,1992,0.79488
aut,1993,0.76318
aut,1994,0.74499
aut,1995,1.49673
aut,1996,1.40391
aut,1997,1.26419
aut,1998,1.2659
aut,1999,1.24207
aut,2000,1.17673
aut,2001,1.20794
aut,2002,1.18495
aut,2003,1.12545
aut,2004,1.15665
aut,2005,1.66717
aut,2006,1.52272
aut,2007,1.86239
aut,2008,2.0103
aut,2009,1.94821
aut,2010,1.91697
aut,2011,1.82533
aut,2012,1.69687
aut,2013,1.77633
aut,2014,1.62463
aut,2015,1.67711
aut,2016,1.74416
aze,1994,2.57369
aze,1995,1.30279
aze,1996,0.90606
aze,1997,2.95714
aze,1998,4.44403
aze,1999,3.56439
aze,2008,11.22774
aze,2009,10.24058
aze,2010,10.51737
aze,2011,14.15959
aze,2012,13.13777
aze,2013,14.6028
aze,2014,13.17261
aze,2015,12.14546
bdi,1991,5.64706
bdi,1992,4.27793
bdi,1993,3.83194
bdi,1994,3.09086
bdi,1995,4.03698
bdi,1996,3.29494
bdi,1997,0.9825
bdi,1998,1.34496
bdi,1999,1.36946
bdi,2010,26.9346
bdi,2011,21.01766
bdi,2012,12.50694
bdi,2013,11.46794
bel,1995,0.38159
bel,1996,0.40558
bel,1997,0.39531
bel,1998,0.36372
bel,1999,0.37543
bel,2000,0.35081
bel,2001,0.28967
bel,2002,0.26162
bel,2003,0.2601
bel,2004,0.24193
bel,2005,0.22059
bel,2006,-0.06665
bel,2007,0.28063
bel,2008,0.39358
bel,2009,0.41726
bel,2010,0.34824
bel,2011,0.40509
bel,2012,0.41686
bel,2013,0.34962
bel,2014,0.2428
bel,2015,0.21668
bel,2016,0.23453
bfa,2002,7.99081
bfa,2003,8.33018
bfa,2004,10.049
bfa,2005,9.96747
bfa,2006,10.55137
bfa,2007,10.50181
bfa,2008,7.71152
bfa,2009,10.29033
bfa,2010,11.04224
bfa,2011,9.40013
bfa,2012,9.74687
bfa,2013,12.92808
bfa,2014,8.04898
bfa,2015,7.16125
bfa,2016,6.92165
bgd,2001,1.92078
bgd,2002,1.7681
bgd,2003,1.93454
bgd,2004,2.08714
bgd,2005,2.19398
bgd,2006,2.00285
bgd,2007,1.58019
bgd,2008,1.30275
bgd,2009,1.46254
bgd,2010,1.69584
bgd,2011,1.70901
bgd,2012,1.98452
bgd,2013,2.15796
bgd,2014,2.56866
bgd,2015,2.33594
bgd,2016,1.9863
bgr,1990,-0.282
bgr,1991,0.71113
bgr,1992,1.07918
bgr,1993,1.02175
bgr,1994,0.30708
bgr,1995,0.39665
bgr,1996,0.29491
bgr,1997,0.94014
bgr,1998,2.56262
bgr,1999,3.45632
bgr,2000,3.26422
bgr,2001,3.30027
bgr,2002,2.72918
bgr,2003,2.5757
bgr,2004,2.72656
bgr,2005,2.63326
bgr,2006,2.94014
bgr,2007,3.67078
bgr,2008,3.63222
bgr,2009,3.00108
bgr,2010,3.13407
bgr,2011,2.32673
bgr,2012,2.01063
bgr,2013,1.84966
bgr,2014,1.95123
bgr,2015,1.76964
bgr,2016,1.49337
bhr,1990,4.0423
bhr,1991,3.00974
bhr,1992,3.48063
bhr,1993,3.13949
bhr,1994,3.07102
bhr,1995,2.17527
bhr,1996,2.03546
bhr,1997,2.17351
bhr,1998,2.51156
bhr,1999,2.7237
bhr,2000,2.04833
bhr,2001,2.73774
bhr,2002,4.58532
bhr,2003,3.53015
bhr,2004,2.08314
bhr,2005,3.97524
bhr,2006,6.16015
bhr,2007,5.55842
bhr,2008,5.99764
bhr,2009,4.41774
bhr,2010,7.8148
bhr,2011,4.37448
bhr,2013,4.31702
bhs,1990,0.98863
bhs,1991,0.81963
bhs,1992,0.93921
bhs,1993,1.39069
bhs,1994,1.42375
bhs,1995,1.56022
bhs,1996,1.66251
bhs,1997,1.83612
bhs,1998,1.0863
bhs,1999,1.17632
bhs,2000,1.10353
bhs,2001,1.06037
bhs,2002,1.06067
bhs,2003,0.76437
bhs,2004,1.07893
bhs,2005,0.9831
bhs,2006,1.36203
bhs,2007,1.4722
bhs,2008,1.62337
bhs,2009,1.39818
bhs,2010,1.5102
bhs,2011,1.92683
bhs,2012,1.96799
bhs,2013,2.22283
bhs,2014,2.25271
bhs,2015,2.3427
bhs,2016,1.95883
bih,2005,1.24954
bih,2006,1.45047
bih,2007,1.81161
bih,2008,1.78008
bih,2009,2.09715
bih,2010,1.56793
bih,2011,2.09976
bih,2012,2.22829
bih,2013,3.39623
bih,2014,3.75595
bih,2015,1.45889
bih,2016,1.7971
blr,1992,5.21739
blr,1993,5.23858
blr,1994,5.25263
blr,1995,3.93755
blr,1996,4.64415
blr,1997,5.69425
blr,1998,4.14648
blr,1999,3.55809
blr,2000,3.27301
blr,2001,2.43205
blr,2002,0.8193
blr,2003,2.24204
blr,2004,2.34728
blr,2005,3.30299
blr,2006,3.27002
blr,2007,3.16202
blr,2008,2.56879
blr,2009,2.11293
blr,2010,1.56395
blr,2011,0.94433
blr,2012,1.33166
blr,2013,1.29669
blr,2014,1.04931
blr,2015,0.83012
blr,2016,0.80832
blz,1990,8.29176
blz,1991,10.57379
blz,1992,10.15123
blz,1993,7.98147
blz,1994,6.45989
blz,1995,4.47347
blz,1996,4.43554
blz,1997,3.25138
blz,1998,3.806
blz,1999,5.56396
blz,2000,7.08451
blz,2001,9.69115
blz,2002,7.76809
blz,2003,4.92806
blz,2004,4.82735
blz,2005,2.5572
blz,2006,3.1422
blz,2007,2.84102
blz,2008,3.63899
blz,2009,2.23795
blz,2010,3.04844
blz,2011,4.05499
blz,2012,3.59607
blz,2013,5.28785
blz,2014,5.69416
bol,1986,1.30096
bol,1987,0.25631
bol,1988,2.31179
bol,1989,2.13016
bol,1990,2.19062
bol,1991,2.30764
bol,1992,2.52884
bol,1993,3.52754
bol,1994,3.87642
bol,1995,3.07491
bol,1996,3.83066
bol,1997,2.3348
bol,1998,2.36212
bol,1999,2.64494
bol,2000,3.09426
bol,2001,1.81347
bol,2002,2.0084
bol,2003,2.17144
bol,2004,2.60506
bol,2005,3.7809
bol,2006,2.84501
bol,2007,2.96138
bra,1980,1.599
bra,1981,1.24918
bra,1982,1.43794
bra,1984,0.83361
bra,1985,0.67293
bra,1986,1.96424
bra,1989,-1.4889
bra,1990,-7.97785
bra,1991,-4.12591
bra,1992,-3.33205
bra,1993,-4.27528
bra,1994,-3.23086
bra,1997,-0.30142
bra,1998,-0.00209
bra,1999,-0.01861
bra,2000,-0.00932
bra,2001,-0.01378
bra,2002,-0.00895
bra,2003,0.30255
bra,2004,0.50251
bra,2005,0.61108
bra,2006,0.69728
bra,2007,0.79266
bra,2008,0.89747
bra,2009,1.0165
bra,2010,0.76562
bra,2011,0.49422
bra,2012,0.46603
bra,2013,0.54751
bra,2014,0.56297
bra,2015,0.36722
bra,2016,0.3209
brb,2003,3.88676
brb,2004,4.72638
brb,2005,2.28051
brb,2006,1.23965
brb,2007,5.72908
brb,2008,1.28881
brb,2009,0.82173
brb,2010,0.64614
brb,2011,0.47837
brb,2012,0.62182
brb,2013,0.96712
brb,2014,0.89723
brb,2015,0.87252
btn,1983,29.45896
btn,1984,24.28099
btn,1985,32.32693
btn,1986,26.34133
btn,1988,20.41115
btn,1989,14.21858
btn,1990,12.76183
btn,1991,11.2482
btn,1992,13.77202
btn,1993,13.42102
btn,1994,13.9543
btn,1995,16.86134
btn,1996,13.53584
btn,1997,15.29561
btn,1998,12.2979
btn,1999,22.87682
btn,2000,21.61875
btn,2001,26.07043
btn,2002,18.09009
btn,2003,14.79201
btn,2004,12.96233
btn,2005,9.64959
btn,2006,11.86192
