global,time,si_pov_umic
world,1981,66.4
world,1982,66.7
world,1983,67
world,1984,67
world,1985,66.9
world,1986,66.4
world,1987,66.8
world,1988,66.8
world,1989,66.7
world,1990,67.3
world,1991,67.7
world,1992,67.9
world,1993,68.3
world,1994,68.3
world,1995,67.5
world,1996,67.4
world,1997,66.9
world,1998,66.8
world,1999,67
world,2000,66
world,2001,65.2
world,2002,64.2
world,2003,63.4
world,2004,62.1
world,2005,60.5
world,2006,59.1
world,2007,57.7
world,2008,56.6
world,2009,55.7
world,2010,53.9
world,2011,52.2
world,2012,50.7
world,2013,48.8
world,2014,47.4
world,2015,46.2
world,2016,45
world,2017,43.6
