geo,time,ny_gdp_defl_kd_zg_ad
abw,1990,5.81574
abw,1991,5.61213
abw,1992,3.79257
abw,1993,5.29652
abw,1994,6.30315
abw,1995,3.37064
abw,1996,3.28021
abw,1997,3.70559
abw,1998,6.56915
abw,1999,2.19988
abw,2000,1.04827
abw,2001,5.62906
abw,2002,4.52748
abw,2003,2.09811
abw,2004,2.17096
abw,2005,3.33279
abw,2006,2.94529
abw,2007,5.94981
abw,2008,5.07288
abw,2009,1.72707
abw,2010,-0.67705
abw,2011,3.1073
abw,2012,0.78909
abw,2013,2.29565
abw,2014,2.05117
abw,2015,-0.11754
abw,2016,-0.50126
abw,2017,1.03081
afg,2003,11.65524
afg,2004,11.27143
afg,2005,10.91277
afg,2006,7.19975
afg,2007,22.52776
afg,2008,2.09629
afg,2009,-2.1634
afg,2010,3.81463
afg,2011,16.59335
afg,2012,7.30176
afg,2013,4.82279
afg,2014,0.56694
afg,2015,2.44756
afg,2016,5.10271
afg,2017,1.94772
afg,2018,0.61776
afg,2019,2.2391
ago,1990,14.00744
ago,1991,106.30998
ago,1992,476.51575
ago,1993,917.78347
ago,1994,2175.97896
ago,1995,1825.49515
ago,1996,4800.53164
ago,1997,95.45302
ago,1998,39.35935
ago,1999,557.50111
ago,2000,418.01899
ago,2001,106.35213
ago,2002,142.4782
ago,2003,93.92685
ago,2004,33.44018
ago,2005,42.37556
ago,2006,17.1181
ago,2007,4.30842
ago,2008,19.36992
ago,2009,-16.76108
ago,2010,31.6892
ago,2011,31.77154
ago,2012,7.25571
ago,2013,2.83974
ago,2014,3.56082
ago,2015,-3.51839
ago,2016,21.7743
ago,2017,22.6145
ago,2018,29.06588
ago,2019,35.90052
alb,1990,-0.43137
alb,1991,35.51425
alb,1992,232.98466
alb,1993,125.65081
alb,1994,35.84248
alb,1995,9.8389
alb,1996,14.601
alb,1997,11.23968
alb,1998,6.73025
alb,1999,2.10348
alb,2000,5.64378
alb,2001,3.81393
alb,2002,3.64415
alb,2003,5.19711
alb,2004,3.15694
alb,2005,3.30349
alb,2006,2.48067
alb,2007,4.3899
alb,2008,4.11719
alb,2009,2.42265
alb,2010,4.49311
alb,2011,2.31479
alb,2012,1.04242
alb,2013,0.28875
alb,2014,1.54988
alb,2015,0.56396
alb,2016,-0.63244
alb,2017,1.45112
alb,2018,1.3594
alb,2019,0.38151
and,1990,7.32624
and,1991,6.93515
and,1992,6.71077
and,1993,4.53723
and,1994,3.87985
and,1995,4.93312
and,1996,0.79718
and,1997,2.22816
and,1998,1.49956
and,1999,2.73198
and,2000,28.74155
and,2001,3.08054
and,2002,3.23953
and,2003,3.17748
and,2004,3.04242
and,2005,3.3961
and,2006,3.45718
and,2007,3.21123
and,2008,2.27434
and,2009,0.13214
and,2010,0.37431
and,2011,0.19676
and,2012,0.17456
and,2013,0.44849
and,2014,-0.08402
and,2015,0.66059
and,2016,0.3478
and,2017,1.13651
and,2018,1.01248
and,2019,1.50786
are,1990,3.3359
are,1991,0.81085
are,1992,1.80683
are,1993,1.27804
are,1994,-0.26247
are,1995,3.90748
are,1996,5.77304
are,1997,-0.9523
are,1998,-4.25445
are,1999,8.44338
are,2000,11.45954
are,2001,-2.34931
are,2002,3.77084
are,2003,4.07241
are,2004,8.50142
are,2005,16.52631
are,2006,11.96215
are,2007,12.53396
are,2008,18.53335
are,2009,-15.18298
are,2010,12.49018
are,2011,13.16539
are,2012,2.23763
are,2013,-0.86715
are,2014,-0.90552
are,2015,-15.47857
are,2016,-3.26537
are,2017,5.49515
are,2018,8.20654
are,2019,-1.89993
arg,1990,2078.31682
arg,1991,140.50238
arg,1992,16.07199
arg,1993,-3.5611
arg,1994,2.84934
arg,1995,3.16512
arg,1996,-0.05238
arg,1997,-0.46391
arg,1998,-1.70528
arg,1999,-1.83656
arg,2000,1.03729
arg,2001,-1.09577
arg,2002,30.5552
arg,2003,10.4957
arg,2004,18.36335
arg,2005,10.31751
arg,2006,13.74105
arg,2007,14.93993
arg,2008,23.17116
arg,2009,15.37765
arg,2010,20.91512
arg,2011,23.70347
arg,2012,22.31488
arg,2013,23.9488
arg,2014,40.28297
arg,2015,26.57999
arg,2016,41.11938
arg,2017,26.00748
arg,2018,40.70279
arg,2019,51.50834
arm,1991,79.3861
arm,1992,568.8073
arm,1993,1391.16654
arm,1994,4107.29677
arm,1995,161.16392
arm,1996,19.59177
arm,1997,17.73599
arm,1998,10.6985
arm,1999,0.0538
arm,2000,-1.37368
arm,2001,4.02797
arm,2002,2.3574
arm,2003,4.59852
arm,2004,6.27859
arm,2005,3.20876
arm,2006,4.61801
arm,2007,4.27788
arm,2008,5.98956
arm,2009,2.49725
arm,2010,7.76872
arm,2011,4.28155
arm,2012,5.3458
arm,2013,3.36682
arm,2014,2.30918
arm,2015,1.21391
arm,2016,0.26858
arm,2017,2.15064
arm,2018,2.78771
arm,2019,1.46271
asm,2003,1.70122
asm,2004,-3.36653
asm,2005,-1.36167
asm,2006,2.89567
asm,2007,2.81981
asm,2008,11.17476
asm,2009,25.75488
asm,2010,-15.4185
asm,2011,-0.63903
asm,2012,17.34957
asm,2013,2.3556
asm,2014,-0.78149
asm,2015,1.53391
asm,2016,1.44775
asm,2017,-1.9271
asm,2018,3.38892
atg,1990,1.65026
atg,1991,2.60617
atg,1992,2.46161
atg,1993,1.81287
atg,1994,3.24533
atg,1995,2.40314
atg,1996,2.97713
atg,1997,1.82738
atg,1998,2.11012
atg,1999,1.50362
atg,2000,-1.19467
atg,2001,1.48386
atg,2002,0.7015
atg,2003,-0.9631
atg,2004,1.64142
atg,2005,4.46042
atg,2006,0.40827
atg,2007,3.73883
atg,2008,4.38021
atg,2009,1.78801
atg,2010,1.51798
atg,2011,1.01542
atg,2012,2.03571
atg,2013,-0.94654
atg,2014,1.9115
atg,2015,3.0175
atg,2016,1.87239
atg,2017,-0.93103
atg,2018,2.16464
atg,2019,2.50891
aus,1990,6.095
aus,1991,3.03971
aus,1992,1.50224
aus,1993,0.89386
aus,1994,1.02118
aus,1995,2.26277
aus,1996,2.6958
aus,1997,1.23327
aus,1998,1.27294
aus,1999,0.35706
aus,2000,2.57974
aus,2001,4.62081
aus,2002,2.86039
aus,2003,3.11357
aus,2004,3.31104
aus,2005,3.79719
aus,2006,5.09231
aus,2007,5.01163
aus,2008,4.52558
aus,2009,5.00188
aus,2010,1.16723
aus,2011,6.25273
aus,2012,1.85653
aus,2013,-0.12418
aus,2014,1.47957
aus,2015,-0.54965
aus,2016,-0.533
aus,2017,3.74073
aus,2018,1.89462
aus,2019,3.30387
aut,1990,2.99968
aut,1991,3.64187
aut,1992,3.47909
aut,1993,2.75708
aut,1994,2.52494
aut,1995,1.81392
aut,1996,0.98621
aut,1997,1.267
aut,1998,0.44191
aut,1999,0.25635
aut,2000,1.36404
aut,2001,1.94711
aut,2002,1.1456
aut,2003,1.30755
aut,2004,1.73972
aut,2005,2.53779
aut,2006,1.89216
aut,2007,2.22118
aut,2008,1.95632
aut,2009,1.88926
aut,2010,0.87305
aut,2011,1.83341
aut,2012,2.05424
aut,2013,1.62389
aut,2014,2.17571
aut,2015,2.30098
aut,2016,1.66763
aut,2017,1.1328
aut,2018,1.70225
aut,2019,1.72199
aze,1991,83.54951
aze,1992,1065.32923
aze,1993,747.12453
aze,1994,1386.06739
aze,1995,545.65636
aze,1996,26.41916
aze,1997,9.2425
aze,1998,-0.96513
aze,1999,2.16214
aze,2000,12.49277
aze,2001,2.51501
aze,2002,4.21439
aze,2003,6.96147
aze,2004,9.25197
aze,2005,14.7235
aze,2006,11.32919
aze,2007,20.58248
aze,2008,27.97104
aze,2009,-18.89891
aze,2010,13.82722
aze,2011,24.60695
aze,2012,2.84498
aze,2013,0.41316
aze,2014,-1.3302
aze,2015,-8.80962
