geo,time,sh_dyn_nmrt
afg,1987,78.8
afg,1988,77.2
afg,1989,75.7
afg,1990,74.3
afg,1991,72.9
afg,1992,71.4
afg,1993,69.9
afg,1994,68.4
afg,1995,67
afg,1996,65.7
afg,1997,64.3
afg,1998,63.1
afg,1999,61.9
afg,2000,60.6
afg,2001,59.4
afg,2002,58.2
afg,2003,56.9
afg,2004,55.6
afg,2005,54.3
afg,2006,52.9
afg,2007,51.5
afg,2008,50.1
afg,2009,48.6
afg,2010,47.2
afg,2011,45.8
afg,2012,44.4
afg,2013,43
afg,2014,41.6
afg,2015,40.3
afg,2016,39.1
afg,2017,38
afg,2018,36.9
afg,2019,35.9
ago,1989,53.3
ago,1990,53.3
ago,1991,53.3
ago,1992,53.4
ago,1993,53.3
ago,1994,53.3
ago,1995,53.2
ago,1996,52.9
ago,1997,52.5
ago,1998,51.9
ago,1999,51.1
ago,2000,50.3
ago,2001,49.2
ago,2002,47.9
ago,2003,46.6
ago,2004,45.2
ago,2005,43.6
ago,2006,42
ago,2007,40.4
ago,2008,39
ago,2009,37.6
ago,2010,36.2
ago,2011,34.9
ago,2012,33.7
ago,2013,32.7
ago,2014,31.6
ago,2015,30.6
ago,2016,29.8
ago,2017,29
ago,2018,28.3
ago,2019,27.6
alb,1979,23.1
alb,1980,21.5
alb,1981,20
alb,1982,18.6
alb,1983,17.3
alb,1984,16.2
alb,1985,15.2
alb,1986,14.5
alb,1987,14
alb,1988,13.5
alb,1989,13
alb,1990,12.6
alb,1991,12.4
alb,1992,12.3
alb,1993,12.3
alb,1994,12.4
alb,1995,12.5
alb,1996,12.6
alb,1997,12.7
alb,1998,12.7
alb,1999,12.5
alb,2000,12.2
alb,2001,11.8
alb,2002,11.4
alb,2003,11.1
alb,2004,10.9
alb,2005,10.6
alb,2006,10
alb,2007,9.2
alb,2008,8.3
alb,2009,7.4
alb,2010,6.7
alb,2011,6.2
alb,2012,6
alb,2013,5.9
alb,2014,5.9
alb,2015,6
alb,2016,6.3
alb,2017,6.7
alb,2018,7.2
alb,2019,7.5
and,1989,7.4
and,1990,7
and,1991,6.6
