geo,time,bm_gsr_gnfs_cd
abw,1986,261005586.59218
abw,1987,312625698.32402
abw,1988,439888268.15642
abw,1989,497597765.36313
abw,1990,715754189.94413
abw,1991,1550670391.06145
abw,1992,1606536312.84916
abw,1993,1715586592.17877
abw,1994,1835977653.63128
abw,1995,2017932960.89385
abw,1996,2559217877.09497
abw,1997,2711955307.26257
abw,1998,2071229050.27933
abw,1999,1590245810.05586
abw,2000,1505843575.41899
abw,2001,1587748603.35195
abw,2002,1586519553.07262
abw,2003,1790519553.07262
abw,2004,4234374301.67597
abw,2005,5007906282.35272
abw,2006,5479533272.29581
abw,2007,5911452513.96648
abw,2008,6811899441.34078
abw,2009,3145754189.94413
abw,2010,2073575418.99441
abw,2011,6760111731.84357
abw,2012,2869385474.86033
abw,2013,2261313558.85103
abw,2014,2258694733.99913
abw,2015,2133814990.29159
abw,2016,2010923827.66032
abw,2017,2038113882.34816
abw,2018,2269613874.50068
abw,2019,2240027486.0453
abw,2020,1644444117.51288
abw,2021,1947388024.99818
abw,2022,2428941212.84215
abw,2023,2565437074.87096
afg,1979,773900000
afg,1980,917600000
afg,1981,1060400000
afg,1982,969500000
afg,1983,1041500000
afg,1984,1400900000
afg,1985,1075700000
afg,1986,1320100000
afg,1987,1060800000
afg,1988,851800000
afg,1989,726900000
afg,2008,3731566983.04508
afg,2009,4067099313.62424
afg,2010,5771312262.28346
afg,2011,7207294480.21818
afg,2012,9771239684.44182
afg,2013,10054627253.622
afg,2014,8246630206.61261
afg,2015,8462264707.36776
afg,2016,7327477073.75444
afg,2017,7956456168.29306
afg,2018,7987638963.17731
afg,2019,7370819804.67106
afg,2020,6982852962.73388
ago,1985,2042000000
ago,1986,1673000000
ago,1987,1726000000
ago,1988,2506000000
ago,1989,2513000000
ago,1990,3385500000
ago,1991,3186300000
ago,1992,4030416000
ago,1993,3024500000
ago,1994,3017000000
ago,1995,3519068000
ago,1996,4463751000
ago,1997,5202420000
ago,1998,4714530000
ago,1999,5703640000
ago,2000,5738980000
ago,2001,6697310000
