geo,time,ne_imp_gnfs_cn
abw,1995,2044000000
abw,1996,2191000000
abw,1997,2365000000
abw,1998,2493000000
abw,1999,2610000000
abw,2000,2370470000
abw,2001,2355700000
abw,2002,2411360000
abw,2003,2563580000
abw,2004,2735110000
abw,2005,3251755000
abw,2006,3379719000
abw,2007,3590470000
abw,2008,3744540000
abw,2009,3411920000
abw,2010,3304779000
abw,2011,3998713000
abw,2012,3910771000
abw,2013,4167170000
abw,2014,4226623000
abw,2015,3870610000
abw,2016,3760890000
abw,2017,3944317000
abw,2018,4278690000
abw,2019,4383130000
abw,2020,3160618900
abw,2021,3999667300
abw,2022,5007946700
abw,2023,5319749100
afg,1960,1700000100
afg,1961,2000000100
afg,1962,2300000000
afg,1963,5700002300
afg,1964,6500000300
afg,1965,9699999700
afg,1966,11699999700
afg,1967,10700000300
afg,1968,9400000500
afg,1969,9500000300
afg,1970,9400000500
afg,1971,13299999700
afg,1972,12999999500
afg,1973,11500000300
afg,1974,14400000000
afg,1975,15200000000
afg,1976,17100000300
afg,1977,19700000800
afg,1978,20600000500
afg,2020,557025000000
afg,2021,463804000000
afg,2022,699545000000
afg,2023,685342000000
ago,2002,320827000000
ago,2003,658887000000
ago,2004,889334000000
ago,2005,1323249000000
ago,2006,1311648000000
ago,2007,2010258000000
ago,2008,3247914000000
ago,2009,3552144000000
ago,2010,3279403000000
ago,2011,4128189000000
ago,2012,4383863000000
ago,2013,4758758000000
ago,2014,4961483000000
ago,2015,4622278000000
ago,2016,4178049000000
ago,2017,4711535000000
ago,2018,6545767000000
ago,2019,5167936000000
ago,2020,8758126764300
ago,2021,11899657221500
ago,2022,13202252708400
ago,2023,16232850572900
ago,2024,19804631888500
alb,1980,3528600100
alb,1981,3458100000
alb,1982,3950299900
alb,1983,3480100100
alb,1984,3199200000
alb,1985,3111200000
alb,1986,2689799900
alb,1987,2684999900
alb,1988,3268600100
alb,1989,3870400000
alb,1990,3900000000
alb,1991,4526159900
alb,1992,47116841000
alb,1993,78077476900
alb,1994,73184157700
alb,1995,75049907400
alb,1996,111258334500
alb,1997,116720241600
alb,1998,141125178300
alb,1999,151572820300
alb,2000,217213567800
alb,2001,254440121300
alb,2002,290469697900
alb,2003,312933154300
alb,2004,330688426800
alb,2005,384867229600
alb,2006,428141815200
alb,2007,530598326100
alb,2008,563565328000
alb,2009,570299749900
alb,2010,602020644700
alb,2011,676025747300
alb,2012,634054346900
alb,2013,633949768800
alb,2014,658512016900
alb,2015,638748757200
alb,2016,674866037300
alb,2017,722979948200
alb,2018,740394763500
alb,2019,760932294600
alb,2020,612382086400
alb,2021,829872668600
alb,2022,1021147930000
alb,2023,1038696650000
alb,2024,1086936919900
are,2001,154441000000
are,2002,175711000000
are,2003,211786000000
are,2004,288027000000
are,2005,344710000000
are,2006,414737000000
are,2007,610128000000
are,2008,806901000000
are,2009,687271000000
are,2010,655948000000
are,2011,793161000000
are,2012,880477000000
are,2013,927341000000
are,2014,1010345000000
are,2015,987900000000
are,2016,994200000000
are,2017,1047900000000
are,2018,1033940000000
are,2019,1123800000000
are,2020,1091570471600
are,2021,1276300000000
are,2022,1571800000000
are,2023,1769600000000
arg,1960,0.01
arg,1961,0.01
arg,1962,0.02
arg,1963,0.02
arg,1964,0.02
arg,1965,0.02
arg,1966,0.03
arg,1967,0.04
arg,1968,0.05
arg,1969,0.07
arg,1970,0.05684
arg,1971,0.11
arg,1972,0.19
arg,1973,0.27
arg,1974,0.41
arg,1975,1.16
arg,1976,6.06
arg,1977,20.8
arg,1978,40.5
arg,1979,122.3
arg,1980,249
arg,1981,551
arg,1982,1425
arg,1983,6390
arg,1984,37620
arg,1985,332800
arg,1986,631400
arg,1987,1767600
arg,1988,6899000
arg,1989,213438000
arg,1990,3192000000
arg,1991,10995000300
arg,1992,18432000000
arg,1993,22027600000
arg,1994,27299960000
arg,1995,26038017000
arg,1996,30148400000
arg,1997,37413700000
arg,1998,38667300000
arg,1999,32762700000
arg,2000,33070146000
arg,2001,27603881800
arg,2002,41792344100
arg,2003,55310591200
arg,2004,81717784000
arg,2005,100810527400
arg,2006,124615919300
arg,2007,163989685500
arg,2008,210865476200
arg,2009,180901597000
arg,2010,266493339800.00003
arg,2011,365137889200
arg,2012,376923145200
arg,2013,492762377400
arg,2014,641132317100
arg,2015,701475564700
arg,2016,1116297348400
arg,2017,1489161194300
arg,2018,2407215704200
arg,2019,3170328026300
arg,2020,3700067903800
arg,2021,6938399756900
arg,2022,12645628820200
arg,2023,26588577900900
arg,2024,74289245636400
arm,1990,23310000
arm,1991,47910000
arm,1992,190010000
arm,1993,2562860000
arm,1994,136747000000
arm,1995,324775000000
arm,1996,370208000000
arm,1997,468722000000
arm,1998,504820000000
arm,1999,491769000000
arm,2000,516410800000
arm,2001,537592200000
arm,2002,628813300000
arm,2003,805308900000
arm,2004,856283800000
arm,2005,960548300000
