geo,time,ne_exp_gnfs_kd
abw,2015,2158563998.46023
ago,2000,4698226837.50268
ago,2001,8492185425.11122
ago,2002,21231127896.6673
ago,2003,20955123234.0107
ago,2004,23698148866.4326
ago,2005,29132134397.4761
ago,2006,33295116404.21749
ago,2007,38808787682.0393
ago,2008,42930280934.1547
ago,2009,41792405729.0894
ago,2010,40798192743.6504
ago,2011,38707652003.8045
ago,2012,40720397460.7471
ago,2013,40242380406.2121
ago,2014,40525941228.6008
ago,2015,34572954933.6294
ago,2016,28213078498.0573
ago,2017,27037457233.4846
ago,2018,27371154321.8075
ago,2019,27596078456.3822
ago,2020,25728612884.1738
alb,1996,326110909.46628
alb,1997,266515973.36608
alb,1998,356690611.45436
alb,1999,617416440.82587
alb,2000,857473552.84625
alb,2001,990001723.32942
alb,2002,1025169993.46919
alb,2003,1145867883.67374
alb,2004,1357667802.71779
alb,2005,1687133447.42327
alb,2006,1972721413.1949
alb,2007,2349750107.0369
alb,2008,2241059910.99381
alb,2009,2346653428.35457
alb,2010,2797058891.28665
alb,2011,2983730553.10632
alb,2012,2992496411.7722
alb,2013,3040043332.37393
alb,2014,3075090638.50268
alb,2015,3104896170.82018
alb,2016,3457014342.65765
alb,2017,3914838931.5995
alb,2018,4075454945.44356
alb,2019,4321092463.57265
alb,2020,3213125968.16017
are,2001,95474047475.11969
are,2002,98481870208.5612
are,2003,121044259825.13
are,2004,150753828466.017
are,2005,168063768037.67099
are,2006,187443612335.936
are,2007,203998754765.74799
are,2008,229366458070.923
are,2009,219505407869.68201
are,2010,233246030046.89896
are,2011,270719860243.00696
are,2012,317971273999.13293
are,2013,337346841915.87402
are,2014,343426153454.40503
are,2015,361252552756.97803
are,2016,373553486078.77802
are,2017,364138216219.94098
are,2018,406017736463.53998
are,2019,394116744827.14203
arg,1960,5232423634.25965
arg,1961,4675767446.10019
arg,1962,6791012782.95969
arg,1963,6791012782.95969
arg,1964,6234376464.02792
arg,1965,6791012782.95969
arg,1966,7904292800.82206
arg,1967,7904292800.82206
