geo,time,gc_xpn_trft_cn
afg,2006,4073372657.03
afg,2007,5972702686.46
afg,2008,19325024405.569
afg,2009,12106846270.88671
afg,2010,6741202271.56089
afg,2011,10428443522.0714
afg,2012,11725609432.54
afg,2013,13828437551.1
afg,2014,20363505206.744
afg,2015,20588425147
afg,2016,45126627100.6083
afg,2017,52925731852.5222
ago,1999,678988421.75
ago,2000,3718640297.4
ago,2001,6955592667.6
ago,2002,16469370445
ago,2003,65469370105
ago,2004,39149691502
ago,2005,146896825400.99997
ago,2006,178131374893
ago,2007,287223417692.00006
ago,2008,284868859365
ago,2009,277727649826.00006
ago,2010,602314865010
ago,2011,897200216146
ago,2012,670324152466
ago,2013,923630948178.00012
ago,2014,1068413527767.08997
ago,2015,565427290774.67017
ago,2016,464829563295.63007
ago,2017,381806269427.96997
alb,1995,33711000000
alb,1996,45069828999.99999
alb,1997,43440510000
alb,1998,57025332000
alb,2002,53907910000
alb,2003,57283880000
alb,2004,70135194000
alb,2011,135897660000
alb,2012,139920079999.99997
alb,2013,151769660000.00003
alb,2014,164007990000.00003
alb,2015,164747030000.00003
alb,2016,183360700000.00003
alb,2017,197572630000
alb,2018,203363050000
are,2011,11345758359.16
are,2012,13167132156.1
are,2013,14688035175.35
are,2014,13754194438.95
are,2015,11902519750.05
are,2016,12417125543.39
are,2017,12618257439
are,2018,13133189392.58
arg,1990,4252800000
arg,1991,11276800000
arg,1992,16932000000
arg,1993,22954200000
arg,1994,26249800000
arg,1995,26686100000
arg,1996,27440700000
arg,1997,28400600000
arg,1998,28984400000
arg,1999,29442600000
arg,2000,29024600000
arg,2001,26880700000
arg,2002,26714200000
arg,2003,33224429853.11
arg,2004,41014452981.35
arg,2014,743750800000
arg,2015,975134300000.00012
arg,2016,1373643500000
arg,2017,1667127300000
arg,2018,2214823100000
arm,2004,104018500000
arm,2005,148469543088.00003
arm,2006,169459613009.99997
arm,2007,187285915677.25
arm,2008,325890219446.875
arm,2009,280115446820
arm,2010,310155440008
arm,2011,306903159990
arm,2012,338778936120
arm,2013,380467718138.89001
arm,2014,474292783080
arm,2015,471486297379.99988
arm,2016,600560737928.84314
arm,2017,484458581732.13287
arm,2018,534153824014.50098
aus,1974,309000000
aus,1975,318000000
aus,1976,369000000
aus,1977,400000000
aus,1978,564000000
aus,1979,826000000
aus,1980,930000000
aus,1981,1199000000
aus,1982,1311000000
aus,1983,1522000000
aus,1984,1690000000
aus,1985,1911000000
aus,1986,1923000000
aus,1987,1762000000
aus,1988,1971000000
aus,1989,1781000000
aus,1990,55491000000
aus,1991,62684000000
aus,1992,68432999999.99999
aus,1993,74639000000.00002
aus,1994,77912999999.99998
aus,1995,80724999999.99998
aus,1996,85950000000
aus,1997,89056999999.99998
aus,1998,88928000000
aus,1999,99984000000
aus,2000,105132000000
aus,2001,125917000000
aus,2002,136921000000
aus,2003,142977000000
aus,2004,155670000000.00003
aus,2005,166569999999.99997
aus,2006,173337999999.99997
aus,2007,183447000000
aus,2008,198795000000
aus,2009,237991000000
aus,2010,241203999999.99997
aus,2011,253378000000
aus,2012,263868000000.00003
aus,2013,267107999999.99997
aus,2014,284634000000
aus,2015,293955999999.99994
aus,2016,302158000000
aus,2017,316312000000
aus,2018,324884999999.99994
aus,2019,341192000000
aut,1972,260168746.32094
aut,1973,330661395.46376
aut,1974,605364708.61827
aut,1975,904776785.38985
aut,1976,978176347.89939
aut,1977,1174393000.15261
aut,1978,1255786574.42062
aut,1979,1345900888.78876
aut,1980,1560285749.58395
aut,1981,1719439256.41156
aut,1982,1770310240.32906
aut,1983,1913475723.63975
aut,1984,1951265597.40703
aut,1985,2132947682.82668
aut,1986,2567531231.15048
aut,1987,2638023880.29331
aut,1988,2431633031.25659
aut,1989,2454161609.84862
aut,1990,30291490737.8473
aut,1991,33114103616.927
aut,1992,35668553737.9272
aut,1993,39225888970.44391
aut,1994,41103755005.3414
aut,1995,59956830000
aut,1996,62446400000
aut,1997,64222119999.99999
aut,1998,66059030000
aut,1999,69180890000
aut,2000,71102599999.99998
aut,2001,73614550000
aut,2002,76038919999.99998
aut,2003,78198870000.00002
aut,2004,79529249999.99998
aut,2005,81681959999.99998
aut,2006,84912529999.99998
aut,2007,88068430000.00002
aut,2008,92682249999.99998
aut,2009,95034140000
aut,2010,97148780000
aut,2011,100157530000
aut,2012,104586729999.99998
aut,2013,108394600000
aut,2014,111361820000
aut,2015,116810710000.00002
aut,2016,118155750000
aut,2017,120317780000
aut,2018,124629230000
aze,1994,38317800
aze,1995,172049400
aze,1996,234103000
aze,1997,269221800
aze,1998,357088000
aze,1999,422541200
aze,2008,2543700000
aze,2009,2963700000
aze,2010,3140000000
aze,2011,3593700000
aze,2012,4231900000
aze,2013,4597800000
aze,2014,5147800000
aze,2015,5656800000
aze,2016,5993900000
aze,2017,5836113000
aze,2018,6104600000
bdi,1991,11787000000
bdi,1992,21348000000
bdi,1993,22559000000
bdi,1994,19822000000
bdi,1996,8552000000
bel,1995,67065600000
bel,1996,69819100000
bel,1997,71787500000
bel,1998,74658599999.99998
bel,1999,77629600000
bel,2000,80077400000.00002
bel,2001,84352199999.99998
bel,2002,84875300000
bel,2003,90533200000
bel,2004,94577100000
bel,2005,99471700000
bel,2006,103268600000
bel,2007,109325300000
bel,2008,118029200000
bel,2009,123847100000
bel,2010,127651200000
bel,2011,135553300000
bel,2012,140831300000
bel,2013,145426900000
bel,2014,147610499999.99997
bel,2015,141546200000
bel,2016,145843599999.99997
bel,2017,148379200000
bel,2018,154126499999.99997
bfa,2002,19318624126
bfa,2003,26459684316
bfa,2004,26788367394
bfa,2005,33088944832.99999
bfa,2006,42423626720.00001
bfa,2007,43543854029.99999
bfa,2008,43432272529
bfa,2009,55513656538.6
bfa,2010,62737869255
bfa,2011,68395999275
bfa,2012,74324861508.00002
bfa,2013,68334503705.00001
bfa,2014,113104255430.5
bfa,2015,99785203690.99998
bfa,2016,151000000000
bfa,2017,297136700105
bfa,2018,277380250252
bgd,2001,60623920000
bgd,2002,62695110000
bgd,2003,77879160000.00002
bgd,2004,85855000000.00002
bgd,2005,106452836000
bgd,2006,116771995000
bgd,2007,139643282000
bgd,2008,186557710000.00003
bgd,2009,242714432000
bgd,2010,265882535000.00006
bgd,2011,310134099999.99994
bgd,2012,361959900000
bgd,2013,417982500000
bgd,2014,416630000000
bgd,2015,433690400000
bgd,2016,556580000000
bgr,1990,12987000
bgr,1991,27214000
bgr,1992,60726000
bgr,1993,68892000
bgr,1994,97446000
bgr,1995,106144000
bgr,1996,188825000
bgr,1997,1648173000
bgr,1998,2660954000
bgr,1999,3443855000
bgr,2000,3513119000
bgr,2001,4256955000
bgr,2002,4370765000
bgr,2003,4921320000
bgr,2004,5355853000
bgr,2005,5641895000
bgr,2006,6168562000
bgr,2007,6931610000
bgr,2008,8799374000
bgr,2009,10120230000
bgr,2010,10812537000
bgr,2011,10950528000
bgr,2012,11212296000
bgr,2013,12300153000
bgr,2014,13108824000
bgr,2015,13868969000
bgr,2016,14260038000
bgr,2017,14702838000
bgr,2018,16512123000
bhr,1991,26000000
bhr,1992,35400000
bhr,1993,68700000
bhr,1994,82700000
bhr,1995,67200000
bhr,1996,50200000
bhr,1997,58700000
bhr,1998,58900000
bhr,1999,65600000
bhr,2000,77800000
bhr,2001,151200000
bhr,2002,67700000
bhr,2003,165700000
bhr,2004,91200000
bhs,1990,32200000
bhs,1991,32000000
bhs,1992,42000000
bhs,1993,50900000
bhs,1994,54600000
bhs,1995,71500000
bhs,1996,89900000
bhs,1997,94600000
bhs,1998,83793000
bhs,1999,146166000
bhs,2000,210495000
bhs,2001,206100000
bhs,2002,217200000
bhs,2003,232900000
bhs,2004,252658000
bhs,2005,298549000
bhs,2006,241891000
bhs,2007,298786000
bhs,2008,317643000
bhs,2009,289470000
bhs,2010,297944000
bhs,2011,363746000
bhs,2012,355583000
bhs,2013,366028000
bhs,2014,391231000
bhs,2015,451865000
bhs,2016,652944000
bhs,2017,765095000
bhs,2018,501106000
bih,2005,2421508010.36
bih,2006,2766568516.69
bih,2007,3509218275.08
bih,2008,4367207085.65
bih,2009,4368026130.13
bih,2010,4175738958.39
bih,2011,4686849974.89
bih,2012,4762230938.32
bih,2013,4727404288.22
bih,2014,5478505088.09
bih,2015,4975306561.9
bih,2016,4988018303.97
bih,2017,5144647434.33
bih,2018,5444083102.55
bih,2019,5612546588.48
blr,1992,1590
blr,1993,14150
blr,1994,185650
blr,1995,1922640
blr,1996,3382040
blr,1997,6553100
blr,1998,12278820
blr,1999,51737950
blr,2000,156589000
blr,2001,313080000
blr,2002,442517000
blr,2003,649024340
blr,2004,894988300
blr,2005,1273702900
blr,2006,1657792598
blr,2007,2304714440
blr,2008,3045795932.8
blr,2009,3144640000
blr,2010,3566717593.77475
blr,2011,5487050000
blr,2012,10484880000
blr,2013,13528030000
blr,2014,15597566280
blr,2015,17679655373.2
blr,2016,19649133757.1132
blr,2017,19885946537.5
blr,2018,21254267913.1
blz,1991,14132000
blz,1992,14663000
blz,1993,16280000
blz,1994,22123000
blz,1995,19950000
blz,1996,23756000
blz,1997,46156000
blz,1998,47018000
blz,1999,49981000
blz,2000,43340000
blz,2001,54018000
blz,2002,52113000
bol,1987,35500000
bol,1988,24400000
bol,1989,3500000
bol,1990,433900000
bol,1991,484300000
bol,1992,581600000
bol,1993,1080400000
bol,1994,1018300000
bol,1995,968000000
bol,1996,3000700000
bol,1997,3867800000
bol,1998,4170400000
bol,1999,4786300000
bol,2000,4798200000
bol,2001,5959590000
bol,2002,7265742153.04
bol,2003,7781557329.7
bol,2004,8387300000
bol,2005,9345474748.48
bol,2006,10283153579.47
bol,2007,10494864517.74
bra,1990,1564836.36364
bra,1991,7894690.90909
bra,1992,90525963.63636
bra,1993,2094145454.54545
bra,1994,51456600000
bra,1997,137186100000
bra,1998,89321087354.97391
bra,1999,100870706965.62302
bra,2000,114361227840.28697
bra,2001,131604418221.798
bra,2002,153707693313.39801
bra,2003,186137066835.06097
bra,2004,215927967216.40302
bra,2005,259826850740.89102
bra,2006,325221740000.00006
bra,2007,368109300000
bra,2008,418086120000
bra,2009,454269620000
bra,2010,694115478977.82385
bra,2011,782293478442.97913
bra,2012,847463133020.59094
bra,2013,938031579870.23901
bra,2014,1050391229412.75012
bra,2015,1107710094946.26001
bra,2016,1252491665752.21973
bra,2017,1418141592004.9502
bra,2018,1465304149486.23999
brb,2003,439408000
brb,2004,555200000
brb,2005,782077429.74
brb,2006,898445572.23
brb,2007,1143762096
brb,2008,1249488057
brb,2009,1227919308
brb,2010,1250718776
brb,2011,1074069657
brb,2012,1282460995
brb,2013,1337329517
brb,2014,1227269721
brb,2015,1360783705
brb,2016,1237828924
btn,1988,5800000
btn,1989,9100000
btn,1990,45400000
btn,1991,51200000
btn,1992,45800000
btn,1993,82600000
btn,1994,169600000
btn,1995,298800000
btn,1996,118100000
btn,1997,129300000
btn,1998,185800000
btn,1999,378900000
btn,2000,255800000
btn,2001,606700000
btn,2002,293784000
btn,2003,371794000
btn,2004,455542000
btn,2005,278243000
btn,2006,270517000
btn,2007,304552000
btn,2008,360154000
btn,2009,341685000
btn,2010,676200000
btn,2011,884893000
btn,2012,981419000
btn,2013,1168335000
btn,2014,1038351767.2
btn,2015,1796117000
btn,2016,2387547000
btn,2017,3187616907.79
btn,2018,3578773282.65
bwa,1990,599120000
bwa,1991,741900000
bwa,1992,867600000
bwa,1993,1077600000
bwa,1994,1125700000
bwa,1995,1430600000
bwa,1996,1784000000
bwa,2017,8739094297
bwa,2018,8714250799.6
caf,2008,19355322372.0784
caf,2009,16397097094
caf,2010,20182389353
caf,2011,23281465000
caf,2012,22759388199
can,1990,87459000000.00002
can,1991,97812000000
can,1992,104508000000
can,1993,107824000000
can,1994,106944000000
can,1995,108223000000
can,1996,106090000000
can,1997,102826000000
can,1998,104965000000
can,1999,112276000000
can,2000,114473000000
can,2001,123038000000.00002
can,2002,125176000000
can,2003,137091000000
can,2004,141353000000
can,2005,162560000000
can,2006,161620000000
can,2007,172649999999.99997
can,2008,184049000000
can,2009,196280000000
can,2010,214274000000
can,2011,209432000000
can,2012,215201000000
can,2013,220687000000
can,2014,225613000000
can,2015,239322000000
can,2016,253190000000
can,2017,267899000000
can,2018,276898000000
can,2019,297083000000.00006
che,1990,36809382690.75999
