global,time,sh_hiv_incd
world,1990,2100000
world,1991,2300000
world,1992,2400000
world,1993,2400000
world,1994,2600000
world,1995,2600000
world,1996,2600000
world,1997,2500000
world,1998,2400000
world,1999,2300000
world,2000,2200000
world,2001,2100000
world,2002,2000000
world,2003,2000000
world,2004,1900000
world,2005,1900000
world,2006,1800000
world,2007,1800000
world,2008,1800000
world,2009,1700000
world,2010,1700000
world,2011,1700000
world,2012,1700000
world,2013,1600000
world,2014,1600000
world,2015,1500000
world,2016,1500000
world,2017,1400000
world,2018,1400000
world,2019,1300000
world,2020,1300000
world,2021,1200000
world,2022,1200000
world,2023,1100000
world,2024,1100000
