geo,time,ne_con_totl_kn
ago,2000,394050278400
ago,2001,404592393200
ago,2002,403479000000
ago,2003,431260522200
ago,2004,445876339200
ago,2005,472682803100
ago,2006,507971545500
ago,2007,542397810600
ago,2008,593982371100
ago,2009,616969072900
ago,2010,643156836900
ago,2011,740796784700
ago,2012,791804235600
ago,2013,888623211100
ago,2014,923420177000
ago,2015,921484133000
ago,2016,938462143400
ago,2017,960336454500
ago,2018,931036269900
ago,2019,916145000000
ago,2020,840509664000
alb,1996,748036000000
alb,1997,617502000000
alb,1998,582030000000
alb,1999,597219000000
alb,2000,623290000000
alb,2001,651897000000
alb,2002,697215000000
alb,2003,760067000000
alb,2004,788678000000
alb,2005,831258000000
alb,2006,879074000000
alb,2007,981203000000
alb,2008,1074172000000
alb,2009,1085447000000
alb,2010,1106590000000
alb,2011,1124642000000
alb,2012,1126056000000
alb,2013,1148209000000
alb,2014,1185497000000
alb,2015,1196153000000
alb,2016,1225313000000
alb,2017,1256328000000
alb,2018,1293992000000
alb,2019,1337664512400
alb,2020,1310973409300
are,2001,550518002100
are,2002,583514055800
are,2003,597430295400
are,2004,653467261700
are,2005,663332020700
are,2006,748317489800
are,2007,830493251300
are,2008,929353043600
are,2009,725926281300
are,2010,556715219300
are,2011,618851830800
are,2012,562311917100
are,2013,621596832600
are,2014,680022609300
are,2015,575095663300
are,2016,580351515700
are,2017,638250466500
are,2018,658907059700
are,2019,748490203500
arg,1960,135217765560.21201
arg,1961,148348250208.62799
arg,1962,144634160003.87701
arg,1963,140506020489.095
arg,1964,155353433639.552
arg,1965,168781074917.73199
arg,1966,166950509933.85199
arg,1967,172036049712.336
arg,1968,180005638161.439
arg,1969,191430631723.95901
arg,1970,195402066227.14999
arg,1971,205472615990.24399
arg,1972,208508813808.642
arg,1973,218004846804.509
arg,1974,233514842896.401
arg,1975,233466411285.26697
arg,1976,217401955122.10297
arg,1977,222343704919.15799
arg,1978,219873664611.444
arg,1979,249631055234.59296
arg,1980,265565224858.49301
arg,1981,256047479694.21301
arg,1982,244323550827.32501
arg,1983,254674675618.41599
arg,1984,265266289463.93301
arg,1985,243922744936.18896
arg,1986,266520504439.87897
arg,1987,271173333661.565
arg,1988,259977172751.37601
arg,1989,244381997167.45901
arg,1990,240495755775.26999
arg,1991,276048291700
arg,1992,312504337200
arg,1993,326713778500
arg,1994,343539104600
arg,1995,331254185100
arg,1996,347770343600
arg,1997,375811460600
arg,1998,388803879400
arg,1999,383754664500
arg,2000,381970339300
arg,2001,362271189700
arg,2002,315789648100
arg,2003,337797530000
arg,2004,366000674400
arg,2005,394385503700
arg,2006,433310579900
arg,2007,472849642800
arg,2008,505628891400
arg,2009,486011755700
arg,2010,536172263500
arg,2011,582681923200
arg,2012,590690196300
arg,2013,613590820000
arg,2014,593269885500
arg,2015,617938453800
arg,2016,613364548500
arg,2017,637406174200
arg,2018,623720531300
arg,2019,588046517100
arg,2020,519188360800
arm,1994,1476366411900
arm,1995,1589700906000
arm,1996,1630709778800
arm,1997,1737705132500
arm,1998,1805221071000
arm,1999,1820132148300
arm,2000,1960496664500
arm,2001,2093614066900
arm,2002,2258110366100
arm,2003,2433478094100
arm,2004,2654947835100
