geo,time,nv_fsm_totl_cn
abw,1995,124630000
abw,1996,129010000
abw,1997,142660000
abw,1998,152070000
abw,1999,139560000
abw,2000,162740000
abw,2001,180490000
abw,2002,169510000
abw,2003,173550000
abw,2004,186720000
abw,2005,204610000
abw,2006,246380000
abw,2007,277360000
abw,2008,273530000
abw,2009,294075000
ago,2002,4195785900
ago,2003,10399000000
ago,2004,15706000000
ago,2005,25054000000
ago,2006,28384000000
ago,2007,52355000000
ago,2008,89941000000
ago,2009,111407000000
ago,2010,117216000000
ago,2011,152059000000
ago,2012,150984000000
ago,2013,171387000000
ago,2014,157119000000
ago,2015,220685336100
ago,2016,315369080900
ago,2017,301583725100
ago,2018,457553249400
ago,2019,445591584300
ago,2020,524128192200
ago,2021,533561203000
arg,1993,3411027100
arg,1994,3215092600
arg,1995,3722101700
arg,1996,3508525800
arg,1997,3534224100
arg,1998,4180584000
arg,1999,4432004800
arg,2000,4330637100
arg,2001,4086661200
arg,2002,3837052000
arg,2003,1774488200
arm,2012,92970200000
arm,2013,91572000000
arm,2014,99958000000
arm,2015,89161600000
arm,2016,97243900000
arm,2017,102935400000
arm,2018,116655800000
arm,2019,121756900000
arm,2020,142821300000
arm,2021,123081900000
atg,1977,2214305
atg,1978,2382056
atg,1979,2952407
atg,1980,3455658
atg,1981,4395061
atg,1982,5669964
atg,1983,5703514
atg,1984,7344113
atg,1985,8739796
atg,1986,11346638
atg,1987,12812776
atg,1988,15278708
atg,1989,17254807
atg,1990,17070000
atg,1991,18780000
atg,1992,19500000
atg,1993,20680000
atg,1994,21390000
atg,1995,26050000
atg,1996,27460000
atg,1997,33900000
atg,1998,39160000
atg,1999,41150000
atg,2000,41610000
atg,2001,38610000
atg,2002,38710000
atg,2003,37180000
atg,2004,38680000
atg,2005,46910000
atg,2006,55020000
atg,2007,80420000
atg,2008,74740000
atg,2009,70360000
atg,2010,81990000
atg,2011,85760000
atg,2012,82360000
atg,2013,61600000
atg,2014,50650000
atg,2015,51040000
atg,2016,55290000
atg,2017,59330000
atg,2018,59680000
atg,2019,69050000
atg,2020,55260000
atg,2021,49040000
aze,1995,43200000
aze,1996,28000000
aze,1997,10400000
aze,1998,19400000
aze,1999,18900000
aze,2000,27400000
aze,2001,34500000
aze,2002,35400000
aze,2003,41700000
aze,2004,66000000
aze,2005,72500000
aze,2006,191900000
aze,2007,298000000
aze,2008,580700000
aze,2009,568900000
aze,2010,224800000
aze,2011,203400000
aze,2012,205600000
aze,2013,336600000
aze,2014,337000000
aze,2015,356000000
aze,2016,380800000
aze,2017,384800000
aze,2018,388800000
aze,2019,394100000
aze,2020,352300000
aze,2021,351700000
bih,2000,167084000
bih,2001,182316000
bih,2002,221177000
bih,2003,279587000
bih,2004,322626000
bih,2005,408025000
bih,2006,468589000
bih,2007,626870000
bih,2008,682945000
bih,2009,675832000
bih,2010,674924000
bih,2011,735407000
bih,2012,707773000
bih,2013,700964000
bih,2014,697987600
bih,2015,729866000
bih,2016,763531000
bih,2017,790510425.20691
bih,2018,813696000
bih,2019,813851000
bih,2020,793425000
bih,2021,806483000
blz,1980,4404334.9602
blz,1981,5467898.0283
blz,1982,4740016.0865
blz,1983,4515082.9996
blz,1984,4746126.3232
blz,1985,3909787.6808
blz,1986,4637287.7327
blz,1987,5540838.9784
blz,1988,8087280.1051
blz,1989,11660240.99
blz,1990,12400725.295
blz,1991,11643100
blz,1992,15243300
blz,1993,15196500
blz,1994,15240800
blz,1995,20987300
blz,1996,23851300
blz,1997,27978100
blz,1998,33071600
blz,1999,37733900
blz,2000,35209600
blz,2001,55733513.12317
blz,2002,74446140.00102
blz,2003,91253933.161
blz,2004,94554799.38848
blz,2005,92943054.25233
blz,2006,102470598.47732
blz,2007,118156658.8526
blz,2008,111201652.34678
blz,2009,117034747.37634
blz,2010,118404793.93787
blz,2011,117525610.87476
blz,2012,121808478.78122
blz,2013,126037001.07876
blz,2014,124356413.91941
blz,2015,111595256.10274
blz,2016,129229221.65706
blz,2017,139236366.10673
blz,2018,157063409.94672
blz,2019,121401170.22933
blz,2020,106822116.92039
blz,2021,121535389.38096
bol,1970,-117
bol,1971,-127
bol,1972,-174
bol,1973,-282
bol,1974,-455
bol,1975,-613
bol,1976,-792
bol,1977,-969
bol,1978,-1215
bol,1979,-1398
bol,1980,1628.66948
bol,1981,2095.4993
bol,1982,5129.998
bol,1983,18211.4929
bol,1984,311151.8592
bol,1985,51857097.7828
bol,1986,98971000
bol,1987,124550000
bol,1988,143979000
bol,1989,199973000
bol,1990,253048000
bol,1991,346002000
bol,1992,486320500
bol,1993,613316000
bol,1994,726634000
bol,1995,877663000
bol,1996,1140670000
bol,1997,1684150000
bol,1998,2066267000
bol,1999,2338006000
bol,2000,2322220000
bol,2001,2264529400
bol,2002,2139218500
bol,2003,1995628900
bol,2004,1946336700
bol,2005,2205198800
bol,2006,2659506900
bol,2007,3160761800
bol,2008,3799710800
bol,2009,3951913200
bol,2010,4481947400
bol,2011,5128340200
bol,2012,6775874900
bol,2013,7762420500
bol,2014,8731549000
bol,2015,9268533200
bol,2016,10601163700
bol,2017,11451441100
bol,2018,12028998300
bol,2019,12726853100
bol,2020,12949079000
bol,2021,12011456800
brb,1990,49200000
brb,1991,49900000
brb,1992,52900000
brb,1993,46700000
brb,1994,58800000
brb,1995,65400000
brb,1996,72500000
brb,1997,77400000
brb,1998,95000000
brb,1999,110600000
brb,2000,105300000
brb,2001,98500000
brb,2002,111300000
brb,2003,108200000
brb,2004,120400000
brb,2005,137300000
brb,2006,186095479.24456
brb,2007,179362094.55707
brb,2008,186314503.26158
brb,2009,211271837.46728
brb,2010,190038253.12373
brb,2011,191317601.59751
brb,2012,180182763.36259
brb,2013,157402885.54798
brb,2014,138884493.14871
brb,2015,147740474.30685
brb,2016,165247982.85388
brb,2017,170990661.61422
brb,2018,170348069.41582
brb,2019,184216969.39465
brb,2020,189191480.30511
caf,2009,5256000000
caf,2010,4953000000
caf,2011,6987000000
caf,2012,10224000000
caf,2013,10193000000
caf,2014,8861000000
caf,2015,11020000000
caf,2016,11681000000
caf,2017,12807000000
caf,2018,12821000000
caf,2019,13261633400
caf,2020,13263036500
caf,2021,13704443600
chl,1960,61481.35991
chl,1961,71969.86015
chl,1962,81181.79083
chl,1963,104784.51762
chl,1964,164525.95583
chl,1965,268299.85327
chl,1966,371555.86758
chl,1967,487392.87598
chl,1968,705902.29022
chl,1969,1229753.9832
chl,1970,1986743.7617
chl,1971,2239961.2566
chl,1972,4511842.1833
chl,1973,25182762.838
chl,1974,232699959.05
chl,1975,1105887349.6
chl,1976,3505761996.4
chl,1977,9564858893.7
chl,1978,14814611933
chl,1979,32014389664
chl,1980,58805413819
chl,1981,84788488983
chl,1982,86589241293
chl,1983,49637745695
chl,1984,42555610701
chl,1985,123745239020
chl,1986,249884701870
chl,1987,320845443850
chl,1988,312128633730
chl,1989,373038182350
chl,1990,457659237090
chl,1991,401551027300
chl,1992,508575384900
chl,1993,697281701600
chl,1994,894251052000
chl,1995,1027870222800
cod,2005,20405000000
cod,2006,34526000000
cod,2007,70364471400
cod,2008,108825691400
cod,2009,145615000000
cod,2010,170884992600
cod,2011,193894006700
cod,2012,213797457500
cod,2013,203254432000
cod,2014,236428141500
cod,2015,258568768400
cod,2016,291574554600
cod,2017,461848193900
cod,2018,670756129700
cod,2019,826891406200
cod,2020,881599142300
cod,2021,952250832000
cog,2005,12584000000
cog,2006,11880000000
cog,2007,18038000000
cog,2008,21794000000
cog,2009,100224000000
cog,2010,106999000000
cog,2011,115004000000
cog,2012,51504000000
cog,2013,49341713300
cog,2014,75001922600
cog,2015,103990244000
cog,2016,127318111900
cog,2017,144865673000
cog,2018,159022298300
cog,2019,224748670500
col,1965,1444000000
col,1966,1795000000
col,1967,1978000000
col,1968,2251000000
col,1969,2761000000
col,1970,3450000000
col,1971,4270000000
col,1972,4806000000
col,1973,6028000000
col,1974,7981000000
col,1975,11240000000
col,1976,14153000000
col,1977,17557000000
col,1978,22458000000
col,1979,28971000000
col,1980,40189000000
col,1981,58607000000
col,1982,78757000000
col,1983,105404000000
col,1984,103850000000
col,1985,118728000000
col,1986,155853000000
col,1987,226720000000
col,1988,368615000000
col,1989,473746000000
col,1990,756064000000
col,1991,1153359000000
col,1992,1498595000000
col,1993,2092177000000
col,1994,3047640000000
col,1995,4610875000000
col,1996,6157388000000
col,1997,7451126000000
col,1998,8071066000000
col,1999,7308750000000
dma,1977,554243
dma,1978,665511
dma,1979,1037106
dma,1980,1419197
dma,1981,1511571
dma,1982,1517869
dma,1983,1549360
dma,1984,2105703
dma,1985,2072112
dma,1986,2174983
dma,1987,2529782
dma,1988,3230983
dma,1989,4431842
dma,1990,5900000
dma,1991,7230000
dma,1992,7300000
dma,1993,7370000
dma,1994,8560000
dma,1995,9720000
dma,1996,9650000
dma,1997,9210000
dma,1998,10900000
dma,1999,10940000
dma,2000,11330000
dma,2001,11200000
dma,2002,10380000
dma,2003,9390000
dma,2004,8710000
dma,2005,8270000
dma,2006,8010000
dma,2007,7520000
dma,2008,8370000
dma,2009,12450000
dma,2010,13680000
dma,2011,14100000
dma,2012,18370000
dma,2013,17110000
dma,2014,16090000
dma,2015,15730000
dma,2016,18260000
dma,2017,18410000
dma,2018,29650000
dma,2019,30290000
dma,2020,29080000
dma,2021,31400000
dza,1999,42600000000
dza,2000,62033000000
dza,2001,76805000000
dza,2002,75074000000
dza,2003,100752000000
dza,2004,106677000000
dza,2005,132929000000
dza,2006,203312000000
dza,2007,314399000000
dza,2008,401431000000
dza,2009,404340000000
dza,2010,406151000000
dza,2011,436862000000
dza,2012,452008000000
dza,2013,456091000000
dza,2014,461791000000
dza,2015,460750000000
dza,2016,522613000000
dza,2017,550170000000
dza,2018,601017000000
dza,2019,591640000000
dza,2020,580933000000
eth,2016,14485776000
eth,2017,18693800000
eth,2018,26130801000
eth,2019,34366432000
eth,2020,39104025000
eth,2021,46801874000
fsm,1995,2241500
fsm,1996,2096000
fsm,1997,1808800
fsm,1998,1823100
fsm,1999,2554900
fsm,2000,3119600
fsm,2001,3649900
fsm,2002,4707400
fsm,2003,2622700
fsm,2004,2353100
fsm,2005,3050800
fsm,2006,3684200
fsm,2007,4018700
fsm,2008,4241200
fsm,2009,4001200
fsm,2010,4397500
fsm,2011,4533600
fsm,2012,4603500
fsm,2013,4570100
fsm,2014,4551400
fsm,2015,4896400
fsm,2016,5593800
fsm,2017,5513300
fsm,2018,6479500
fsm,2019,6648013.57193
fsm,2020,6568237.40907
fsm,2021,6515691.5098
gbm,2012,165976000
gbm,2013,157616000
gbm,2014,152185000
gbm,2015,169275000
gbm,2016,161190000
gbm,2017,136378000
gbm,2018,158122000
gbm,2019,165710000
geo,1996,16900000
geo,1997,20300000
geo,1998,42800000
geo,1999,52600000
geo,2000,55400000
geo,2001,63000000
